ID,X,Y,THICKNESS_M,ASH_PCT,CV_MJKG,CATEGORY
1,24057.1,50649.8,1.6,16.5,26.45,MECHANIZED
2,24907.8,50659.5,1.32,13.2,27.33,SELECTIVE
3,25839.1,50627.5,1.07,20.8,24.86,SELECTIVE
4,26376.2,50629.6,0.81,20.4,25.24,SELECTIVE
5,27038.5,50646.9,1.04,22.4,24.34,SELECTIVE
6,27652.8,50894.8,1.75,12.9,27.7,MECHANIZED
7,28359.6,50906.1,1.22,9.1,29.14,SELECTIVE
8,22755.1,51441.3,3.45,,,MECHANIZED
9,23609.6,51286.0,1.94,14.2,27.09,MECHANIZED
10,24120.4,51523.7,1.96,19.7,25.26,MECHANIZED
11,24989.7,51564.7,1.67,,,MECHANIZED
12,25421.7,51283.0,1.96,17.1,26.1,MECHANIZED
13,26422.1,51283.7,1.31,12.9,27.57,SELECTIVE
14,27039.1,51393.0,1.18,15.1,26.86,SELECTIVE
15,27608.5,51578.4,1.51,10.4,28.58,MECHANIZED
16,28397.8,51337.7,1.37,13.4,27.38,SELECTIVE
17,29080.1,51429.8,1.58,12.7,27.53,MECHANIZED
18,29607.3,51294.1,2.2,9.5,28.5,MECHANIZED
19,22676.4,52216.7,1.59,,,MECHANIZED
20,23368.9,52042.7,2.56,19.4,25.42,MECHANIZED
21,24121.7,52367.5,2.5,14.2,27.34,MECHANIZED
22,24790.0,52156.9,2.89,9.4,29.1,MECHANIZED
23,25820.8,51955.3,1.52,21.1,25.21,MECHANIZED
24,26198.2,52059.2,1.19,16.9,26.32,SELECTIVE
25,26838.3,52248.4,2.31,9.9,28.77,MECHANIZED
26,27641.7,52227.2,1.61,18.9,25.79,MECHANIZED
27,28464.1,52102.1,2.13,10.6,28.35,MECHANIZED
28,29215.7,52062.8,1.78,19.0,25.03,MECHANIZED
29,29927.3,51940.6,1.43,8.7,28.92,MECHANIZED
30,21457.3,52748.4,4.16,13.4,27.15,MECHANIZED
31,22089.4,52884.8,4.39,4.7,30.35,MECHANIZED
32,22728.3,52617.4,3.05,10.4,28.53,MECHANIZED
33,23533.8,52698.4,3.0,6.8,29.99,MECHANIZED
34,24150.4,52806.3,2.37,5.5,30.01,MECHANIZED
35,24988.5,53018.0,2.64,,,MECHANIZED
36,25641.1,52813.8,2.61,11.0,28.36,MECHANIZED
37,26398.3,52834.3,2.21,13.1,27.42,MECHANIZED
38,26797.1,52727.7,2.27,11.4,27.77,MECHANIZED
39,27551.2,52883.6,1.57,14.3,27.4,MECHANIZED
40,28552.8,52842.7,1.23,18.0,26.11,SELECTIVE
41,28976.2,52896.1,1.49,,,MECHANIZED
42,29684.4,52830.4,1.53,10.4,28.44,MECHANIZED
43,20625.7,53650.3,1.81,5.7,30.0,MECHANIZED
44,21522.4,53474.0,1.27,,,SELECTIVE
45,22113.0,53529.2,2.65,9.4,28.67,MECHANIZED
46,22855.7,53467.1,2.28,11.9,27.71,MECHANIZED
47,23631.5,53439.0,2.31,13.9,27.51,MECHANIZED
48,23969.0,53529.6,1.79,12.2,27.56,MECHANIZED
49,24887.0,53599.9,2.65,12.2,27.61,MECHANIZED
50,25671.5,53515.5,2.78,,,MECHANIZED
51,26312.9,53515.2,1.0,8.8,29.18,SELECTIVE
52,26920.9,53353.9,1.72,,,MECHANIZED
53,27601.5,53489.0,1.47,13.3,27.97,MECHANIZED
54,28128.2,53447.7,1.6,11.4,27.87,MECHANIZED
55,28982.2,53489.4,1.48,16.9,25.88,MECHANIZED
56,29702.4,53507.5,1.9,4.0,30.45,MECHANIZED
57,30472.6,53655.5,1.73,10.8,28.31,MECHANIZED
58,31158.8,53470.8,1.55,8.6,28.59,MECHANIZED
59,20762.0,54210.1,2.25,10.6,28.7,MECHANIZED
60,21529.8,54178.4,1.25,11.4,28.13,SELECTIVE
61,22070.1,54163.7,0.83,24.9,23.28,SELECTIVE
62,22586.9,54312.7,1.76,21.9,24.79,MECHANIZED
63,23477.3,54188.7,1.97,13.0,27.04,MECHANIZED
64,24159.9,54123.8,2.65,11.4,27.92,MECHANIZED
65,24628.9,54218.1,1.34,13.5,27.66,SELECTIVE
66,25861.7,54318.6,1.12,10.7,28.62,SELECTIVE
67,26265.4,54089.0,1.05,,,SELECTIVE
68,27003.1,54244.5,1.82,7.6,29.39,MECHANIZED
69,27685.6,54300.1,1.27,6.7,30.27,SELECTIVE
70,28285.6,54328.1,1.46,9.8,28.23,MECHANIZED
71,29118.6,54134.1,0.88,14.3,27.01,SELECTIVE
72,29766.0,54241.7,1.71,14.1,27.26,MECHANIZED
73,30591.5,54208.7,2.87,,,MECHANIZED
74,31269.8,54488.4,1.21,,,SELECTIVE
75,31703.3,53959.4,1.82,4.0,30.5,MECHANIZED
76,20713.6,54706.8,2.03,12.6,27.97,MECHANIZED
77,21416.0,55057.3,2.1,,,MECHANIZED
78,22233.0,54768.2,1.13,,,SELECTIVE
79,22762.9,55006.2,1.61,14.5,26.89,MECHANIZED
80,23718.9,54785.6,1.06,16.5,26.59,SELECTIVE
81,24097.5,55034.1,1.14,12.8,27.62,SELECTIVE
82,24856.9,54776.8,1.12,13.0,27.24,SELECTIVE
83,25726.1,54698.4,1.49,5.1,29.8,MECHANIZED
84,26217.9,55016.0,1.57,10.8,28.56,MECHANIZED
85,26924.6,54991.6,1.61,7.7,29.03,MECHANIZED
86,27552.8,54993.0,0.77,12.1,27.58,UNECONOMIC
87,28456.7,55094.5,3.08,4.6,30.39,MECHANIZED
88,29070.5,54857.7,1.87,7.3,29.46,MECHANIZED
89,29788.5,55025.7,1.42,12.2,27.67,MECHANIZED
90,30410.9,54882.9,1.15,,,SELECTIVE
91,31434.0,54993.6,0.91,17.6,25.8,SELECTIVE
92,21570.1,55620.1,1.28,18.6,25.7,SELECTIVE
93,21987.9,55557.0,1.89,,,MECHANIZED
94,22854.1,55741.8,1.91,11.3,28.27,MECHANIZED
95,23304.0,55760.4,1.68,9.5,28.82,MECHANIZED
96,24311.8,55516.3,0.86,19.0,26.05,SELECTIVE
97,24852.1,55658.9,1.1,21.2,24.97,SELECTIVE
98,25565.6,55616.5,1.05,21.1,24.73,SELECTIVE
99,26172.8,55381.3,1.05,19.1,25.61,SELECTIVE
100,27291.4,55620.5,1.21,14.1,27.03,SELECTIVE
101,27726.9,55661.1,1.29,16.0,26.35,SELECTIVE
102,28560.3,55711.5,2.25,10.4,28.26,MECHANIZED
103,28976.6,55586.4,1.69,4.0,30.75,MECHANIZED
104,29808.3,55691.4,1.88,14.8,26.93,MECHANIZED
105,30428.0,55645.8,0.83,21.0,24.46,SELECTIVE
106,31227.0,55765.5,0.8,18.6,25.21,UNECONOMIC
107,31586.9,55609.6,0.92,,,SELECTIVE
108,21480.3,56344.2,1.93,15.9,26.2,MECHANIZED
109,21999.1,56136.7,1.4,21.9,24.48,SELECTIVE
110,22866.9,56195.9,1.51,11.5,27.95,MECHANIZED
111,23578.0,56481.9,1.74,,,MECHANIZED
112,24224.7,56327.5,1.63,20.3,24.9,MECHANIZED
113,24915.0,56466.3,2.28,18.6,25.73,MECHANIZED
114,25768.3,56310.1,0.67,18.4,25.44,UNECONOMIC
115,26389.1,56305.4,0.85,17.0,26.75,SELECTIVE
116,26940.4,56392.2,0.88,,,SELECTIVE
117,27689.3,56198.0,1.5,,,MECHANIZED
118,28220.2,56419.1,1.83,,,MECHANIZED
119,28984.3,56166.7,2.69,11.8,28.13,MECHANIZED
120,29768.4,56388.7,0.86,23.8,23.71,SELECTIVE
121,30292.7,56376.4,1.08,12.6,28.05,SELECTIVE
122,31247.0,56154.1,0.49,20.8,25.18,UNECONOMIC
123,22218.4,56940.4,1.66,19.1,25.43,MECHANIZED
124,22946.6,56870.7,2.29,18.1,25.16,MECHANIZED
125,23323.7,56947.4,2.3,10.3,28.88,MECHANIZED
126,24279.1,56954.0,2.11,,,MECHANIZED
127,25011.0,56815.1,1.77,15.4,26.86,MECHANIZED
128,25530.7,57164.7,2.07,7.8,29.39,MECHANIZED
