VERTEX,X,Y
1,31359.8,54500.0
2,31468.2,55014.2
3,31813.7,55612.7
4,31617.4,56162.0
5,31261.4,56669.8
6,30926.2,57200.0
7,30273.7,57552.6
8,29618.2,57868.1
9,28789.7,57951.4
10,28081.7,58089.8
11,27368.8,58148.8
12,26675.1,58162.9
13,26000.0,58091.4
14,25286.0,58374.0
15,24584.5,58273.5
16,23946.6,58040.9
17,23207.1,57955.3
18,22520.7,57738.8
19,22096.4,57288.3
20,21584.3,56920.2
21,21203.3,56478.1
22,20809.4,56035.7
23,20620.9,55529.5
24,20325.8,55033.6
25,20076.4,54500.0
26,19847.5,53921.4
27,20284.2,53406.0
28,20771.5,52953.1
29,21382.8,52595.9
30,21897.6,52251.5
31,22483.8,51988.5
32,22731.3,51457.3
33,23202.5,51039.0
34,23783.6,50678.0
35,24485.2,50461.8
36,25216.3,50247.8
37,26000.0,50472.3
38,26774.7,50296.6
39,27574.4,50302.9
40,28367.7,50417.1
41,29020.4,50763.2
42,29641.7,51110.1
43,29853.8,51747.3
44,30055.5,52277.2
45,30352.4,52705.1
46,30847.8,53065.7
47,31497.6,53447.8
48,32129.0,53923.6
