VERTEX,X,Y
1,8827.7,9000.0
2,8770.9,9328.5
3,8714.1,9664.3
4,8570.6,9998.0
5,8338.2,10319.3
6,7978.4,10585.4
7,7473.5,10716.1
8,6999.5,10846.4
9,6504.8,10925.0
10,6000.0,10884.0
11,5504.3,10890.3
12,4979.4,10885.4
13,4528.5,10713.8
14,4111.6,10513.2
15,3706.9,10293.8
16,3409.6,10005.6
17,3208.9,9683.1
18,3023.6,9352.9
19,2921.8,9000.0
20,3021.3,8646.8
21,3199.5,8314.6
22,3427.2,8001.2
23,3760.9,7736.6
24,4179.6,7541.2
25,4566.2,7330.2
26,5006.2,7164.0
27,5506.0,7116.3
28,6000.0,7054.9
29,6518.0,7024.6
30,6992.7,7166.1
31,7390.0,7381.2
32,7824.2,7538.2
33,8124.6,7801.3
34,8404.7,8066.5
35,8812.1,8311.8
36,9045.1,8639.0
