X,Y,ELEVATION_M,MAG_NT,LITHOLOGY,INSIDE
3025.0,7025.0,550.9,52198.0,MAFIC_VOLCANIC,0
3075.0,7025.0,552.4,52210.0,MAFIC_VOLCANIC,0
3125.0,7025.0,553.4,52216.0,MAFIC_VOLCANIC,0
3175.0,7025.0,553.8,52216.0,MAFIC_VOLCANIC,0
3225.0,7025.0,553.8,52213.0,MAFIC_VOLCANIC,0
3275.0,7025.0,553.2,52210.0,MAFIC_VOLCANIC,0
3325.0,7025.0,552.1,52210.0,MAFIC_VOLCANIC,0
3375.0,7025.0,550.6,52216.0,MAFIC_VOLCANIC,0
3425.0,7025.0,548.7,52228.0,MAFIC_VOLCANIC,0
3475.0,7025.0,546.4,52245.0,MAFIC_VOLCANIC,0
3525.0,7025.0,543.7,52263.0,MAFIC_VOLCANIC,0
3575.0,7025.0,540.8,52276.0,MAFIC_VOLCANIC,0
3625.0,7025.0,537.7,52280.0,MAFIC_VOLCANIC,0
3675.0,7025.0,534.3,52271.0,MAFIC_VOLCANIC,0
3725.0,7025.0,530.8,52245.0,MAFIC_VOLCANIC,0
3775.0,7025.0,527.2,52204.0,MAFIC_VOLCANIC,0
3825.0,7025.0,523.5,52150.0,METASEDIMENT,0
3875.0,7025.0,519.8,52090.0,METASEDIMENT,0
3925.0,7025.0,516.1,52027.0,METASEDIMENT,0
3975.0,7025.0,512.5,51968.0,METASEDIMENT,0
4025.0,7025.0,508.9,51916.0,METASEDIMENT,0
4075.0,7025.0,505.5,51873.0,METASEDIMENT,0
4125.0,7025.0,502.3,51839.0,MAFIC_VOLCANIC,0
4175.0,7025.0,499.2,51816.0,MAFIC_VOLCANIC,0
4225.0,7025.0,496.4,51804.0,MAFIC_VOLCANIC,0
4275.0,7025.0,493.9,51803.0,MAFIC_VOLCANIC,0
4325.0,7025.0,491.6,51816.0,MAFIC_VOLCANIC,0
4375.0,7025.0,489.5,51843.0,MAFIC_VOLCANIC,0
4425.0,7025.0,487.8,51883.0,FELSIC_VOLCANIC,0
4475.0,7025.0,486.4,51935.0,FELSIC_VOLCANIC,0
4525.0,7025.0,485.3,51992.0,FELSIC_VOLCANIC,0
4575.0,7025.0,484.4,52048.0,FELSIC_VOLCANIC,0
4625.0,7025.0,483.9,52094.0,FELSIC_VOLCANIC,0
4675.0,7025.0,483.6,52123.0,FELSIC_VOLCANIC,0
4725.0,7025.0,483.7,52128.0,MAFIC_VOLCANIC,0
4775.0,7025.0,484.0,52108.0,MAFIC_VOLCANIC,0
4825.0,7025.0,484.5,52067.0,MAFIC_VOLCANIC,0
4875.0,7025.0,485.2,52009.0,MAFIC_VOLCANIC,0
4925.0,7025.0,486.2,51944.0,MAFIC_VOLCANIC,0
4975.0,7025.0,487.3,51879.0,METASEDIMENT,0
5025.0,7025.0,488.6,51823.0,METASEDIMENT,0
5075.0,7025.0,490.0,51779.0,METASEDIMENT,0
5125.0,7025.0,491.4,51749.0,METASEDIMENT,0
5175.0,7025.0,493.0,51732.0,METASEDIMENT,0
5225.0,7025.0,494.5,51724.0,METASEDIMENT,0
5275.0,7025.0,496.1,51723.0,METASEDIMENT,0
