ID,X,Y,CU_PPM,ZN_PPM,AU_PPB,AS_PPM,AU_BDL,AS_BDL
1,3900.1,7702.9,23.0,31.0,2.0,5.0,1,0
2,3952.6,7699.5,21.0,53.0,2.0,12.0,1,0
3,4055.1,7697.6,65.0,91.0,2.0,23.0,1,0
4,4102.2,7697.4,54.0,,3.3,24.0,0,0
5,4156.4,7691.7,54.0,108.0,3.0,16.0,0,0
6,4198.0,7698.5,51.0,,2.2,25.0,0,0
7,4252.1,7700.2,35.0,,2.0,9.0,1,0
8,4300.7,7690.9,39.0,,2.0,20.0,1,0
9,4358.0,7700.8,61.0,33.0,6.4,20.0,0,0
10,4397.5,7705.6,79.0,51.0,20.6,10.0,0,0
11,4445.6,7701.4,137.0,124.0,8.5,79.0,0,0
12,4504.0,7703.1,58.0,73.0,14.2,11.0,0,0
13,4551.0,7699.7,70.0,61.0,7.4,11.0,0,0
14,4596.0,7701.4,76.0,45.0,18.2,40.0,0,0
15,4644.9,7704.3,82.0,65.0,4.1,55.0,0,0
16,4703.5,7700.2,124.0,32.0,43.0,49.0,0,0
17,4742.4,7702.7,131.0,,22.4,20.0,0,0
18,4802.7,7695.8,140.0,21.0,5.6,21.0,0,0
19,4848.5,7700.7,200.0,73.0,28.2,18.0,0,0
20,4946.8,7698.0,191.0,127.0,43.2,26.0,0,0
21,4996.2,7707.2,160.0,104.0,21.1,9.0,0,0
22,5057.4,7691.9,135.0,64.0,9.1,14.0,0,0
23,5098.5,7706.3,177.0,40.0,7.5,28.0,0,0
24,5205.1,7701.9,281.0,110.0,14.4,13.0,0,0
25,5251.3,7705.6,183.0,,20.9,23.0,0,0
26,5301.9,7693.5,68.0,55.0,2.0,5.0,1,1
27,5350.7,7693.0,209.0,70.0,5.0,20.0,0,0
28,5403.4,7701.4,65.0,44.0,2.7,8.0,0,0
29,5449.5,7701.2,50.0,38.0,4.1,9.0,0,0
30,5493.2,7698.0,82.0,70.0,4.6,9.0,0,0
31,5547.7,7700.4,39.0,52.0,2.0,6.0,1,0
32,5599.2,7700.7,48.0,,3.2,5.0,0,1
33,5650.9,7694.5,48.0,48.0,2.0,5.0,1,1
34,5695.1,7704.5,54.0,88.0,5.7,6.0,0,0
35,5746.6,7699.4,64.0,47.0,6.8,8.0,0,0
36,5803.2,7698.7,55.0,67.0,2.2,5.0,0,0
37,5858.7,7696.3,68.0,95.0,9.2,16.0,0,0
38,5897.6,7691.9,43.0,125.0,2.0,12.0,1,0
39,5953.4,7698.5,52.0,127.0,6.5,12.0,0,0
40,6002.5,7702.1,23.0,69.0,2.0,5.0,1,0
41,6059.8,7702.2,52.0,76.0,2.0,11.0,1,0
42,6098.4,7698.2,36.0,85.0,5.3,5.0,0,1
43,6153.2,7692.4,33.0,110.0,2.0,10.0,1,0
44,6198.0,7693.9,22.0,79.0,2.0,10.0,1,0
45,6246.1,7704.8,26.0,138.0,2.1,5.0,0,1
46,6296.4,7698.2,44.0,199.0,5.5,29.0,0,0
47,6353.4,7693.8,33.0,48.0,5.4,21.0,0,0
48,6400.5,7695.2,19.0,,2.0,24.0,1,0
49,6450.8,7698.2,24.0,71.0,2.0,17.0,1,0
50,6504.0,7699.7,36.0,94.0,2.9,26.0,0,0
51,6551.9,7705.8,26.0,81.0,2.0,8.0,1,0
52,6652.9,7703.7,27.0,131.0,2.0,7.0,1,0
53,6697.2,7700.9,36.0,83.0,2.0,5.0,1,0
54,6750.6,7703.0,38.0,,2.0,7.0,0,0
55,6804.6,7704.1,29.0,91.0,2.0,7.0,1,0
56,6852.6,7697.9,30.0,,2.8,5.0,0,0
57,6898.2,7702.1,41.0,102.0,15.4,5.0,0,1
58,6945.5,7698.7,28.0,77.0,2.5,5.0,0,1
59,6999.7,7701.9,31.0,,2.0,11.0,1,0
60,7052.4,7695.4,19.0,,2.0,9.0,1,0
61,7102.7,7692.5,31.0,101.0,2.2,16.0,0,0
62,7147.5,7703.7,27.0,82.0,2.0,14.0,1,0
63,7198.9,7701.8,29.0,125.0,2.0,15.0,1,0
64,7260.0,7699.2,22.0,,2.0,6.0,1,0
65,7299.3,7691.7,42.0,,2.0,47.0,1,0
66,7351.4,7705.7,39.0,129.0,2.0,22.0,1,0
67,7400.9,7700.4,47.0,72.0,2.0,14.0,0,0
68,7461.9,7700.7,49.0,137.0,2.0,15.0,0,0
69,7500.7,7700.5,54.0,101.0,2.0,20.0,1,0
70,7546.0,7703.1,43.0,,2.6,7.0,0,0
