ID,X,Y,V,U,T
1,11.0,8.0,0.0,,2
2,8.0,30.0,0.0,,2
3,9.0,48.0,224.4,,2
4,8.0,69.0,434.4,,2
5,9.0,90.0,412.1,,2
6,10.0,110.0,587.2,,2
7,9.0,129.0,192.3,,2
8,11.0,150.0,31.3,,2
9,10.0,170.0,388.5,,2
10,8.0,188.0,174.6,,2
11,9.0,209.0,187.8,,2
12,10.0,231.0,82.1,,1
13,11.0,250.0,81.1,,1
14,10.0,269.0,124.3,,2
15,8.0,288.0,188.0,,2
16,31.0,11.0,28.7,,2
17,29.0,29.0,78.1,,2
18,28.0,51.0,292.1,,2
19,31.0,68.0,895.2,,2
20,28.0,88.0,702.6,,2
21,30.0,110.0,490.3,,2
22,28.0,130.0,136.1,,2
23,28.0,150.0,335.0,,2
24,30.0,171.0,277.0,,2
25,28.0,190.0,206.1,,2
26,31.0,209.0,24.5,,2
27,28.0,229.0,198.1,,2
28,30.0,250.0,60.3,,2
29,31.0,269.0,312.6,,2
30,31.0,289.0,240.9,,2
31,49.0,11.0,653.3,,2
32,49.0,29.0,96.4,,2
33,51.0,48.0,105.0,,2
34,49.0,68.0,37.8,,2
35,50.0,88.0,820.8,,2
36,51.0,109.0,450.7,,2
37,48.0,129.0,190.4,,2
38,49.0,151.0,773.3,,2
39,51.0,168.0,971.9,,2
40,48.0,190.0,762.4,,2
41,50.0,211.0,968.3,,2
42,49.0,231.0,394.7,,2
43,51.0,250.0,343.0,,2
44,50.0,268.0,863.8,,2
45,51.0,290.0,159.6,,1
46,71.0,9.0,445.8,,2
47,71.0,29.0,673.3,,2
48,70.0,51.0,252.6,,2
49,68.0,70.0,537.5,,2
50,69.0,90.0,0.0,,2
51,68.0,110.0,329.1,,2
52,68.0,128.0,646.3,,2
53,69.0,148.0,616.2,,2
54,69.0,169.0,761.3,,2
55,70.0,191.0,918.0,,2
56,69.0,208.0,97.4,,1
57,69.0,229.0,0.0,,1
58,68.0,250.0,0.0,,1
59,71.0,268.0,0.0,,1
60,71.0,288.0,2.4,,1
61,91.0,11.0,368.3,,2
62,91.0,29.0,91.6,,2
63,90.0,49.0,654.7,,2
64,91.0,68.0,645.5,,2
65,91.0,91.0,907.2,,2
66,91.0,111.0,826.3,,2
67,89.0,130.0,975.3,,2
68,88.0,149.0,551.1,,2
69,89.0,170.0,155.5,,1
70,89.0,188.0,10.7,,1
71,90.0,211.0,0.0,,1
72,90.0,230.0,0.0,,1
73,88.0,249.0,0.0,,1
74,88.0,269.0,12.1,,1
75,88.0,288.0,62.2,,1
76,109.0,11.0,399.6,,2
77,111.0,31.0,176.6,,2
78,108.0,49.0,402.0,,2
79,109.0,68.0,260.6,,2
80,108.0,88.0,192.0,,2
81,110.0,109.0,237.6,,2
82,109.0,129.0,702.0,,2
83,110.0,148.0,38.5,,2
84,111.0,169.0,22.1,,1
