HOLE_ID,FROM,TO,FE_PCT,SIO2_PCT,AL2O3_PCT,P_PCT,MN_PCT,LOI_PCT,DENSITY
FD0001,0.0,3.58,14.79,31.52,28.71,0.12,0.092,13.82,
FD0001,3.58,7.17,28.21,29.11,19.01,0.062,0.075,6.79,
FD0001,7.17,10.75,33.16,27.53,11.55,0.03,0.067,7.91,
FD0001,10.75,14.73,2.1,59.05,20.89,0.054,0.068,2.74,
FD0001,14.73,18.71,2.1,62.89,16.32,0.028,0.119,2.19,2.87
FD0001,18.71,22.68,2.1,62.12,14.38,0.025,0.124,2.18,2.7
FD0001,22.68,26.66,18.15,41.51,10.63,0.039,0.088,3.31,
FD0001,26.66,30.64,18.71,44.74,8.79,0.026,0.135,2.9,
FD0001,30.64,34.62,19.29,33.2,14.32,0.045,0.307,3.68,
FD0001,34.62,38.6,6.4,36.62,23.09,0.064,0.209,5.94,
FD0001,38.6,42.57,12.94,44.33,14.08,0.053,0.17,2.7,
FD0001,42.57,46.55,2.1,64.75,8.83,0.022,0.189,1.88,2.75
FD0001,46.55,50.53,19.79,41.46,6.03,0.025,0.122,1.72,
FD0001,50.53,54.51,2.1,65.94,12.1,0.041,0.115,2.12,
FD0001,54.51,58.49,2.1,52.66,18.35,0.086,0.035,3.26,
FD0001,58.49,62.46,16.35,34.29,16.02,0.107,0.056,5.07,
FD0001,62.46,66.44,30.33,23.14,7.95,0.059,0.301,2.5,
FD0001,66.44,70.42,2.1,55.08,17.96,0.069,0.1,2.09,2.64
FD0001,70.42,74.4,11.75,50.19,11.89,0.043,0.212,2.13,2.79
FD0001,74.4,78.38,11.95,51.54,7.35,0.024,0.381,2.19,
FD0001,78.38,82.35,15.32,40.48,17.94,0.053,0.676,4.0,
FD0001,82.35,86.33,14.52,33.12,9.65,0.019,0.321,1.81,
FD0001,86.33,90.31,18.03,35.01,11.06,0.043,0.157,2.66,
FD0001,90.31,94.29,26.94,32.12,9.21,0.041,0.136,2.01,
FD0001,94.29,98.27,2.1,52.71,16.61,0.046,0.262,1.33,2.61
FD0001,98.27,102.24,2.1,58.51,19.39,0.091,0.106,1.64,
FD0001,102.24,106.22,2.1,54.59,20.26,0.142,0.275,2.48,
FD0001,106.22,110.2,5.5,60.66,16.65,0.067,0.063,2.78,
FD0001,110.2,114.18,8.23,62.21,8.63,0.04,0.123,1.91,
FD0001,114.18,118.16,7.43,61.21,7.62,0.031,0.105,3.01,
FD0001,118.16,122.13,13.24,50.41,9.75,0.064,0.105,2.2,
FD0001,122.13,126.11,2.1,54.16,16.54,0.059,0.08,2.92,
FD0001,126.11,130.09,8.47,55.96,11.58,0.047,0.17,2.09,
FD0001,130.09,134.07,2.1,55.28,19.41,0.038,0.137,2.62,2.78
FD0001,134.07,138.04,24.75,38.88,7.02,0.049,0.086,2.65,2.66
FD0001,138.04,142.02,15.08,38.4,8.6,0.039,0.165,3.4,
FD0001,142.02,146.0,29.1,29.1,6.12,0.034,0.237,2.11,
FD0001,146.0,149.98,26.99,31.43,11.08,0.045,0.04,2.42,
FD0001,149.98,153.96,21.42,38.18,5.35,0.033,0.309,1.46,
FD0001,153.96,157.93,18.62,45.86,9.45,0.038,0.252,2.1,
FD0001,157.93,161.91,4.46,48.79,13.83,0.048,0.155,2.44,
FD0001,161.91,165.89,22.44,40.8,9.58,0.029,0.039,2.05,
FD0001,165.89,169.87,18.57,38.04,8.56,0.038,0.07,1.92,2.57
FD0002,0.0,4.15,21.2,24.95,27.57,0.09,0.116,13.08,
FD0002,4.15,8.3,7.12,36.7,36.97,0.055,0.391,10.4,
FD0002,8.3,12.45,29.89,16.64,22.56,0.106,0.175,13.02,1.96
FD0002,12.45,16.6,20.8,28.25,27.71,0.064,0.108,9.69,2.18
FD0002,16.6,20.75,39.66,12.52,16.95,0.197,0.576,8.33,
FD0002,20.75,24.75,8.14,42.26,19.77,0.065,0.168,3.5,
FD0002,24.75,28.76,2.1,47.99,26.11,0.04,0.069,4.16,2.63
