ID,X,Y,Z_TOP,Z_BOTTOM,FE_PCT,SIO2_PCT
1,44693.7,8412.5,696.0,684.0,33.27,51.04
2,44701.5,8407.5,696.0,684.0,31.74,52.99
3,44708.7,8399.3,696.0,684.0,32.11,52.91
4,44716.7,8394.3,696.0,684.0,24.2,62.11
5,44724.7,8387.3,696.0,684.0,54.79,19.38
6,44732.2,8380.0,696.0,684.0,30.96,53.75
7,44739.9,8374.4,696.0,684.0,31.72,54.56
8,44747.6,8368.7,696.0,684.0,32.27,49.39
9,44755.9,8361.2,696.0,684.0,41.32,39.65
10,44762.3,8356.0,696.0,684.0,55.33,17.21
11,44770.3,8348.0,696.0,684.0,59.22,12.58
12,44778.0,8342.7,696.0,684.0,52.3,19.27
13,44786.3,8336.1,696.0,684.0,60.26,10.66
14,44793.8,8329.7,696.0,684.0,57.48,15.29
15,44801.1,8324.0,696.0,684.0,54.23,17.12
16,44808.3,8316.4,696.0,684.0,51.4,22.95
17,44818.0,8310.7,696.0,684.0,33.35,51.0
18,44822.3,8303.4,696.0,684.0,34.19,46.56
19,44832.0,8297.9,696.0,684.0,33.5,51.77
20,44841.3,8290.3,696.0,684.0,55.52,15.56
21,44848.5,8284.7,696.0,684.0,50.62,25.27
22,44853.5,8278.4,696.0,684.0,55.43,17.04
23,44863.3,8270.4,696.0,684.0,62.59,6.02
24,44869.4,8266.3,696.0,684.0,63.63,5.66
25,44877.3,8257.9,696.0,684.0,65.52,0.59
26,44885.5,8253.7,696.0,684.0,65.56,0.39
27,44893.0,8245.4,696.0,684.0,65.74,2.7
28,44900.6,8240.4,696.0,684.0,65.18,3.45
29,44909.2,8232.5,696.0,684.0,65.27,2.57
30,44916.7,8226.5,696.0,684.0,65.87,2.92
31,44922.9,8218.6,696.0,684.0,66.09,3.07
32,44688.6,8405.8,696.0,684.0,21.51,64.33
33,44696.5,8399.3,696.0,684.0,30.62,54.08
34,44702.8,8393.1,696.0,684.0,34.69,47.27
35,44709.7,8385.4,696.0,684.0,30.99,52.83
36,44718.0,8380.1,696.0,684.0,26.88,59.77
37,44725.9,8373.6,696.0,684.0,33.34,51.58
38,44735.0,8367.7,696.0,684.0,37.83,43.28
39,44740.9,8359.1,696.0,684.0,41.67,41.3
40,44748.8,8353.9,696.0,684.0,46.37,33.68
41,44756.7,8348.0,696.0,684.0,42.55,38.32
42,44763.7,8340.5,696.0,684.0,46.03,33.37
43,44770.4,8334.8,696.0,684.0,52.58,21.88
44,44779.9,8328.9,696.0,684.0,54.84,20.79
45,44788.2,8321.3,696.0,684.0,62.37,3.56
46,44794.7,8315.6,696.0,684.0,58.51,16.66
47,44802.7,8308.0,696.0,684.0,54.71,17.94
48,44809.6,8301.3,696.0,684.0,52.03,22.01
49,44816.9,8295.7,696.0,684.0,57.36,13.81
50,44827.1,8290.4,696.0,684.0,50.99,22.14
51,44834.5,8283.7,696.0,684.0,49.12,26.37
52,44840.7,8277.7,696.0,684.0,48.7,24.92
53,44847.2,8268.8,696.0,684.0,55.98,18.12
54,44854.6,8264.2,696.0,684.0,56.68,15.66
55,44864.4,8258.4,696.0,684.0,63.6,5.25
56,44872.9,8251.8,696.0,684.0,64.92,2.6
57,44880.1,8243.8,696.0,684.0,65.55,2.23
58,44887.3,8238.9,696.0,684.0,65.3,0.95
59,44894.9,8231.5,696.0,684.0,66.58,1.93
60,44901.8,8224.7,696.0,684.0,66.3,3.17
61,44909.5,8220.6,696.0,684.0,63.98,3.14
62,44917.1,8212.8,696.0,684.0,65.52,2.4
63,44681.2,8397.6,696.0,684.0,40.56,42.64
64,44688.4,8390.5,696.0,684.0,40.43,39.24
65,44695.7,8385.4,696.0,684.0,32.1,51.81
66,44704.1,8380.3,696.0,684.0,40.97,39.73
67,44713.6,8371.9,696.0,684.0,43.47,36.43
68,44720.0,8367.3,696.0,684.0,44.15,33.38
69,44726.4,8359.9,696.0,684.0,46.44,29.99
70,44734.9,8352.6,696.0,684.0,38.22,43.52
71,44742.8,8346.9,696.0,684.0,39.88,43.01
72,44750.6,8339.2,696.0,684.0,32.97,52.46
73,44759.0,8333.2,696.0,684.0,41.46,39.0
74,44765.2,8327.0,696.0,684.0,46.57,31.67
75,44773.0,8320.9,696.0,684.0,53.73,21.76
76,44781.0,8315.2,696.0,684.0,56.17,17.05
77,44787.9,8307.8,696.0,684.0,53.87,20.92
78,44797.0,8301.3,696.0,684.0,66.15,0.28
79,44801.9,8296.2,696.0,684.0,52.82,18.85
80,44810.8,8288.8,696.0,684.0,55.57,17.65
81,44819.2,8282.2,696.0,684.0,55.11,18.68
