HOLE_ID,X,Y,Z,LENGTH,TYPE
FD0001,44383.6,8896.3,680.3,169.87,DD
FD0002,44316.4,8825.6,688.7,241.02,DD
FD0003,44261.7,8754.3,684.7,230.18,DD
FD0004,44202.5,8673.9,676.4,256.5,DD
FD0005,44467.4,8840.8,690.1,176.2,DD
FD0006,44395.7,8764.7,702.8,239.78,DD
FD0007,44344.2,8687.4,704.2,251.56,DD
FD0008,44260.9,8621.2,697.8,278.14,DD
FD0009,44204.8,8536.0,693.6,257.26,DD
FD0010,44137.7,8464.5,677.7,234.57,DD
FD0011,44543.7,8778.0,703.0,224.45,DD
FD0012,44480.1,8702.6,706.8,259.84,DD
FD0013,44417.2,8622.1,705.8,275.09,DD
FD0014,44350.5,8545.4,706.7,258.23,DD
FD0015,44278.2,8467.0,708.7,279.36,DD
FD0016,44220.2,8387.9,706.0,263.98,DD
FD0017,44154.6,8315.4,681.9,199.41,DD
FD0018,44680.4,8793.3,681.5,141.86,DD
FD0019,44620.6,8701.2,706.9,214.88,DD
FD0020,44547.4,8630.6,705.9,242.48,DD
FD0021,44483.2,8547.7,706.1,262.11,DD
FD0022,44428.1,8482.9,707.1,294.06,DD
FD0023,44367.3,8401.9,708.0,277.82,DD
FD0024,44297.2,8327.5,708.3,253.18,DD
FD0025,44235.2,8250.3,703.5,216.14,DD
FD0026,44174.5,8189.5,667.6,128.08,DD
FD0027,44762.1,8722.2,704.3,162.48,DD
FD0028,44690.7,8643.9,707.1,227.68,DD
FD0029,44626.7,8568.3,706.6,259.94,DD
FD0030,44572.3,8489.0,707.4,272.14,DD
FD0031,44490.8,8420.9,707.9,283.23,DD
FD0032,44431.7,8345.8,707.8,279.68,DD
FD0033,44378.5,8269.4,706.7,266.41,DD
FD0034,44310.9,8183.1,703.9,207.81,DD
FD0035,44249.7,8104.4,680.4,119.64,DD
FD0036,44907.6,8734.1,681.7,86.44,DD
FD0037,44834.0,8662.7,707.6,171.81,DD
FD0038,44774.0,8580.4,708.6,199.38,DD
FD0039,44707.0,8499.2,708.7,240.61,DD
FD0040,44642.1,8437.4,709.0,276.79,DD
FD0041,44582.0,8352.1,709.3,285.25,DD
FD0042,44452.5,8191.8,705.2,254.46,DD
FD0043,44384.8,8132.3,702.8,222.76,DD
FD0044,44316.1,8046.3,691.3,143.45,DD
FD0045,44980.7,8689.0,695.0,65.4,DD
FD0046,44905.2,8598.0,708.8,143.47,DD
FD0047,44843.2,8526.2,710.6,196.91,DD
FD0048,44786.8,8440.4,711.3,236.26,DD
FD0049,44719.5,8373.2,711.0,275.51,DD
FD0050,44659.7,8296.1,710.4,286.98,DD
FD0051,44582.1,8230.9,708.1,253.54,DD
FD0052,44531.2,8143.0,705.2,227.85,DD
FD0053,44391.6,7974.7,697.0,128.98,DD
FD0054,45042.1,8602.5,705.5,75.61,DD
FD0055,44995.5,8526.8,709.9,152.52,DD
FD0056,44929.6,8456.8,713.2,211.96,DD
FD0057,44865.3,8372.5,713.6,271.97,DD
FD0058,44797.4,8294.6,712.5,258.01,DD
FD0059,44664.9,8151.2,708.0,260.3,DD
FD0060,44600.1,8064.2,705.2,264.78,DD
FD0061,44479.0,7909.5,700.0,164.05,DD
FD0062,45134.7,8548.0,704.1,82.02,DD
FD0063,45059.8,8473.0,710.6,151.87,DD
FD0064,44998.9,8387.1,714.9,224.23,DD
FD0065,44936.1,8322.6,714.8,253.53,DD
FD0066,44873.8,8242.1,712.8,264.95,DD
FD0067,44808.1,8156.7,710.0,290.48,DD
FD0068,44742.9,8087.9,707.6,254.73,DD
FD0069,44672.2,8005.9,705.6,255.57,DD
FD0070,44617.0,7938.7,704.1,222.01,DD
FD0071,44559.9,7855.8,701.9,161.95,DD
FD0072,45211.5,8479.3,703.9,100.21,DD
FD0073,45143.0,8396.9,711.7,155.52,DD
FD0074,45063.8,8319.7,715.6,224.71,DD
FD0075,45020.0,8249.3,714.7,266.2,DD
FD0076,44954.3,8172.1,711.3,267.91,DD
FD0077,44883.5,8096.2,708.0,268.17,DD
FD0078,44817.7,8015.7,705.8,266.67,DD
FD0079,44738.7,7942.7,705.3,238.93,DD
FD0080,44688.5,7872.0,704.7,191.76,DD
FD0081,44622.0,7787.8,702.9,166.89,DD
FD0082,44564.0,7714.1,680.7,68.74,DD
FD0083,45277.5,8416.4,704.7,108.51,DD
FD0084,45220.0,8334.7,712.2,145.31,DD
FD0085,45151.2,8252.7,715.3,232.19,DD
FD0086,45089.0,8188.0,713.2,240.2,DD
FD0087,45034.4,8117.9,709.3,272.04,DD
