HOLE_ID,FROM,TO,LITH
FD0001,0.0,10.75,LAT
FD0001,10.75,169.87,MAF
FD0002,0.0,20.75,LAT
FD0002,20.75,241.02,MAF
FD0003,0.0,17.75,LAT
FD0003,17.75,230.18,MAF
FD0004,0.0,18.25,LAT
FD0004,18.25,256.5,MAF
FD0005,0.0,11.25,LAT
FD0005,11.25,176.2,MAF
FD0006,0.0,0.25,CG
FD0006,0.25,4.5,HF
FD0006,4.5,6.5,IF
FD0006,6.5,7.0,HF
FD0006,7.0,17.0,IF
FD0006,17.0,46.0,IC
FD0006,46.0,46.25,HC
FD0006,46.25,76.0,IC
FD0006,76.0,76.5,HC
FD0006,76.5,76.75,IC
FD0006,76.75,84.75,HC
FD0006,84.75,85.25,IC
FD0006,85.25,85.75,HC
FD0006,85.75,87.0,IC
FD0006,87.0,87.75,HC
FD0006,87.75,88.0,IC
FD0006,88.0,88.25,HC
FD0006,88.25,127.0,IC
FD0006,127.0,128.0,HC
FD0006,128.0,128.5,IC
FD0006,128.5,129.0,HC
FD0006,129.0,129.25,IC
FD0006,129.25,129.75,HC
FD0006,129.75,130.25,IC
FD0006,130.25,138.25,HC
FD0006,138.25,153.75,IC
FD0006,153.75,157.5,HC
FD0006,157.5,166.25,IC
FD0006,166.25,166.75,HC
FD0006,166.75,169.75,IC
FD0006,169.75,170.0,HC
FD0006,170.0,170.25,IC
FD0006,170.25,171.25,HC
FD0006,171.25,174.5,IC
FD0006,174.5,174.75,HC
FD0006,174.75,175.5,IC
FD0006,175.5,176.25,HC
FD0006,176.25,176.5,IC
FD0006,176.5,176.75,HC
FD0006,176.75,177.0,IC
FD0006,177.0,185.25,HC
FD0006,185.25,192.75,IC
FD0006,192.75,239.78,MAF
FD0007,0.0,10.25,CG
FD0007,10.25,12.75,IF
FD0007,12.75,13.0,HF
FD0007,13.0,14.25,IF
FD0007,14.25,14.75,HF
FD0007,14.75,15.0,IF
FD0007,15.0,17.5,HF
FD0007,17.5,51.25,IC
FD0007,51.25,52.0,HC
FD0007,52.0,53.25,IC
FD0007,53.25,53.5,HC
FD0007,53.5,53.75,IC
FD0007,53.75,54.0,HC
FD0007,54.0,55.25,IC
FD0007,55.25,57.25,HC
FD0007,57.25,74.0,IC
FD0007,74.0,79.0,HC
FD0007,79.0,154.75,IC
FD0007,154.75,155.0,HC
FD0007,155.0,158.25,IC
FD0007,158.25,158.5,HC
FD0007,158.5,158.75,IC
FD0007,158.75,159.25,HC
FD0007,159.25,159.5,IC
FD0007,159.5,159.75,HC
FD0007,159.75,160.25,IC
FD0007,160.25,162.0,HC
FD0007,162.0,163.25,IC
FD0007,163.25,163.5,HC
FD0007,163.5,164.0,IC
FD0007,164.0,166.75,HC
FD0007,166.75,167.0,IC
FD0007,167.0,169.25,HC
FD0007,169.25,173.25,IC
FD0007,173.25,251.56,MAF
FD0008,0.0,2.25,HF
FD0008,2.25,2.75,IF
FD0008,2.75,3.0,HF
FD0008,3.0,3.5,IF
FD0008,3.5,3.75,HF
FD0008,3.75,4.25,IF
FD0008,4.25,4.5,HF
FD0008,4.5,5.0,IF
FD0008,5.0,16.75,HF
FD0008,16.75,19.5,IC
FD0008,19.5,19.75,HC
FD0008,19.75,20.0,IC
FD0008,20.0,20.25,HC
FD0008,20.25,21.5,IC
FD0008,21.5,22.5,HC
FD0008,22.5,23.25,IC
FD0008,23.25,23.5,HC
FD0008,23.5,43.25,IC
FD0008,43.25,43.5,HC
FD0008,43.5,137.25,IC
FD0008,137.25,140.5,HC
FD0008,140.5,142.0,IC
FD0008,142.0,142.25,HC
FD0008,142.25,142.75,IC
FD0008,142.75,143.0,HC
FD0008,143.0,144.25,IC
FD0008,144.25,144.5,HC
FD0008,144.5,148.25,IC
FD0008,148.25,148.75,HC
FD0008,148.75,149.5,IC
FD0008,149.5,149.75,HC
FD0008,149.75,150.25,IC
FD0008,150.25,152.0,HC
FD0008,152.0,152.25,IC
FD0008,152.25,152.75,HC
FD0008,152.75,202.0,IC
FD0008,202.0,278.14,MAF
FD0009,0.0,0.25,CG
FD0009,0.25,3.75,HC
FD0009,3.75,4.0,IC
FD0009,4.0,4.25,HC
FD0009,4.25,4.5,IC
FD0009,4.5,11.0,HC
FD0009,11.0,67.25,IC
FD0009,67.25,76.0,HC
FD0009,76.0,76.75,IC
FD0009,76.75,83.25,HC
FD0009,83.25,118.0,IC
FD0009,118.0,118.25,HC
