HOLE_ID,DEPTH,DIP,AZIMUTH
FD0001,0.0,89.95,219.72
FD0001,50.0,89.97,219.73
FD0001,100.0,90.0,219.63
FD0001,150.0,90.0,219.94
FD0001,169.87,90.0,220.07
FD0002,0.0,89.81,219.81
FD0002,50.0,89.74,219.78
FD0002,100.0,89.46,219.91
FD0002,150.0,89.69,219.51
FD0002,200.0,89.88,219.76
FD0002,241.02,89.77,219.14
FD0003,0.0,89.98,219.26
FD0003,50.0,89.87,219.3
FD0003,100.0,89.76,219.6
FD0003,150.0,89.73,220.1
FD0003,200.0,89.72,220.28
FD0003,230.18,89.7,220.5
FD0004,0.0,90.0,39.98
FD0004,50.0,90.0,40.16
FD0004,100.0,90.0,39.86
FD0004,150.0,90.0,40.34
FD0004,200.0,90.0,40.91
FD0004,250.0,90.0,41.22
FD0004,256.5,90.0,41.29
FD0005,0.0,89.88,219.67
FD0005,50.0,89.5,219.83
FD0005,100.0,89.39,220.1
FD0005,150.0,89.63,219.22
FD0005,176.2,89.96,219.57
FD0006,0.0,89.99,220.5
FD0006,50.0,90.0,220.36
FD0006,100.0,90.0,220.5
FD0006,150.0,90.0,220.33
FD0006,200.0,90.0,220.64
FD0006,239.78,90.0,220.6
FD0007,0.0,90.0,220.06
FD0007,50.0,89.96,220.34
FD0007,100.0,90.0,220.26
FD0007,150.0,90.0,220.38
FD0007,200.0,90.0,220.08
FD0007,250.0,90.0,219.99
FD0007,251.56,90.0,219.68
FD0008,0.0,89.8,39.71
FD0008,50.0,90.0,39.67
FD0008,100.0,90.0,39.9
FD0008,150.0,90.0,39.73
FD0008,200.0,90.0,39.68
FD0008,250.0,90.0,39.45
FD0008,278.14,90.0,39.48
FD0009,0.0,89.94,39.24
FD0009,50.0,89.98,39.4
FD0009,100.0,89.84,40.06
FD0009,150.0,90.0,40.06
FD0009,200.0,90.0,40.33
FD0009,250.0,89.93,40.25
FD0009,257.26,89.79,40.1
FD0010,0.0,89.86,39.71
FD0010,50.0,89.84,39.15
FD0010,100.0,89.82,38.68
FD0010,150.0,89.76,38.92
FD0010,200.0,89.68,38.67
FD0010,234.57,89.72,38.21
FD0011,0.0,90.0,220.03
FD0011,50.0,90.0,219.87
FD0011,100.0,90.0,219.74
FD0011,150.0,90.0,219.58
FD0011,200.0,90.0,219.88
FD0011,224.45,90.0,219.7
FD0012,0.0,90.0,220.18
FD0012,50.0,90.0,220.33
FD0012,100.0,90.0,220.38
FD0012,150.0,89.94,220.0
FD0012,200.0,90.0,220.02
FD0012,250.0,89.67,219.52
FD0012,259.84,89.56,220.02
FD0013,0.0,90.0,219.81
FD0013,50.0,90.0,219.81
FD0013,100.0,90.0,219.66
FD0013,150.0,90.0,219.86
FD0013,200.0,90.0,219.91
FD0013,250.0,90.0,219.69
FD0013,275.09,90.0,219.56
FD0014,0.0,89.84,40.05
FD0014,50.0,89.83,40.11
FD0014,100.0,89.91,40.44
FD0014,150.0,89.96,39.92
FD0014,200.0,90.0,39.84
FD0014,250.0,89.82,39.66
FD0014,258.23,89.75,39.31
FD0015,0.0,89.91,39.8
FD0015,50.0,89.62,39.91
FD0015,100.0,89.63,40.77
FD0015,150.0,89.36,40.75
FD0015,200.0,89.35,40.57
FD0015,250.0,89.2,40.61
FD0015,279.36,89.53,40.64
FD0016,0.0,89.95,40.51
FD0016,50.0,89.94,40.55
FD0016,100.0,89.96,40.86
FD0016,150.0,90.0,40.68
FD0016,200.0,90.0,41.34
FD0016,250.0,90.0,41.19
FD0016,263.98,89.99,41.08
FD0017,0.0,89.87,39.82
FD0017,50.0,89.91,39.77
FD0017,100.0,90.0,39.7
FD0017,150.0,90.0,39.17
FD0017,199.41,89.94,39.32
FD0018,0.0,60.02,220.0
FD0018,50.0,59.97,220.25
FD0018,100.0,60.05,220.56
FD0018,141.86,60.13,220.67
FD0019,0.0,90.0,219.53
FD0019,50.0,90.0,219.59
FD0019,100.0,90.0,219.56
FD0019,150.0,90.0,219.86
FD0019,200.0,90.0,219.45
FD0019,214.88,89.92,219.24
FD0020,0.0,89.85,220.41
FD0020,50.0,89.74,220.82
FD0020,100.0,89.68,220.92
FD0020,150.0,89.73,221.11
FD0020,200.0,89.86,221.45
FD0020,242.48,89.63,221.95
FD0021,0.0,89.68,219.75
FD0021,50.0,89.63,219.89
FD0021,100.0,89.51,220.12
FD0021,150.0,89.54,219.65
FD0021,200.0,89.69,219.87
FD0021,250.0,89.98,219.55
FD0021,262.11,89.87,219.75
FD0022,0.0,90.0,39.78
FD0022,50.0,90.0,40.27
FD0022,100.0,90.0,39.6
FD0022,150.0,90.0,39.76
FD0022,200.0,90.0,39.92
FD0022,250.0,90.0,40.37
FD0022,294.06,90.0,40.27
FD0023,0.0,90.0,40.19
FD0023,50.0,90.0,39.94
FD0023,100.0,90.0,39.96
FD0023,150.0,90.0,39.71
FD0023,200.0,90.0,39.98
FD0023,250.0,90.0,39.56
FD0023,277.82,89.96,39.2
FD0024,0.0,90.0,39.42
FD0024,50.0,89.71,40.02
FD0024,100.0,89.69,39.89
FD0024,150.0,89.59,39.94
FD0024,200.0,89.83,40.81
FD0024,250.0,89.76,40.78
FD0024,253.18,89.72,40.52
FD0025,0.0,90.0,39.98
FD0025,50.0,90.0,39.53
FD0025,100.0,89.99,39.31
FD0025,150.0,89.92,39.37
FD0025,200.0,90.0,39.32
FD0025,216.14,90.0,39.88
FD0026,0.0,60.01,39.92
FD0026,50.0,60.14,39.5
FD0026,100.0,60.02,39.43
FD0026,128.08,59.77,39.56
FD0027,0.0,59.91,220.27
FD0027,50.0,60.02,219.82
FD0027,100.0,60.14,219.6
FD0027,150.0,60.2,219.66
FD0027,162.48,60.42,219.45
FD0028,0.0,89.85,219.81
FD0028,50.0,89.77,219.91
FD0028,100.0,89.63,219.34
FD0028,150.0,89.78,219.41
FD0028,200.0,89.75,219.82
FD0028,227.68,89.58,219.74
FD0029,0.0,89.94,219.82
FD0029,50.0,90.0,220.02
FD0029,100.0,89.87,220.68
FD0029,150.0,89.7,220.82
FD0029,200.0,89.84,220.31
FD0029,250.0,89.93,219.65
FD0029,259.94,89.91,220.0
FD0030,0.0,90.0,219.84
FD0030,50.0,90.0,219.79
FD0030,100.0,90.0,219.87
FD0030,150.0,90.0,219.7
FD0030,200.0,90.0,219.61
FD0030,250.0,90.0,219.79
FD0030,272.14,90.0,220.41
FD0031,0.0,89.82,39.46
FD0031,50.0,89.8,39.72
FD0031,100.0,89.68,40.0
FD0031,150.0,89.69,40.45
FD0031,200.0,89.53,40.43
FD0031,250.0,89.51,40.97
