HOLE_ID,FROM,TO,NI_PCT,CO_PCT,FE_PCT,MGO_PCT,SIO2_PCT,AL2O3_PCT
NL0001,0.0,1.25,0.646,0.063,40.33,0.43,4.62,13.21
NL0001,1.25,2.5,0.544,0.093,44.17,0.3,4.89,9.35
NL0001,2.5,3.43,1.471,0.182,42.35,1.87,11.18,2.75
NL0001,3.43,4.37,1.454,0.131,41.46,2.33,9.66,3.26
NL0001,4.37,5.3,1.67,0.324,38.56,1.45,11.25,1.54
NL0001,5.3,6.23,0.868,0.116,43.44,1.6,10.29,2.82
NL0001,6.23,7.17,1.022,0.056,34.36,2.86,11.11,3.44
NL0001,7.17,8.1,0.767,0.079,44.91,1.67,10.5,3.26
NL0001,8.1,9.08,1.225,0.019,13.6,15.41,39.96,0.98
NL0001,9.08,10.06,1.087,0.014,20.51,8.51,26.24,1.52
NL0001,10.06,11.03,1.104,0.024,13.98,21.79,28.61,1.47
NL0001,11.03,12.01,2.233,0.081,14.57,18.2,30.27,0.98
NL0001,12.01,12.99,1.284,0.05,17.98,17.31,20.24,1.23
NL0001,12.99,13.97,0.837,0.066,19.87,15.93,23.6,1.28
NL0001,13.97,14.94,2.041,0.13,15.05,27.16,29.58,2.03
NL0001,14.94,15.92,1.555,0.041,17.79,23.25,24.46,1.4
NL0001,15.92,16.9,1.414,0.013,11.07,33.72,35.04,1.6
NL0001,16.9,17.95,0.15,0.003,6.51,41.08,27.36,0.89
NL0001,17.95,19.0,0.143,0.003,4.89,54.05,26.22,0.56
NL0002,0.0,1.25,0.556,0.056,26.53,1.23,7.31,12.09
NL0002,1.25,2.5,0.395,0.018,34.65,0.66,5.58,9.26
NL0002,2.5,3.5,1.599,0.043,35.99,1.84,8.21,5.94
NL0002,3.5,4.5,1.39,0.112,37.36,1.85,10.32,3.91
NL0002,4.5,5.5,0.919,0.046,40.4,2.33,13.03,2.03
NL0002,5.5,6.5,1.322,0.102,29.53,4.18,11.2,2.86
NL0002,6.5,7.5,0.504,0.041,35.2,3.66,8.39,6.44
NL0002,7.5,8.5,0.613,0.072,31.91,3.21,9.51,10.98
NL0002,8.5,9.47,0.74,0.022,11.75,25.51,31.03,3.06
NL0002,9.47,10.43,1.178,0.02,15.49,19.13,27.64,1.52
NL0002,10.43,11.4,1.323,0.049,14.87,12.18,27.81,0.93
NL0002,11.4,12.37,0.893,0.025,12.96,15.7,27.62,1.38
NL0002,12.37,13.33,2.776,0.082,12.03,15.18,34.23,1.83
NL0002,13.33,14.3,2.398,0.058,12.48,20.8,42.83,0.98
NL0002,14.3,15.27,1.562,0.025,17.04,14.01,38.09,0.64
NL0002,15.27,16.23,1.312,0.015,11.7,22.09,47.19,0.31
NL0002,16.23,17.2,2.845,0.022,9.63,26.85,43.2,0.54
NL0002,17.2,18.17,3.496,0.014,14.38,19.95,32.52,1.06
NL0002,18.17,19.13,2.651,0.036,12.72,24.78,33.07,1.22
NL0002,19.13,20.1,3.399,0.085,12.9,18.47,36.93,2.42
NL0002,20.1,21.08,0.231,0.022,5.48,35.62,42.77,0.79
NL0002,21.08,22.05,0.289,0.013,6.06,29.51,31.81,0.65
NL0002,22.05,23.02,0.481,0.016,5.65,30.37,34.2,1.14
NL0002,23.02,24.0,0.262,0.011,5.68,21.47,46.8,0.98
NL0003,0.0,1.08,0.597,0.03,34.74,0.6,7.78,20.44
NL0003,1.08,2.15,0.417,0.012,42.58,0.29,6.25,10.91
NL0003,2.15,3.22,0.194,0.006,45.88,0.4,7.12,5.78
