HOLE_ID,X,Y,Z,LENGTH,TYPE
NL0001,29997.4,60000.5,347.9,19.0,RC
NL0002,30049.3,59998.8,347.7,24.0,RC
NL0003,30102.4,59998.8,346.4,22.0,RC
NL0004,30153.7,60001.3,344.3,18.0,RC
NL0005,30199.0,60001.4,342.1,28.0,RC
NL0006,30251.4,60004.2,339.4,29.0,RC
NL0007,30301.3,59999.3,337.6,22.0,RC
NL0008,30347.7,59999.8,336.6,26.0,RC
NL0009,30399.9,59998.8,337.0,36.0,RC
NL0010,30450.6,59997.3,339.2,27.0,RC
NL0011,30502.1,60000.4,342.9,21.0,RC
NL0012,30552.5,60001.6,348.2,20.0,RC
NL0013,30601.5,60001.0,354.4,25.0,RC
NL0014,30649.4,60001.3,361.0,23.0,RC
NL0015,30700.1,59998.1,367.9,30.0,RC
NL0016,30750.3,59996.8,373.9,24.0,RC
NL0017,30799.9,60001.1,378.5,35.0,RC
NL0018,30851.8,59998.5,382.0,27.0,RC
NL0019,30899.1,60000.4,383.5,38.0,RC
NL0020,30953.9,60001.3,383.6,22.0,RC
NL0021,31000.9,60000.7,382.7,22.0,RC
NL0022,30048.7,60050.1,347.3,20.0,RC
NL0023,30100.1,60052.2,346.1,12.0,RC
NL0024,30150.2,60047.4,344.1,18.0,RC
NL0025,30198.6,60048.3,341.6,18.0,RC
NL0026,30250.3,60049.8,338.9,23.0,RC
NL0027,30301.5,60048.9,336.6,24.0,RC
NL0028,30350.9,60050.9,335.3,29.0,RC
NL0029,30398.7,60047.3,335.5,30.0,RC
NL0030,30451.3,60048.1,337.4,27.0,RC
NL0031,30498.9,60048.2,340.7,27.0,RC
NL0032,30597.1,60050.3,351.8,25.0,RC
NL0033,30649.4,60051.3,359.0,30.0,RC
NL0034,30701.7,60049.0,366.2,27.0,RC
NL0035,30750.9,60052.5,372.1,20.0,RC
NL0036,30799.6,60049.1,377.1,26.0,RC
NL0037,30848.9,60051.2,380.4,24.0,RC
NL0038,30901.0,60052.4,382.2,26.0,RC
NL0039,30952.4,60048.8,382.4,33.0,RC
NL0040,31000.0,60049.6,381.4,27.0,RC
NL0041,29998.3,60098.0,347.4,18.0,RC
NL0042,30048.5,60100.0,347.3,29.0,RC
NL0043,30099.2,60099.2,346.2,16.0,RC
NL0044,30149.7,60100.0,344.2,17.0,RC
NL0045,30197.9,60097.8,341.7,20.0,RC
NL0046,30253.7,60102.5,338.7,32.0,RC
NL0047,30299.4,60101.2,336.5,30.0,RC
NL0048,30349.5,60101.5,335.1,27.0,RC
NL0049,30401.7,60099.4,335.0,30.0,RC
NL0050,30448.4,60097.9,336.5,28.0,RC
NL0051,30497.4,60097.6,339.7,50.0,RC
NL0052,30600.5,60099.6,351.2,33.0,RC
NL0053,30649.5,60099.6,357.9,24.0,RC
NL0054,30698.1,60098.6,364.6,19.0,RC
NL0055,30749.6,60101.2,370.9,25.0,RC
NL0056,30799.9,60097.6,376.0,29.0,RC
NL0057,30850.0,60101.1,379.4,17.0,RC
NL0058,30899.7,60099.6,381.1,28.0,RC
NL0059,30950.0,60099.9,381.2,30.0,RC
NL0060,31000.2,60101.1,380.0,20.0,RC
NL0061,29997.8,60150.2,347.5,20.0,RC
NL0062,30052.7,60149.7,347.5,30.0,RC
NL0063,30101.7,60149.4,346.5,21.0,RC
NL0064,30149.4,60153.0,344.9,26.0,RC
NL0065,30200.4,60150.4,342.3,15.0,RC
NL0066,30247.4,60151.9,339.9,42.0,RC
NL0067,30349.0,60149.5,335.9,27.0,RC
NL0068,30400.5,60149.8,335.7,25.0,RC
NL0069,30452.8,60152.0,337.4,26.0,RC
NL0070,30498.5,60149.5,340.3,26.0,RC
NL0071,30548.0,60149.8,345.0,24.0,RC
NL0072,30598.6,60153.6,351.1,19.0,RC
NL0073,30651.1,60151.4,358.1,23.0,RC
NL0074,30699.8,60149.2,364.6,19.0,RC
NL0075,30751.5,60149.8,370.8,20.0,RC
NL0076,30799.4,60151.5,375.4,24.0,RC
NL0077,30853.0,60149.6,378.8,22.0,RC
NL0078,30901.0,60149.7,380.2,38.0,RC
NL0079,30948.6,60150.3,380.1,23.0,RC
NL0080,30999.2,60148.0,378.8,24.0,RC
NL0081,30000.8,60200.3,347.9,25.0,RC
NL0082,30051.7,60200.6,348.1,16.0,RC
NL0083,30101.1,60199.1,347.4,15.0,RC
NL0084,30148.6,60199.1,345.9,22.0,RC
NL0085,30200.8,60202.1,343.7,18.0,RC
NL0086,30250.1,60197.6,341.2,23.0,RC
NL0087,30299.7,60201.7,339.3,26.0,RC
NL0088,30352.1,60200.8,337.8,25.0,RC
NL0089,30401.0,60199.3,337.7,32.0,RC
NL0090,30451.4,60198.9,339.2,26.0,RC
NL0091,30499.1,60200.6,342.2,25.0,RC
NL0092,30550.8,60198.7,346.9,24.0,RC
NL0093,30603.3,60199.6,353.0,21.0,RC
NL0094,30648.5,60198.5,358.8,33.0,RC
NL0095,30698.6,60198.9,365.1,21.0,RC
NL0096,30750.8,60199.5,371.1,23.0,RC
NL0097,30799.1,60198.8,375.3,19.0,RC
NL0098,30851.1,60200.3,378.3,16.0,RC
NL0099,30899.4,60202.2,379.4,25.0,RC
NL0100,30947.3,60197.4,379.2,30.0,RC
NL0101,31000.0,60198.3,377.5,22.0,RC
NL0102,30001.4,60249.9,348.5,33.0,RC
NL0103,30049.9,60251.8,348.9,18.0,RC
NL0104,30151.0,60251.2,347.3,26.0,RC
NL0105,30199.4,60248.1,345.5,17.0,RC
NL0106,30250.1,60251.6,343.7,31.0,RC
NL0107,30298.2,60248.6,341.8,26.0,RC
NL0108,30349.7,60250.0,340.8,30.0,RC
NL0109,30399.7,60249.1,340.7,30.0,RC
NL0110,30452.4,60250.8,342.5,20.0,RC
NL0111,30500.7,60249.0,345.3,22.0,RC
NL0112,30599.8,60250.2,355.1,25.0,RC
NL0113,30648.5,60250.0,360.8,31.0,RC
NL0114,30700.4,60249.0,366.8,24.0,RC
NL0115,30750.1,60251.7,371.9,15.0,RC
NL0116,30800.8,60249.5,375.8,19.0,RC
NL0117,30851.0,60250.1,378.1,16.0,RC
NL0118,30897.7,60250.4,378.8,26.0,RC
NL0119,30949.2,60251.8,378.1,32.0,RC
NL0120,30997.6,60250.1,376.4,28.0,RC
NL0121,30051.1,60299.1,349.7,35.0,RC
NL0122,30099.9,60298.0,349.7,27.0,RC
NL0123,30149.5,60300.2,349.0,26.0,RC
NL0124,30201.7,60297.8,347.6,25.0,RC
NL0125,30248.5,60299.5,346.3,23.0,RC
NL0126,30300.9,60300.0,345.0,19.0,RC
NL0127,30348.7,60298.8,344.3,24.0,RC
NL0128,30400.5,60301.9,344.9,25.0,RC
NL0129,30449.5,60298.9,346.1,19.0,RC
NL0130,30500.2,60298.6,349.1,20.0,RC
NL0131,30550.0,60299.1,353.2,22.0,RC
NL0132,30598.2,60300.9,358.1,17.0,RC
NL0133,30650.9,60301.0,363.7,18.0,RC
NL0134,30699.4,60301.0,368.7,26.0,RC
NL0135,30750.8,60298.2,373.1,24.0,RC
NL0136,30800.6,60301.2,376.2,22.0,RC
NL0137,30850.1,60300.6,377.9,19.0,RC
NL0138,30900.2,60302.3,378.0,31.0,RC
NL0139,30950.2,60297.7,377.0,33.0,RC
NL0140,30999.7,60302.4,374.9,32.0,RC
NL0141,30000.3,60347.4,349.7,30.0,RC
NL0142,30050.1,60351.9,350.6,26.0,RC
NL0143,30098.5,60351.5,351.0,40.0,RC
NL0144,30151.5,60350.7,350.7,48.0,RC
NL0145,30199.4,60351.0,350.1,21.0,RC
NL0146,30250.1,60350.6,349.2,25.0,RC
NL0147,30300.5,60352.4,348.7,25.0,RC
NL0148,30350.2,60347.3,348.1,21.0,RC
