HOLE_ID,FROM,TO,HORIZON
NL0001,0.0,2.5,FERR
NL0001,2.5,8.1,LIM
NL0001,8.1,16.9,SAP
NL0001,16.9,19.0,BRK
NL0002,0.0,2.5,FERR
NL0002,2.5,8.5,LIM
NL0002,8.5,20.1,SAP
NL0002,20.1,24.0,BRK
NL0003,0.0,4.3,FERR
NL0003,4.3,10.3,LIM
NL0003,10.3,18.9,SAP
NL0003,18.9,22.0,BRK
NL0004,0.0,3.7,FERR
NL0004,3.7,8.8,LIM
NL0004,8.8,13.9,SAP
NL0004,13.9,18.0,BRK
NL0005,0.0,3.2,FERR
NL0005,3.2,12.2,LIM
NL0005,12.2,25.0,SAP
NL0005,25.0,28.0,BRK
NL0006,0.0,4.1,FERR
NL0006,4.1,12.7,LIM
NL0006,12.7,25.8,SAP
NL0006,25.8,29.0,BRK
NL0007,0.0,3.2,FERR
NL0007,3.2,12.1,LIM
NL0007,12.1,19.2,SAP
NL0007,19.2,22.0,BRK
NL0008,0.0,5.2,FERR
NL0008,5.2,15.4,LIM
NL0008,15.4,22.8,SAP
NL0008,22.8,26.0,BRK
NL0009,0.0,3.7,FERR
NL0009,3.7,17.8,LIM
NL0009,17.8,32.3,SAP
NL0009,32.3,36.0,BRK
NL0010,0.0,3.3,FERR
NL0010,3.3,15.4,LIM
NL0010,15.4,23.1,SAP
NL0010,23.1,27.0,BRK
NL0011,0.0,2.2,FERR
NL0011,2.2,10.7,LIM
NL0011,10.7,17.4,SAP
NL0011,17.4,21.0,BRK
NL0012,0.0,2.5,FERR
NL0012,2.5,11.2,LIM
NL0012,11.2,16.6,SAP
NL0012,16.6,20.0,BRK
NL0013,0.0,2.8,FERR
NL0013,2.8,12.7,LIM
NL0013,12.7,21.4,SAP
NL0013,21.4,25.0,BRK
NL0014,0.0,3.0,FERR
NL0014,3.0,12.0,LIM
NL0014,12.0,19.8,SAP
NL0014,19.8,23.0,BRK
NL0015,0.0,1.3,FERR
NL0015,1.3,9.9,LIM
NL0015,9.9,26.0,SAP
NL0015,26.0,30.0,BRK
NL0016,0.0,2.2,FERR
NL0016,2.2,13.9,LIM
NL0016,13.9,18.8,SAP
NL0016,18.8,24.0,BRK
NL0017,0.0,1.6,FERR
NL0017,1.6,11.9,LIM
NL0017,11.9,32.6,SAP
NL0017,32.6,35.0,BRK
NL0018,0.0,0.5,FERR
NL0018,0.5,12.8,LIM
NL0018,12.8,22.9,SAP
NL0018,22.9,27.0,BRK
NL0019,0.0,1.2,FERR
NL0019,1.2,17.4,LIM
NL0019,17.4,33.4,SAP
NL0019,33.4,38.0,BRK
NL0020,0.0,2.1,FERR
NL0020,2.1,11.2,LIM
NL0020,11.2,18.8,SAP
NL0020,18.8,22.0,BRK
NL0021,0.0,2.5,FERR
NL0021,2.5,9.4,LIM
NL0021,9.4,19.4,SAP
NL0021,19.4,22.0,BRK
NL0022,0.0,1.4,FERR
NL0022,1.4,6.6,LIM
NL0022,6.6,14.9,SAP
NL0022,14.9,20.0,BRK
NL0023,0.0,1.9,FERR
NL0023,1.9,7.0,LIM
NL0023,7.0,9.6,SAP
NL0023,9.6,12.0,BRK
NL0024,0.0,2.6,FERR
NL0024,2.6,8.4,LIM
NL0024,8.4,13.7,SAP
NL0024,13.7,18.0,BRK
NL0025,0.0,5.4,LIM
NL0025,5.4,14.7,SAP
NL0025,14.7,18.0,BRK
NL0026,0.0,1.5,FERR
NL0026,1.5,7.5,LIM
NL0026,7.5,19.3,SAP
NL0026,19.3,23.0,BRK
NL0027,0.0,2.8,FERR
NL0027,2.8,11.9,LIM
NL0027,11.9,21.1,SAP
NL0027,21.1,24.0,BRK
NL0028,0.0,3.2,FERR
NL0028,3.2,12.0,LIM
NL0028,12.0,24.2,SAP
NL0028,24.2,29.0,BRK
NL0029,0.0,3.1,FERR
NL0029,3.1,12.4,LIM
NL0029,12.4,26.0,SAP
NL0029,26.0,30.0,BRK
NL0030,0.0,4.6,FERR
NL0030,4.6,15.1,LIM
NL0030,15.1,22.3,SAP
NL0030,22.3,27.0,BRK
NL0031,0.0,2.4,FERR
NL0031,2.4,12.4,LIM
NL0031,12.4,24.2,SAP
NL0031,24.2,27.0,BRK
NL0032,0.0,3.1,FERR
NL0032,3.1,12.1,LIM
NL0032,12.1,21.7,SAP
NL0032,21.7,25.0,BRK
NL0033,0.0,2.9,FERR
NL0033,2.9,13.0,LIM
NL0033,13.0,25.5,SAP
NL0033,25.5,30.0,BRK
NL0034,0.0,2.4,FERR
NL0034,2.4,11.2,LIM
NL0034,11.2,23.1,SAP
NL0034,23.1,27.0,BRK
NL0035,0.0,1.5,FERR
NL0035,1.5,9.8,LIM
NL0035,9.8,17.2,SAP
NL0035,17.2,20.0,BRK
NL0036,0.0,2.3,FERR
NL0036,2.3,12.5,LIM
NL0036,12.5,22.4,SAP
NL0036,22.4,26.0,BRK
NL0037,0.0,1.4,FERR
NL0037,1.4,11.7,LIM
NL0037,11.7,19.2,SAP
NL0037,19.2,24.0,BRK
NL0038,0.0,2.0,FERR
NL0038,2.0,16.6,LIM
NL0038,16.6,23.8,SAP
NL0038,23.8,26.0,BRK
NL0039,0.0,2.2,FERR
NL0039,2.2,12.7,LIM
NL0039,12.7,29.2,SAP
NL0039,29.2,33.0,BRK
NL0040,0.0,1.7,FERR
NL0040,1.7,9.9,LIM
NL0040,9.9,24.4,SAP
NL0040,24.4,27.0,BRK
NL0041,0.0,0.6,FERR
NL0041,0.6,6.7,LIM
NL0041,6.7,12.8,SAP
NL0041,12.8,18.0,BRK
NL0042,0.0,2.7,FERR
NL0042,2.7,9.0,LIM
NL0042,9.0,25.4,SAP
NL0042,25.4,29.0,BRK
NL0043,0.0,1.5,FERR
NL0043,1.5,6.1,LIM
NL0043,6.1,13.6,SAP
NL0043,13.6,16.0,BRK
NL0044,0.0,1.7,FERR
NL0044,1.7,7.8,LIM
NL0044,7.8,13.3,SAP
NL0044,13.3,17.0,BRK
NL0045,0.0,0.9,FERR
NL0045,0.9,6.9,LIM
NL0045,6.9,17.4,SAP
NL0045,17.4,20.0,BRK
NL0046,0.0,1.5,FERR
NL0046,1.5,10.9,LIM
NL0046,10.9,29.4,SAP
NL0046,29.4,32.0,BRK
NL0047,0.0,2.4,FERR
NL0047,2.4,14.2,LIM
NL0047,14.2,26.4,SAP
NL0047,26.4,30.0,BRK
NL0048,0.0,1.8,FERR
NL0048,1.8,11.3,LIM
NL0048,11.3,24.2,SAP
NL0048,24.2,27.0,BRK
NL0049,0.0,4.3,FERR
NL0049,4.3,14.4,LIM
NL0049,14.4,27.6,SAP
NL0049,27.6,30.0,BRK
NL0050,0.0,3.4,FERR
NL0050,3.4,14.5,LIM
NL0050,14.5,25.1,SAP
NL0050,25.1,28.0,BRK
NL0051,0.0,2.1,FERR
NL0051,2.1,13.6,LIM
NL0051,13.6,47.7,SAP
NL0051,47.7,50.0,BRK
NL0052,0.0,4.3,FERR
NL0052,4.3,11.8,LIM
NL0052,11.8,31.1,SAP
NL0052,31.1,33.0,BRK
NL0053,0.0,3.4,FERR
NL0053,3.4,10.0,LIM
NL0053,10.0,20.5,SAP
NL0053,20.5,24.0,BRK
NL0054,0.0,0.7,FERR
NL0054,0.7,9.8,LIM
NL0054,9.8,14.6,SAP
NL0054,14.6,19.0,BRK
NL0055,0.0,1.3,FERR
NL0055,1.3,10.7,LIM
NL0055,10.7,20.9,SAP
NL0055,20.9,25.0,BRK
NL0056,0.0,2.2,FERR
NL0056,2.2,12.7,LIM
NL0056,12.7,26.0,SAP
NL0056,26.0,29.0,BRK
NL0057,0.0,1.2,FERR
NL0057,1.2,9.9,LIM
NL0057,9.9,14.7,SAP
NL0057,14.7,17.0,BRK
NL0058,0.0,3.0,FERR
NL0058,3.0,12.8,LIM
NL0058,12.8,23.2,SAP
NL0058,23.2,28.0,BRK
NL0059,0.0,2.2,FERR
NL0059,2.2,13.7,LIM
NL0059,13.7,26.8,SAP
NL0059,26.8,30.0,BRK
NL0060,0.0,2.8,FERR
NL0060,2.8,11.7,LIM
NL0060,11.7,15.9,SAP
NL0060,15.9,20.0,BRK
NL0061,0.0,2.7,FERR
NL0061,2.7,8.8,LIM
NL0061,8.8,17.4,SAP
NL0061,17.4,20.0,BRK
NL0062,0.0,3.6,FERR
NL0062,3.6,9.1,LIM
NL0062,9.1,25.0,SAP
NL0062,25.0,30.0,BRK
NL0063,0.0,2.1,FERR
NL0063,2.1,7.6,LIM
NL0063,7.6,15.6,SAP
NL0063,15.6,21.0,BRK
NL0064,0.0,2.5,FERR
NL0064,2.5,8.8,LIM
NL0064,8.8,20.9,SAP
NL0064,20.9,26.0,BRK
NL0065,0.0,6.3,LIM
NL0065,6.3,11.7,SAP
NL0065,11.7,15.0,BRK
NL0066,0.0,1.5,FERR
NL0066,1.5,7.6,LIM
NL0066,7.6,37.6,SAP
NL0066,37.6,42.0,BRK
NL0067,0.0,1.4,FERR
NL0067,1.4,7.8,LIM
NL0067,7.8,23.4,SAP
NL0067,23.4,27.0,BRK
NL0068,0.0,1.9,FERR
NL0068,1.9,10.7,LIM
NL0068,10.7,21.8,SAP
NL0068,21.8,25.0,BRK
NL0069,0.0,3.5,FERR
NL0069,3.5,11.2,LIM
NL0069,11.2,23.3,SAP
NL0069,23.3,26.0,BRK
NL0070,0.0,2.9,FERR
NL0070,2.9,10.5,LIM
NL0070,10.5,22.3,SAP
NL0070,22.3,26.0,BRK
NL0071,0.0,2.9,FERR
NL0071,2.9,10.8,LIM
NL0071,10.8,20.2,SAP
NL0071,20.2,24.0,BRK
NL0072,0.0,3.0,FERR
NL0072,3.0,10.4,LIM
NL0072,10.4,16.1,SAP
NL0072,16.1,19.0,BRK
NL0073,0.0,2.9,FERR
NL0073,2.9,9.9,LIM
NL0073,9.9,19.1,SAP
NL0073,19.1,23.0,BRK
NL0074,0.0,1.8,FERR
NL0074,1.8,10.7,LIM
NL0074,10.7,15.0,SAP
NL0074,15.0,19.0,BRK
NL0075,0.0,2.0,FERR
NL0075,2.0,9.8,LIM
NL0075,9.8,17.1,SAP
NL0075,17.1,20.0,BRK
NL0076,0.0,2.6,FERR
NL0076,2.6,13.7,LIM
NL0076,13.7,19.3,SAP
NL0076,19.3,24.0,BRK
