HOLE_ID,DEPTH,DIP,AZIMUTH
NL0001,0.0,90.0,0.0
NL0001,19.0,90.0,0.0
NL0002,0.0,90.0,0.0
NL0002,24.0,90.0,0.0
NL0003,0.0,90.0,0.0
NL0003,22.0,90.0,0.0
NL0004,0.0,90.0,0.0
NL0004,18.0,90.0,0.0
NL0005,0.0,90.0,0.0
NL0005,28.0,90.0,0.0
NL0006,0.0,90.0,0.0
NL0006,29.0,90.0,0.0
NL0007,0.0,90.0,0.0
NL0007,22.0,90.0,0.0
NL0008,0.0,90.0,0.0
NL0008,26.0,90.0,0.0
NL0009,0.0,90.0,0.0
NL0009,36.0,90.0,0.0
NL0010,0.0,90.0,0.0
NL0010,27.0,90.0,0.0
NL0011,0.0,90.0,0.0
NL0011,21.0,90.0,0.0
NL0012,0.0,90.0,0.0
NL0012,20.0,90.0,0.0
NL0013,0.0,90.0,0.0
NL0013,25.0,90.0,0.0
NL0014,0.0,90.0,0.0
NL0014,23.0,90.0,0.0
NL0015,0.0,90.0,0.0
NL0015,30.0,90.0,0.0
NL0016,0.0,90.0,0.0
NL0016,24.0,90.0,0.0
NL0017,0.0,90.0,0.0
NL0017,35.0,90.0,0.0
NL0018,0.0,90.0,0.0
NL0018,27.0,90.0,0.0
NL0019,0.0,90.0,0.0
NL0019,38.0,90.0,0.0
NL0020,0.0,90.0,0.0
NL0020,22.0,90.0,0.0
NL0021,0.0,90.0,0.0
NL0021,22.0,90.0,0.0
NL0022,0.0,90.0,0.0
NL0022,20.0,90.0,0.0
NL0023,0.0,90.0,0.0
NL0023,12.0,90.0,0.0
NL0024,0.0,90.0,0.0
NL0024,18.0,90.0,0.0
NL0025,0.0,90.0,0.0
NL0025,18.0,90.0,0.0
NL0026,0.0,90.0,0.0
NL0026,23.0,90.0,0.0
NL0027,0.0,90.0,0.0
NL0027,24.0,90.0,0.0
NL0028,0.0,90.0,0.0
NL0028,29.0,90.0,0.0
NL0029,0.0,90.0,0.0
NL0029,30.0,90.0,0.0
NL0030,0.0,90.0,0.0
NL0030,27.0,90.0,0.0
NL0031,0.0,90.0,0.0
NL0031,27.0,90.0,0.0
NL0032,0.0,90.0,0.0
NL0032,25.0,90.0,0.0
NL0033,0.0,90.0,0.0
NL0033,30.0,90.0,0.0
NL0034,0.0,90.0,0.0
NL0034,27.0,90.0,0.0
NL0035,0.0,90.0,0.0
NL0035,20.0,90.0,0.0
NL0036,0.0,90.0,0.0
NL0036,26.0,90.0,0.0
NL0037,0.0,90.0,0.0
NL0037,24.0,90.0,0.0
NL0038,0.0,90.0,0.0
NL0038,26.0,90.0,0.0
NL0039,0.0,90.0,0.0
NL0039,33.0,90.0,0.0
NL0040,0.0,90.0,0.0
NL0040,27.0,90.0,0.0
NL0041,0.0,90.0,0.0
NL0041,18.0,90.0,0.0
NL0042,0.0,90.0,0.0
NL0042,29.0,90.0,0.0
NL0043,0.0,90.0,0.0
NL0043,16.0,90.0,0.0
NL0044,0.0,90.0,0.0
NL0044,17.0,90.0,0.0
NL0045,0.0,90.0,0.0
NL0045,20.0,90.0,0.0
NL0046,0.0,90.0,0.0
NL0046,32.0,90.0,0.0
NL0047,0.0,90.0,0.0
NL0047,30.0,90.0,0.0
NL0048,0.0,90.0,0.0
NL0048,27.0,90.0,0.0
NL0049,0.0,90.0,0.0
NL0049,30.0,90.0,0.0
NL0050,0.0,90.0,0.0
NL0050,28.0,90.0,0.0
NL0051,0.0,90.0,0.0
NL0051,50.0,90.0,0.0
NL0052,0.0,90.0,0.0
NL0052,33.0,90.0,0.0
NL0053,0.0,90.0,0.0
NL0053,24.0,90.0,0.0
NL0054,0.0,90.0,0.0
NL0054,19.0,90.0,0.0
NL0055,0.0,90.0,0.0
NL0055,25.0,90.0,0.0
NL0056,0.0,90.0,0.0
NL0056,29.0,90.0,0.0
NL0057,0.0,90.0,0.0
NL0057,17.0,90.0,0.0
NL0058,0.0,90.0,0.0
NL0058,28.0,90.0,0.0
NL0059,0.0,90.0,0.0
NL0059,30.0,90.0,0.0
NL0060,0.0,90.0,0.0
NL0060,20.0,90.0,0.0
NL0061,0.0,90.0,0.0
NL0061,20.0,90.0,0.0
NL0062,0.0,90.0,0.0
NL0062,30.0,90.0,0.0
NL0063,0.0,90.0,0.0
NL0063,21.0,90.0,0.0
NL0064,0.0,90.0,0.0
NL0064,26.0,90.0,0.0
NL0065,0.0,90.0,0.0
NL0065,15.0,90.0,0.0
NL0066,0.0,90.0,0.0
NL0066,42.0,90.0,0.0
NL0067,0.0,90.0,0.0
NL0067,27.0,90.0,0.0
NL0068,0.0,90.0,0.0
NL0068,25.0,90.0,0.0
NL0069,0.0,90.0,0.0
NL0069,26.0,90.0,0.0
NL0070,0.0,90.0,0.0
NL0070,26.0,90.0,0.0
NL0071,0.0,90.0,0.0
NL0071,24.0,90.0,0.0
NL0072,0.0,90.0,0.0
NL0072,19.0,90.0,0.0
NL0073,0.0,90.0,0.0
NL0073,23.0,90.0,0.0
NL0074,0.0,90.0,0.0
NL0074,19.0,90.0,0.0
NL0075,0.0,90.0,0.0
NL0075,20.0,90.0,0.0
NL0076,0.0,90.0,0.0
NL0076,24.0,90.0,0.0
NL0077,0.0,90.0,0.0
NL0077,22.0,90.0,0.0
NL0078,0.0,90.0,0.0
NL0078,38.0,90.0,0.0
NL0079,0.0,90.0,0.0
NL0079,23.0,90.0,0.0
NL0080,0.0,90.0,0.0
NL0080,24.0,90.0,0.0
NL0081,0.0,90.0,0.0
NL0081,25.0,90.0,0.0
NL0082,0.0,90.0,0.0
NL0082,16.0,90.0,0.0
NL0083,0.0,90.0,0.0
NL0083,15.0,90.0,0.0
NL0084,0.0,90.0,0.0
NL0084,22.0,90.0,0.0
NL0085,0.0,90.0,0.0
NL0085,18.0,90.0,0.0
NL0086,0.0,90.0,0.0
NL0086,23.0,90.0,0.0
NL0087,0.0,90.0,0.0
NL0087,26.0,90.0,0.0
NL0088,0.0,90.0,0.0
NL0088,25.0,90.0,0.0
NL0089,0.0,90.0,0.0
NL0089,32.0,90.0,0.0
NL0090,0.0,90.0,0.0
NL0090,26.0,90.0,0.0
NL0091,0.0,90.0,0.0
NL0091,25.0,90.0,0.0
NL0092,0.0,90.0,0.0
NL0092,24.0,90.0,0.0
NL0093,0.0,90.0,0.0
NL0093,21.0,90.0,0.0
NL0094,0.0,90.0,0.0
NL0094,33.0,90.0,0.0
NL0095,0.0,90.0,0.0
NL0095,21.0,90.0,0.0
NL0096,0.0,90.0,0.0
