HOLE_ID,FROM,TO,P2O5_PCT,P2O5_AP_PCT,CAO_PCT,SIO2_PCT,FE2O3_PCT,AL2O3_PCT,MGO_PCT
PF0001,0.0,3.5,1.9,0.18,0.25,22.27,24.27,18.99,
PF0001,3.5,7.75,6.25,0.51,0.72,11.52,35.94,10.94,0.76
PF0001,7.75,12.0,5.52,0.21,0.31,18.48,27.55,10.37,0.38
PF0001,12.0,16.25,2.39,0.15,0.21,18.97,33.32,12.14,0.65
PF0001,16.25,21.7,20.78,11.88,16.67,11.38,22.74,2.94,
PF0001,21.7,27.15,12.34,5.9,7.99,10.13,25.63,4.15,1.54
PF0001,27.15,32.6,15.28,10.7,14.55,6.58,26.85,5.19,2.79
PF0001,32.6,38.05,16.1,7.58,10.01,11.8,26.44,3.25,1.97
PF0001,38.05,43.5,7.3,3.66,4.88,16.27,36.52,6.39,1.54
PF0001,43.5,48.56,11.43,7.91,10.89,16.96,21.84,3.42,4.19
PF0001,48.56,53.62,9.61,8.86,11.78,19.54,17.06,2.65,6.79
PF0001,53.62,58.69,9.19,8.38,12.16,27.03,16.14,2.03,5.18
PF0001,58.69,63.75,3.82,3.57,4.77,28.81,25.4,4.85,
PF0001,63.75,68.72,2.68,2.49,16.13,26.22,19.6,1.96,4.86
PF0001,68.72,73.69,2.07,2.01,15.33,18.55,23.82,1.9,
PF0001,73.69,78.66,2.2,2.0,15.5,30.08,18.39,1.93,10.18
PF0001,78.66,83.62,3.35,3.09,17.02,26.69,13.71,1.87,7.63
PF0002,0.0,2.75,1.21,0.2,0.27,33.75,26.78,22.33,
PF0002,2.75,7.0,4.19,0.28,0.38,16.47,28.66,21.29,0.67
PF0002,7.0,11.25,7.42,0.39,0.53,12.66,32.9,13.19,0.73
PF0002,11.25,15.5,7.36,0.65,0.91,15.77,29.84,18.86,0.67
PF0002,15.5,20.38,15.46,10.6,14.3,9.27,19.07,4.67,2.33
PF0002,20.38,25.25,4.96,4.34,6.25,21.36,38.96,4.3,1.91
PF0002,25.25,30.12,12.96,6.72,9.33,16.58,26.63,4.64,1.06
PF0002,30.12,35.0,13.81,5.69,8.07,8.23,26.03,7.61,
PF0002,35.0,39.88,10.15,6.56,8.76,12.66,34.26,9.25,2.11
PF0002,39.88,44.75,22.42,16.59,22.12,6.27,26.34,5.2,3.27
PF0002,44.75,50.25,14.72,12.49,17.47,16.09,19.37,3.77,5.8
PF0002,50.25,55.75,6.6,5.99,11.92,19.42,24.6,2.48,7.76
PF0002,55.75,61.25,12.84,11.33,16.08,13.36,20.62,2.65,8.55
PF0002,61.25,66.75,6.22,5.8,10.71,23.2,21.26,3.89,11.41
PF0002,66.75,72.42,3.61,3.32,15.58,18.82,13.48,1.8,
PF0002,72.42,78.09,4.95,4.84,19.12,14.2,16.51,1.83,7.75
PF0002,78.09,83.76,1.55,1.46,8.77,39.29,22.9,4.11,12.64
PF0003,0.0,2.5,2.57,0.26,0.36,19.02,31.98,18.23,
PF0003,2.5,7.33,8.56,0.63,0.9,11.63,22.92,27.32,1.06
PF0003,7.33,12.17,6.18,0.66,0.88,10.35,42.46,24.84,
PF0003,12.17,17.0,3.19,0.3,0.43,16.79,33.91,20.07,0.43
PF0003,17.0,22.18,12.7,7.53,10.43,10.6,32.15,4.74,1.46
PF0003,22.18,27.36,19.75,12.7,17.47,11.94,20.9,5.04,1.59
PF0003,27.36,32.54,13.01,5.78,8.21,10.25,32.43,9.77,1.48
PF0003,32.54,37.71,21.4,8.12,11.51,14.89,31.39,4.53,2.42
PF0003,37.71,42.89,13.25,5.04,6.99,11.62,27.0,5.98,2.81
PF0003,42.89,48.07,10.71,5.88,8.44,14.64,36.07,5.17,2.26
PF0003,48.07,53.25,16.75,7.5,10.4,10.72,40.53,2.87,2.25
PF0003,53.25,58.38,7.55,7.1,9.71,25.67,16.8,2.18,6.84
PF0003,58.38,63.5,8.54,7.67,11.11,23.56,16.95,3.18,
PF0003,63.5,68.62,6.49,6.44,11.67,27.62,25.52,2.12,7.09
PF0003,68.62,73.75,5.7,5.59,8.38,17.55,23.62,4.02,7.59
PF0003,73.75,78.5,2.99,2.86,14.32,24.55,14.87,2.05,
PF0003,78.5,83.24,3.77,3.52,17.57,24.18,14.17,2.59,12.08
PF0003,83.24,87.99,3.53,3.27,17.25,16.58,18.48,1.41,16.35
PF0003,87.99,92.74,3.6,3.57,14.2,21.08,17.29,1.06,7.75
PF0003,92.74,97.48,5.43,5.37,19.76,21.2,10.47,2.69,13.21
PF0003,97.48,102.23,3.26,3.02,12.63,18.67,11.25,2.18,6.32
PF0003,102.23,106.97,4.5,4.45,18.53,28.41,17.68,1.69,8.78
PF0004,0.0,2.5,1.29,0.12,0.16,48.77,30.56,13.87,0.35
PF0004,2.5,7.69,3.48,0.4,0.54,17.36,33.86,34.56,0.37
PF0004,7.69,12.88,4.47,0.36,0.52,17.94,36.22,19.71,0.53
PF0004,12.88,18.06,4.48,0.71,1.0,18.22,40.35,18.73,0.76
PF0004,18.06,23.25,5.36,0.38,0.53,12.61,35.88,25.78,0.4
PF0004,23.25,28.36,10.39,10.13,13.68,10.82,27.72,2.84,2.28
PF0004,28.36,33.47,8.34,7.73,14.13,14.87,17.67,3.96,5.13
PF0004,33.47,38.58,9.35,8.64,15.35,13.21,33.75,2.64,
PF0004,38.58,43.69,11.94,11.06,20.34,13.23,17.73,2.73,3.92
PF0004,43.69,48.81,11.27,8.81,12.35,14.46,26.08,4.83,2.37
PF0004,48.81,53.92,15.23,13.08,17.87,12.81,26.32,3.59,
PF0004,53.92,59.03,10.16,5.72,7.96,14.68,35.7,5.72,1.76
PF0004,59.03,64.14,14.16,10.9,14.75,9.2,30.07,5.37,3.01
PF0004,64.14,69.25,9.75,6.43,8.52,10.41,26.05,3.36,0.8
PF0004,69.25,74.0,7.24,6.96,10.85,21.41,24.0,1.71,
PF0004,74.0,78.75,10.29,7.47,10.52,11.35,19.98,2.26,7.05
PF0004,78.75,83.5,8.08,7.38,15.25,21.57,20.0,3.6,11.2
PF0004,83.5,88.25,11.29,10.01,14.36,25.61,23.87,4.28,7.57
PF0004,88.25,93.0,7.03,5.53,7.34,18.66,15.25,2.75,7.37
PF0004,93.0,95.98,2.02,1.93,6.53,16.92,9.38,1.19,7.18
PF0005,0.0,2.25,3.24,0.43,0.57,27.75,25.44,22.32,0.7
PF0005,2.25,7.62,10.52,0.65,0.91,14.1,21.6,25.99,0.62
