HOLE_ID,X,Y,Z,LENGTH,TYPE
PF0001,59999.4,22351.3,1110.7,83.62,RC
PF0002,60010.9,22455.4,1117.6,83.76,RC
PF0003,59996.1,22550.7,1126.2,106.97,RC
PF0004,60001.5,22645.4,1136.4,95.98,DD
PF0005,60000.9,22748.1,1148.1,103.33,RC
PF0006,60006.9,22844.0,1158.3,102.04,RC
PF0007,60000.8,23138.1,1178.5,78.76,RC
PF0008,60000.0,23248.5,1177.8,94.28,RC
PF0009,59989.9,23359.6,1171.4,104.09,RC
PF0010,59995.2,23549.5,1152.6,111.0,RC
PF0011,59995.7,23644.9,1142.6,95.34,DD
PF0012,59995.8,23748.8,1134.0,91.74,RC
PF0013,60099.3,22346.1,1114.5,99.02,RC
PF0014,60106.9,22447.6,1119.3,87.25,DD
PF0015,60096.1,22558.0,1126.7,88.26,RC
PF0016,60096.6,22749.0,1143.1,84.99,RC
PF0017,60101.3,22851.1,1151.6,110.86,RC
PF0018,60095.6,23043.5,1166.7,111.75,DD
PF0019,60106.0,23151.4,1169.9,99.77,RC
PF0020,60097.2,23244.3,1172.0,93.8,RC
PF0021,60095.8,23346.4,1169.2,96.15,RC
PF0022,60106.9,23446.3,1161.7,95.83,DD
PF0023,60086.0,23556.3,1153.0,90.76,DD
PF0024,60095.2,23650.4,1143.7,102.27,RC
PF0025,60095.7,23756.1,1135.4,111.43,DD
PF0026,60210.4,22454.7,1122.6,102.66,RC
PF0027,60190.7,22549.5,1126.3,102.1,RC
PF0028,60196.2,22655.0,1131.4,102.06,RC
PF0029,60198.4,22748.6,1136.0,84.79,RC
PF0030,60196.9,22948.1,1146.0,97.19,RC
PF0031,60197.6,23053.0,1150.6,99.08,RC
PF0032,60196.0,23150.0,1154.3,103.7,RC
PF0033,60204.6,23243.4,1154.0,86.26,RC
PF0034,60194.8,23344.6,1154.8,96.09,RC
PF0035,60198.4,23447.0,1149.9,92.32,RC
PF0036,60206.5,23545.6,1142.6,75.8,DD
PF0037,60194.1,23747.9,1130.8,86.23,RC
PF0038,60303.9,22260.1,1120.4,88.33,RC
PF0039,60300.1,22345.7,1122.6,109.31,RC
PF0040,60289.5,22446.0,1125.2,99.42,RC
PF0041,60296.7,22545.5,1127.9,99.11,RC
PF0042,60307.7,22646.7,1129.7,103.95,RC
PF0043,60298.6,22743.8,1130.6,85.35,RC
PF0044,60305.5,23061.9,1131.3,87.25,RC
PF0045,60306.9,23140.4,1131.6,87.4,RC
PF0046,60289.1,23243.6,1135.8,94.06,RC
PF0047,60303.6,23353.1,1131.8,92.81,RC
PF0048,60304.2,23454.9,1129.0,80.32,RC
PF0049,60304.9,23544.3,1125.4,71.65,RC
PF0050,60295.3,23652.1,1122.4,82.03,RC
PF0051,60296.7,23750.7,1118.8,70.3,DD
PF0052,60404.8,22354.1,1125.7,98.25,RC
PF0053,60397.3,22449.0,1128.9,96.17,DD
PF0054,60404.3,22641.7,1130.7,89.81,RC
PF0055,60402.4,22845.9,1124.8,98.5,DD
PF0056,60396.4,22955.8,1120.9,80.4,DD
PF0057,60398.2,23145.8,1115.4,86.46,RC
PF0058,60406.4,23251.4,1112.1,80.02,RC
PF0059,60406.0,23352.2,1110.3,74.25,RC
PF0060,60398.8,23452.8,1109.5,67.51,RC
PF0061,60398.6,23650.6,1104.3,77.73,RC
PF0062,60407.4,23752.9,1101.5,84.94,RC
PF0063,60505.3,22352.2,1125.8,102.29,RC
PF0064,60502.7,22449.8,1130.6,109.0,RC
PF0065,60488.6,22548.7,1132.8,99.36,RC
PF0066,60504.8,22649.3,1132.4,103.41,RC
PF0067,60500.0,22741.5,1129.0,92.15,RC
PF0068,60503.4,22946.4,1115.7,79.5,RC
PF0069,60491.8,23049.0,1109.3,96.86,RC
PF0070,60501.2,23149.1,1103.0,88.22,RC
PF0071,60503.4,23349.0,1095.1,70.38,RC
PF0072,60507.5,23452.2,1091.5,69.98,DD
PF0073,60495.6,23542.3,1090.7,63.38,RC
PF0074,60498.7,23755.3,1087.7,80.47,RC
PF0075,60605.0,22252.1,1114.8,97.47,DD
PF0076,60598.2,22352.0,1123.0,87.61,DD
PF0077,60597.8,22843.9,1123.5,78.25,RC
PF0078,60603.8,23148.7,1098.4,76.85,RC
PF0079,60609.9,23245.4,1092.2,87.38,DD
PF0080,60612.1,23448.1,1083.0,84.07,RC
PF0081,60600.1,23545.8,1080.2,93.94,RC
PF0082,60602.3,23645.2,1077.4,88.73,DD
PF0083,60595.8,23755.1,1076.8,95.05,RC
PF0084,60694.5,22250.6,1108.6,84.03,RC
PF0085,60689.5,22357.6,1118.2,96.84,RC
PF0086,60708.5,22461.5,1124.7,102.57,RC
PF0087,60703.7,22551.1,1129.6,116.05,DD
PF0088,60694.9,22649.9,1131.7,102.86,DD
PF0089,60698.1,22756.9,1129.2,110.72,DD
PF0090,60709.5,22854.3,1123.7,88.3,RC
PF0091,60703.4,22952.0,1116.0,92.74,RC
PF0092,60702.6,23048.6,1107.7,101.33,DD
PF0093,60698.2,23145.8,1099.8,91.58,RC
PF0094,60706.9,23258.0,1092.6,90.81,RC
PF0095,60691.5,23348.4,1087.3,95.37,RC
PF0096,60695.8,23449.6,1082.8,100.19,DD
PF0097,60699.5,23550.2,1078.8,100.59,RC
PF0098,60704.8,23752.9,1072.9,96.61,RC
PF0099,60791.7,22354.8,1110.3,109.59,RC
PF0100,60801.5,22445.5,1116.8,97.48,RC
PF0101,60803.6,22542.0,1123.0,120.91,RC
PF0102,60799.1,22742.9,1127.4,130.78,RC
PF0103,60800.3,22855.0,1123.6,113.4,RC
PF0104,60806.2,23050.7,1111.3,100.02,RC
PF0105,60795.2,23249.3,1098.4,99.8,RC
PF0106,60796.5,23350.1,1093.8,89.06,RC
PF0107,60801.0,23454.7,1090.0,99.48,RC
PF0108,60800.9,23547.5,1086.2,113.63,RC
PF0109,60802.0,23658.0,1081.5,100.07,RC
PF0110,60813.6,23747.5,1079.1,103.31,RC
PF0111,60897.4,22247.2,1095.0,80.06,RC
PF0112,60897.6,22444.8,1109.6,121.73,RC
PF0113,60896.9,22557.1,1117.3,111.65,RC
PF0114,60897.8,22645.8,1121.5,136.96,RC
PF0115,60903.5,22767.3,1123.5,124.43,RC
PF0116,60902.5,22850.4,1122.6,127.62,RC
PF0117,60895.3,22948.2,1119.4,105.12,DD
PF0118,60902.4,23051.3,1115.0,97.37,RC
PF0119,60902.9,23138.7,1111.3,89.77,DD
PF0120,60894.6,23449.8,1101.5,108.08,RC
PF0121,60899.9,23644.3,1095.2,118.46,RC
PF0122,60894.1,23751.5,1089.0,97.97,RC
PF0123,60998.7,22351.5,1098.7,90.37,RC
PF0124,61002.9,22459.9,1105.5,103.54,DD
PF0125,61001.6,22555.1,1111.7,115.14,RC
PF0126,61004.9,22650.5,1116.8,109.02,RC
PF0127,60998.8,22752.5,1120.5,127.2,RC
PF0128,61003.8,22842.2,1121.6,115.19,RC
PF0129,60991.7,22939.9,1120.8,111.61,RC
PF0130,60991.6,23053.7,1118.5,95.1,RC
PF0131,61005.8,23145.0,1117.7,91.38,DD
PF0132,61002.0,23358.1,1116.6,90.03,RC
PF0133,61002.8,23556.9,1115.5,112.86,DD
PF0134,61000.0,23755.1,1107.0,106.41,RC
PF0135,61097.9,22352.0,1100.3,87.79,RC
PF0136,61104.2,22451.0,1105.1,97.95,RC
PF0137,61105.1,22551.4,1110.6,92.36,RC
PF0138,61099.2,22749.1,1120.2,116.89,RC
PF0139,61086.8,22858.2,1122.7,114.31,RC
PF0140,61105.1,22957.9,1124.3,121.6,RC
PF0141,61100.9,23144.3,1124.4,88.6,DD
PF0142,61080.3,23242.8,1123.7,99.19,RC
PF0143,61099.0,23342.4,1127.5,103.18,RC
PF0144,61096.4,23453.9,1129.7,87.32,RC
PF0145,61100.7,23651.7,1130.1,110.06,RC
PF0146,61209.9,22249.4,1108.9,91.26,RC
PF0147,61189.9,22546.5,1114.4,92.76,RC
PF0148,61206.9,22656.8,1121.3,106.36,RC
PF0149,61190.9,22749.7,1124.4,91.41,RC
PF0150,61206.4,22854.9,1129.4,112.22,RC
PF0151,61200.4,22953.1,1130.9,96.53,RC
PF0152,61198.7,23053.9,1131.9,99.22,RC
PF0153,61204.3,23247.8,1135.7,88.0,RC
PF0154,61198.4,23352.0,1138.5,93.87,RC
PF0155,61201.7,23444.8,1142.3,87.57,RC
PF0156,61204.6,23560.4,1146.0,81.66,RC
PF0157,61193.4,23650.4,1144.8,108.81,RC
PF0158,61288.8,22246.3,1121.3,102.75,RC
PF0159,61307.6,22349.5,1123.3,95.7,RC
PF0160,61299.7,22445.8,1122.9,103.62,RC
PF0161,61295.7,22548.0,1125.4,108.6,RC
PF0162,61291.8,22749.4,1134.4,108.19,RC
PF0163,61303.6,22858.0,1140.3,86.13,RC
PF0164,61291.5,23047.6,1142.5,80.64,RC
PF0165,61302.7,23261.4,1147.1,100.22,RC
PF0166,61295.2,23353.4,1148.9,90.07,RC
PF0167,61300.4,23552.3,1156.5,92.6,RC
PF0168,61303.2,23651.2,1158.3,95.77,RC
PF0169,61301.6,23750.9,1156.7,94.28,RC
PF0170,61388.4,22348.6,1137.3,87.29,DD
PF0171,61398.8,22450.8,1138.7,95.29,RC
PF0172,61401.1,22545.4,1141.0,91.12,RC
PF0173,61400.9,22649.5,1145.1,108.77,RC
PF0174,61396.4,22747.9,1149.4,91.01,RC
PF0175,61411.3,22861.2,1157.1,96.39,RC
PF0176,61395.3,22953.7,1157.2,93.17,RC
PF0177,61396.3,23049.5,1158.7,79.98,RC
PF0178,61399.1,23150.3,1159.5,100.77,RC
PF0179,61401.4,23254.0,1160.1,87.76,RC
PF0180,61401.2,23752.6,1165.4,93.56,RC
