HOLE_ID,FROM,TO,HORIZON
PF0001,0.0,3.5,SOIL
PF0001,3.5,16.25,ALU
PF0001,16.25,43.5,OXI
PF0001,43.5,63.75,SAP
PF0001,63.75,83.62,ROCK
PF0002,0.0,2.75,SOIL
PF0002,2.75,15.5,ALU
PF0002,15.5,44.75,OXI
PF0002,44.75,66.75,SAP
PF0002,66.75,83.76,ROCK
PF0003,0.0,2.5,SOIL
PF0003,2.5,17.0,ALU
PF0003,17.0,53.25,OXI
PF0003,53.25,73.75,SAP
PF0003,73.75,106.97,ROCK
PF0004,0.0,2.5,SOIL
PF0004,2.5,23.25,ALU
PF0004,23.25,69.25,OXI
PF0004,69.25,93.0,SAP
PF0004,93.0,95.98,ROCK
PF0005,0.0,2.25,SOIL
PF0005,2.25,23.75,ALU
PF0005,23.75,61.75,OXI
PF0005,61.75,79.5,SAP
PF0005,79.5,103.33,ROCK
PF0006,0.0,3.0,SOIL
PF0006,3.0,27.25,ALU
PF0006,27.25,62.25,OXI
PF0006,62.25,80.25,SAP
PF0006,80.25,102.04,ROCK
PF0007,0.0,1.75,SOIL
PF0007,1.75,20.25,ALU
PF0007,20.25,43.75,OXI
PF0007,43.75,63.0,SAP
PF0007,63.0,78.76,ROCK
PF0008,0.0,1.0,SOIL
PF0008,1.0,18.75,ALU
PF0008,18.75,44.25,OXI
PF0008,44.25,61.75,SAP
PF0008,61.75,94.28,ROCK
PF0009,0.0,2.0,SOIL
PF0009,2.0,21.25,ALU
PF0009,21.25,51.75,OXI
PF0009,51.75,68.25,SAP
PF0009,68.25,104.09,ROCK
PF0010,0.0,2.0,SOIL
PF0010,2.0,24.25,ALU
PF0010,24.25,61.0,OXI
PF0010,61.0,75.25,SAP
PF0010,75.25,111.0,ROCK
PF0011,0.0,2.0,SOIL
PF0011,2.0,25.75,ALU
PF0011,25.75,67.75,OXI
PF0011,67.75,82.5,SAP
PF0011,82.5,95.34,ROCK
PF0012,0.0,2.25,SOIL
PF0012,2.25,20.75,ALU
PF0012,20.75,59.25,OXI
PF0012,59.25,73.0,SAP
PF0012,73.0,91.74,ROCK
PF0013,0.0,3.5,SOIL
PF0013,3.5,16.0,ALU
PF0013,16.0,38.0,OXI
PF0013,38.0,61.75,SAP
PF0013,61.75,99.02,ROCK
PF0014,0.0,3.75,SOIL
PF0014,3.75,18.75,ALU
PF0014,18.75,43.5,OXI
PF0014,43.5,74.25,SAP
PF0014,74.25,87.25,ROCK
PF0015,0.0,3.0,SOIL
PF0015,3.0,16.25,ALU
PF0015,16.25,40.5,OXI
PF0015,40.5,66.75,SAP
PF0015,66.75,88.26,ROCK
PF0016,0.0,2.0,SOIL
PF0016,2.0,21.25,ALU
PF0016,21.25,47.5,OXI
PF0016,47.5,69.0,SAP
PF0016,69.0,84.99,ROCK
PF0017,0.0,3.0,SOIL
PF0017,3.0,26.0,ALU
PF0017,26.0,52.5,OXI
PF0017,52.5,73.25,SAP
PF0017,73.25,110.86,ROCK
PF0018,0.0,4.5,SOIL
PF0018,4.5,32.5,ALU
PF0018,32.5,65.25,OXI
PF0018,65.25,90.75,SAP
PF0018,90.75,111.75,ROCK
PF0019,0.0,2.0,SOIL
PF0019,2.0,21.75,ALU
PF0019,21.75,45.0,OXI
PF0019,45.0,64.25,SAP
PF0019,64.25,99.77,ROCK
PF0020,0.0,1.25,SOIL
PF0020,1.25,19.25,ALU
PF0020,19.25,42.25,OXI
PF0020,42.25,60.0,SAP
PF0020,60.0,93.8,ROCK
PF0021,0.0,2.0,SOIL
PF0021,2.0,19.5,ALU
PF0021,19.5,46.5,OXI
PF0021,46.5,63.25,SAP
PF0021,63.25,96.15,ROCK
PF0022,0.0,2.75,SOIL
PF0022,2.75,23.5,ALU
PF0022,23.5,56.5,OXI
PF0022,56.5,73.5,SAP
PF0022,73.5,95.83,ROCK
PF0023,0.0,2.0,SOIL
PF0023,2.0,25.75,ALU
PF0023,25.75,65.5,OXI
PF0023,65.5,80.0,SAP
PF0023,80.0,90.76,ROCK
PF0024,0.0,1.5,SOIL
PF0024,1.5,24.0,ALU
PF0024,24.0,62.5,OXI
PF0024,62.5,73.5,SAP
