HOLE_ID,DEPTH,DIP,AZIMUTH
PF0001,0.0,89.97,180.03
PF0001,50.0,89.98,180.49
PF0001,83.62,90.0,180.4
PF0002,0.0,90.0,179.53
PF0002,50.0,90.0,179.89
PF0002,83.76,90.0,179.74
PF0003,0.0,90.0,180.24
PF0003,50.0,89.92,180.31
PF0003,100.0,89.76,180.37
PF0003,106.97,89.73,180.56
PF0004,0.0,60.15,180.01
PF0004,50.0,60.16,179.74
PF0004,95.98,60.18,179.72
PF0005,0.0,90.0,179.86
PF0005,50.0,89.93,180.1
PF0005,100.0,89.82,180.05
PF0005,103.33,89.75,179.99
PF0006,0.0,90.0,180.09
PF0006,50.0,90.0,179.75
PF0006,100.0,90.0,179.9
PF0006,102.04,90.0,180.05
PF0007,0.0,90.0,180.01
PF0007,50.0,90.0,179.79
PF0007,78.76,90.0,179.71
PF0008,0.0,89.97,180.13
PF0008,50.0,90.0,180.27
PF0008,94.28,89.88,179.98
PF0009,0.0,90.0,180.09
PF0009,50.0,89.97,180.36
PF0009,100.0,89.99,180.57
PF0009,104.09,89.94,181.06
PF0010,0.0,89.92,180.01
PF0010,50.0,89.92,180.18
PF0010,100.0,90.0,180.39
PF0010,111.0,89.83,180.4
PF0011,0.0,60.01,180.44
PF0011,50.0,59.94,180.35
PF0011,95.34,59.91,180.36
PF0012,0.0,90.0,180.03
PF0012,50.0,90.0,179.95
PF0012,91.74,90.0,179.74
PF0013,0.0,90.0,179.8
PF0013,50.0,90.0,179.37
PF0013,99.02,90.0,179.11
PF0014,0.0,59.87,180.14
PF0014,50.0,59.88,180.08
PF0014,87.25,59.79,180.03
PF0015,0.0,90.0,180.4
PF0015,50.0,90.0,180.36
PF0015,88.26,89.99,180.22
PF0016,0.0,89.86,179.76
PF0016,50.0,89.81,179.95
PF0016,84.99,89.84,179.98
PF0017,0.0,90.0,179.82
PF0017,50.0,89.96,179.86
PF0017,100.0,89.96,179.87
PF0017,110.86,89.87,179.84
PF0018,0.0,60.11,180.06
PF0018,50.0,60.12,179.82
PF0018,100.0,60.18,179.32
PF0018,111.75,60.24,179.38
PF0019,0.0,89.98,180.07
PF0019,50.0,89.89,179.68
PF0019,99.77,89.86,179.7
PF0020,0.0,89.93,180.18
PF0020,50.0,89.84,180.46
PF0020,93.8,89.63,180.57
PF0021,0.0,89.84,180.12
PF0021,50.0,89.8,180.31
PF0021,96.15,89.88,180.02
PF0022,0.0,59.92,179.94
PF0022,50.0,59.81,179.73
PF0022,95.83,59.77,179.67
PF0023,0.0,59.92,180.01
PF0023,50.0,59.93,179.8
PF0023,90.76,60.0,180.1
PF0024,0.0,89.99,180.09
PF0024,50.0,90.0,180.35
PF0024,100.0,90.0,180.27
PF0024,102.27,90.0,180.02
PF0025,0.0,60.08,179.84
PF0025,50.0,60.07,179.94
PF0025,100.0,60.04,179.72
PF0025,111.43,60.09,179.73
PF0026,0.0,90.0,179.81
PF0026,50.0,90.0,179.93
PF0026,100.0,90.0,179.86
PF0026,102.66,90.0,179.92
PF0027,0.0,90.0,179.76
PF0027,50.0,90.0,179.59
PF0027,100.0,90.0,179.76
PF0027,102.1,90.0,180.17
PF0028,0.0,89.89,179.69
PF0028,50.0,89.88,179.41
PF0028,100.0,89.79,179.36
PF0028,102.06,89.96,179.0
PF0029,0.0,90.0,180.44
PF0029,50.0,90.0,180.45
PF0029,84.79,90.0,180.7
PF0030,0.0,89.96,179.79
PF0030,50.0,90.0,179.88
PF0030,97.19,89.88,180.03
PF0031,0.0,90.0,179.78
PF0031,50.0,90.0,179.81
PF0031,99.08,90.0,180.11
PF0032,0.0,89.99,179.89
PF0032,50.0,90.0,179.93
PF0032,100.0,90.0,179.9
PF0032,103.7,90.0,179.6
PF0033,0.0,90.0,179.93
PF0033,50.0,90.0,179.84
PF0033,86.26,90.0,180.05
PF0034,0.0,89.86,179.69
PF0034,50.0,89.93,179.47
PF0034,96.09,89.79,179.2
PF0035,0.0,89.94,179.83
PF0035,50.0,90.0,179.54
PF0035,92.32,90.0,179.22
PF0036,0.0,59.97,179.86
PF0036,50.0,59.89,179.8
PF0036,75.8,60.13,179.9
PF0037,0.0,89.91,179.71
PF0037,50.0,89.97,179.62
PF0037,86.23,90.0,179.57
PF0038,0.0,89.98,180.09
PF0038,50.0,89.98,180.19
PF0038,88.33,90.0,179.99
PF0039,0.0,89.8,179.9
PF0039,50.0,89.67,179.89
PF0039,100.0,89.65,179.55
PF0039,109.31,89.63,179.47
PF0040,0.0,89.97,179.5
PF0040,50.0,89.8,179.99
PF0040,99.42,89.76,179.99
PF0041,0.0,90.0,180.63
PF0041,50.0,90.0,180.5
PF0041,99.11,90.0,180.85
PF0042,0.0,89.89,180.08
PF0042,50.0,89.77,179.94
PF0042,100.0,89.72,179.75
PF0042,103.95,89.96,179.72
PF0043,0.0,90.0,180.12
PF0043,50.0,90.0,179.94
PF0043,85.35,90.0,179.88
PF0044,0.0,90.0,180.0
PF0044,50.0,90.0,180.15
PF0044,87.25,89.97,180.15
PF0045,0.0,90.0,180.27
PF0045,50.0,89.89,180.21
PF0045,87.4,89.87,180.28
PF0046,0.0,90.0,180.01
PF0046,50.0,90.0,180.12
PF0046,94.06,90.0,179.79
PF0047,0.0,89.86,179.96
PF0047,50.0,89.9,179.81
PF0047,92.81,90.0,179.53
PF0048,0.0,90.0,179.94
PF0048,50.0,89.99,179.89
PF0048,80.32,89.89,179.9
PF0049,0.0,89.97,179.92
PF0049,50.0,90.0,180.17
PF0049,71.65,90.0,180.26
PF0050,0.0,90.0,179.86
PF0050,50.0,90.0,179.81
PF0050,82.03,90.0,179.45
PF0051,0.0,59.92,179.72
PF0051,50.0,59.98,179.89
PF0051,70.3,60.12,179.85
PF0052,0.0,90.0,179.96
PF0052,50.0,90.0,179.99
PF0052,98.25,90.0,180.13
PF0053,0.0,59.97,179.84
PF0053,50.0,60.05,179.64
PF0053,96.17,60.14,179.71
PF0054,0.0,89.87,180.07
PF0054,50.0,89.77,180.21
PF0054,89.81,89.7,180.17
PF0055,0.0,60.0,180.01
PF0055,50.0,60.04,179.87
PF0055,98.5,60.09,179.91
PF0056,0.0,59.96,179.54
PF0056,50.0,59.96,179.59
PF0056,80.4,60.03,179.8
PF0057,0.0,89.99,179.42
PF0057,50.0,89.9,179.2
PF0057,86.46,89.86,178.9
PF0058,0.0,90.0,180.17
PF0058,50.0,90.0,180.13
PF0058,80.02,90.0,180.36
PF0059,0.0,90.0,179.89
PF0059,50.0,90.0,180.02
PF0059,74.25,89.97,179.89
PF0060,0.0,90.0,180.28
PF0060,50.0,90.0,179.97
PF0060,67.51,90.0,179.86
PF0061,0.0,90.0,179.88
PF0061,50.0,90.0,180.14
PF0061,77.73,90.0,180.18
PF0062,0.0,90.0,180.24
PF0062,50.0,90.0,180.28
PF0062,84.94,90.0,180.45
PF0063,0.0,89.75,180.25
PF0063,50.0,89.84,180.06
PF0063,100.0,89.85,180.18
PF0063,102.29,89.85,180.17
PF0064,0.0,89.84,180.19
PF0064,50.0,89.91,180.32
PF0064,100.0,89.88,180.46
PF0064,109.0,89.97,180.28
PF0065,0.0,89.92,179.64
PF0065,50.0,89.97,179.66
PF0065,99.36,90.0,179.6
PF0066,0.0,90.0,180.16
PF0066,50.0,90.0,180.15
PF0066,100.0,90.0,180.36
PF0066,103.41,90.0,179.96
PF0067,0.0,90.0,180.14
PF0067,50.0,90.0,179.67
PF0067,92.15,90.0,179.59
PF0068,0.0,89.9,180.13
PF0068,50.0,89.89,179.84
PF0068,79.5,89.82,179.68
PF0069,0.0,89.93,179.75
PF0069,50.0,89.93,179.93
PF0069,96.86,89.91,180.01
PF0070,0.0,90.0,180.35
PF0070,50.0,90.0,180.12
PF0070,88.22,89.87,180.05
PF0071,0.0,89.95,179.83
PF0071,50.0,90.0,179.66
PF0071,70.38,90.0,179.64
PF0072,0.0,60.04,180.07
PF0072,50.0,60.12,179.64
PF0072,69.98,60.11,179.81
PF0073,0.0,90.0,180.04
PF0073,50.0,89.97,179.96
PF0073,63.38,90.0,180.43
PF0074,0.0,90.0,179.99
PF0074,50.0,90.0,179.99
PF0074,80.47,90.0,180.17
PF0075,0.0,59.98,179.59
PF0075,50.0,60.04,179.31
PF0075,97.47,60.08,178.94
PF0076,0.0,59.98,180.38
PF0076,50.0,59.81,180.57
PF0076,87.61,59.69,180.63
PF0077,0.0,90.0,180.26
PF0077,50.0,90.0,180.04
PF0077,78.25,89.9,180.04
PF0078,0.0,89.98,180.12
PF0078,50.0,90.0,180.23
PF0078,76.85,90.0,180.32
PF0079,0.0,59.92,180.25
PF0079,50.0,59.77,180.5
PF0079,87.38,59.81,180.59
PF0080,0.0,90.0,179.94
PF0080,50.0,89.98,179.78
PF0080,84.07,90.0,179.48
PF0081,0.0,89.97,179.68
PF0081,50.0,90.0,179.83
PF0081,93.94,89.98,179.62
PF0082,0.0,60.11,180.04
PF0082,50.0,60.08,180.15
PF0082,88.73,60.18,179.85
PF0083,0.0,90.0,179.87
PF0083,50.0,90.0,179.95
PF0083,95.05,90.0,179.76
PF0084,0.0,89.96,180.0
PF0084,50.0,89.83,179.96
PF0084,84.03,89.7,180.18
PF0085,0.0,89.92,179.89
PF0085,50.0,89.85,179.74
PF0085,96.84,89.95,179.49
PF0086,0.0,90.0,179.74
PF0086,50.0,90.0,179.86
PF0086,100.0,90.0,179.74
PF0086,102.57,90.0,179.88
PF0087,0.0,59.99,179.8
PF0087,50.0,59.96,179.62
PF0087,100.0,60.07,179.82
PF0087,116.05,60.15,179.75
PF0088,0.0,59.91,179.85
PF0088,50.0,60.02,179.96
PF0088,100.0,60.04,179.68
PF0088,102.86,60.0,180.02
PF0089,0.0,59.97,180.04
PF0089,50.0,59.97,180.23
PF0089,100.0,60.0,180.54
PF0089,110.72,59.96,180.72
PF0090,0.0,90.0,180.15
PF0090,50.0,90.0,179.94
PF0090,88.3,90.0,179.75
PF0091,0.0,90.0,180.02
PF0091,50.0,89.89,180.08
PF0091,92.74,90.0,180.11
PF0092,0.0,60.16,180.07
PF0092,50.0,60.01,179.99
PF0092,100.0,60.1,179.98
PF0092,101.33,60.23,179.75
PF0093,0.0,90.0,180.42
PF0093,50.0,89.88,180.48
PF0093,91.58,89.9,180.3
PF0094,0.0,89.85,179.9
PF0094,50.0,89.85,180.11
PF0094,90.81,89.77,180.1
PF0095,0.0,89.95,180.1
PF0095,50.0,89.99,180.39
PF0095,95.37,89.86,180.25
PF0096,0.0,59.95,179.98
PF0096,50.0,60.13,180.12
PF0096,100.0,59.94,179.63
PF0096,100.19,60.05,179.56
PF0097,0.0,90.0,179.79
PF0097,50.0,90.0,179.89
PF0097,100.0,89.99,179.59
PF0097,100.59,90.0,179.72
PF0098,0.0,89.86,180.09
PF0098,50.0,89.84,180.69
PF0098,96.61,89.93,180.75
PF0099,0.0,89.96,180.24
PF0099,50.0,89.87,180.02
PF0099,100.0,89.95,179.96
PF0099,109.59,89.98,180.17
PF0100,0.0,89.94,179.9
PF0100,50.0,89.92,179.82
PF0100,97.48,90.0,180.03
PF0101,0.0,90.0,180.04
PF0101,50.0,90.0,179.83
PF0101,100.0,90.0,179.31
PF0101,120.91,90.0,179.58
PF0102,0.0,89.99,180.15
PF0102,50.0,89.97,180.12
PF0102,100.0,89.89,179.99
PF0102,130.78,89.87,180.3
PF0103,0.0,90.0,179.96
PF0103,50.0,90.0,179.52
PF0103,100.0,90.0,179.37
PF0103,113.4,89.94,179.24
PF0104,0.0,89.91,180.23
PF0104,50.0,90.0,179.91
PF0104,100.0,89.96,179.59
PF0104,100.02,89.96,179.14
PF0105,0.0,89.94,179.88
PF0105,50.0,89.88,179.81
PF0105,99.8,89.91,179.67
PF0106,0.0,89.97,179.89
PF0106,50.0,90.0,180.02
PF0106,89.06,90.0,179.99
PF0107,0.0,89.83,180.21
PF0107,50.0,89.79,179.68
PF0107,99.48,89.62,179.56
PF0108,0.0,90.0,179.9
PF0108,50.0,90.0,179.44
PF0108,100.0,89.91,179.28
PF0108,113.63,89.93,179.41
PF0109,0.0,89.94,180.03
PF0109,50.0,90.0,180.11
PF0109,100.0,90.0,180.02
PF0109,100.07,89.96,180.23
PF0110,0.0,89.95,179.87
PF0110,50.0,89.99,179.85
PF0110,100.0,90.0,179.59
PF0110,103.31,90.0,179.54
PF0111,0.0,90.0,180.27
PF0111,50.0,90.0,180.03
PF0111,80.06,90.0,180.03
PF0112,0.0,89.93,179.84
PF0112,50.0,90.0,179.82
PF0112,100.0,89.99,179.84
PF0112,121.73,90.0,180.06
PF0113,0.0,90.0,179.69
PF0113,50.0,90.0,179.67
PF0113,100.0,90.0,180.05
PF0113,111.65,90.0,180.22
PF0114,0.0,89.96,179.67
PF0114,50.0,90.0,179.26
PF0114,100.0,90.0,179.63
PF0114,136.96,90.0,179.65
PF0115,0.0,89.92,179.78
PF0115,50.0,89.91,179.75
PF0115,100.0,89.84,179.87
PF0115,124.43,89.8,179.81
PF0116,0.0,90.0,180.09
PF0116,50.0,89.91,179.82
PF0116,100.0,90.0,180.11
PF0116,127.62,90.0,180.05
PF0117,0.0,59.85,180.08
PF0117,50.0,59.85,180.09
PF0117,100.0,59.86,179.97
PF0117,105.12,59.82,179.63
PF0118,0.0,90.0,180.05
PF0118,50.0,90.0,180.07
PF0118,97.37,90.0,180.05
PF0119,0.0,60.0,180.11
PF0119,50.0,59.87,179.84
PF0119,89.77,59.78,179.69
PF0120,0.0,90.0,179.79
PF0120,50.0,90.0,179.65
PF0120,100.0,90.0,179.89
PF0120,108.08,90.0,179.58
PF0121,0.0,90.0,179.9
PF0121,50.0,90.0,179.98
PF0121,100.0,89.99,179.86
PF0121,118.46,89.96,179.93
PF0122,0.0,90.0,180.21
PF0122,50.0,90.0,180.27
PF0122,97.97,90.0,180.52
PF0123,0.0,90.0,179.95
PF0123,50.0,90.0,179.98
PF0123,90.37,90.0,179.82
PF0124,0.0,60.12,179.81
PF0124,50.0,60.31,179.85
PF0124,100.0,60.44,180.24
PF0124,103.54,60.51,180.34
PF0125,0.0,90.0,180.13
PF0125,50.0,89.82,180.03
PF0125,100.0,89.74,179.97
PF0125,115.14,89.86,180.13
PF0126,0.0,89.97,180.0
PF0126,50.0,90.0,180.0
PF0126,100.0,90.0,180.02
PF0126,109.02,90.0,179.99
PF0127,0.0,90.0,180.1
PF0127,50.0,89.95,180.24
PF0127,100.0,90.0,179.94
PF0127,127.2,90.0,179.9
PF0128,0.0,89.99,179.78
PF0128,50.0,89.92,179.97
PF0128,100.0,90.0,180.07
PF0128,115.19,90.0,179.75
PF0129,0.0,89.86,179.99
PF0129,50.0,89.73,180.07
PF0129,100.0,89.79,179.7
PF0129,111.61,89.78,179.52
PF0130,0.0,90.0,179.77
PF0130,50.0,90.0,179.62
PF0130,95.1,90.0,179.96
PF0131,0.0,60.04,179.85
PF0131,50.0,60.04,179.82
PF0131,91.38,59.97,179.99
PF0132,0.0,90.0,179.77
PF0132,50.0,89.93,179.65
PF0132,90.03,89.78,179.48
PF0133,0.0,59.96,180.15
PF0133,50.0,60.14,179.96
PF0133,100.0,60.13,180.33
PF0133,112.86,60.22,180.24
PF0134,0.0,89.83,179.79
PF0134,50.0,89.97,179.69
PF0134,100.0,89.95,179.52
PF0134,106.41,90.0,179.48
PF0135,0.0,89.92,179.9
PF0135,50.0,89.95,180.05
PF0135,87.79,89.94,179.91
PF0136,0.0,90.0,179.8
PF0136,50.0,90.0,180.04
PF0136,97.95,90.0,180.55
PF0137,0.0,89.96,179.95
PF0137,50.0,89.84,180.16
PF0137,92.36,89.93,180.36
PF0138,0.0,90.0,179.85
PF0138,50.0,90.0,179.91
PF0138,100.0,90.0,179.78
PF0138,116.89,90.0,180.05
PF0139,0.0,89.88,180.06
PF0139,50.0,89.89,180.05
PF0139,100.0,89.94,180.24
PF0139,114.31,89.96,179.86
PF0140,0.0,90.0,180.28
PF0140,50.0,90.0,180.52
PF0140,100.0,90.0,180.53
PF0140,121.6,90.0,180.44
PF0141,0.0,60.01,180.16
PF0141,50.0,59.98,180.01
PF0141,88.6,59.87,180.04
PF0142,0.0,90.0,180.0
PF0142,50.0,89.95,179.73
PF0142,99.19,90.0,179.7
PF0143,0.0,90.0,180.19
PF0143,50.0,90.0,179.79
PF0143,100.0,90.0,180.05
PF0143,103.18,90.0,179.72
PF0144,0.0,90.0,180.04
PF0144,50.0,89.97,180.17
PF0144,87.32,90.0,180.37
PF0145,0.0,90.0,179.93
PF0145,50.0,90.0,179.87
PF0145,100.0,90.0,180.12
PF0145,110.06,90.0,180.13
PF0146,0.0,89.92,180.32
PF0146,50.0,89.8,180.85
PF0146,91.26,89.92,181.31
PF0147,0.0,89.91,180.09
PF0147,50.0,89.95,179.8
