X,Y,Z
59800.0,22050.0,1107.58
59810.0,22050.0,1108.04
59820.0,22050.0,1108.5
59830.0,22050.0,1108.96
59840.0,22050.0,1109.41
59850.0,22050.0,1109.85
59860.0,22050.0,1110.29
59870.0,22050.0,1110.72
59880.0,22050.0,1111.14
59890.0,22050.0,1111.55
59900.0,22050.0,1111.96
59910.0,22050.0,1112.35
59920.0,22050.0,1112.74
59930.0,22050.0,1113.12
59940.0,22050.0,1113.49
59950.0,22050.0,1113.84
59960.0,22050.0,1114.19
59970.0,22050.0,1114.52
59980.0,22050.0,1114.85
59990.0,22050.0,1115.16
60000.0,22050.0,1115.45
60010.0,22050.0,1115.74
60020.0,22050.0,1116.01
60030.0,22050.0,1116.26
60040.0,22050.0,1116.51
60050.0,22050.0,1116.73
60060.0,22050.0,1116.94
60070.0,22050.0,1117.14
60080.0,22050.0,1117.31
60090.0,22050.0,1117.48
60100.0,22050.0,1117.62
60110.0,22050.0,1117.74
60120.0,22050.0,1117.85
60130.0,22050.0,1117.94
60140.0,22050.0,1118.01
60150.0,22050.0,1118.06
60160.0,22050.0,1118.09
60170.0,22050.0,1118.11
60180.0,22050.0,1118.1
60190.0,22050.0,1118.07
60200.0,22050.0,1118.02
60210.0,22050.0,1117.94
60220.0,22050.0,1117.85
60230.0,22050.0,1117.74
60240.0,22050.0,1117.6
60250.0,22050.0,1117.44
60260.0,22050.0,1117.26
60270.0,22050.0,1117.06
60280.0,22050.0,1116.83
60290.0,22050.0,1116.59
60300.0,22050.0,1116.32
60310.0,22050.0,1116.03
60320.0,22050.0,1115.71
60330.0,22050.0,1115.38
60340.0,22050.0,1115.02
60350.0,22050.0,1114.64
60360.0,22050.0,1114.24
60370.0,22050.0,1113.81
60380.0,22050.0,1113.37
60390.0,22050.0,1112.91
60400.0,22050.0,1112.42
60410.0,22050.0,1111.92
60420.0,22050.0,1111.39
60430.0,22050.0,1110.85
60440.0,22050.0,1110.29
60450.0,22050.0,1109.71
60460.0,22050.0,1109.12
60470.0,22050.0,1108.5
60480.0,22050.0,1107.88
60490.0,22050.0,1107.24
60500.0,22050.0,1106.58
60510.0,22050.0,1105.91
60520.0,22050.0,1105.23
60530.0,22050.0,1104.54
60540.0,22050.0,1103.84
60550.0,22050.0,1103.14
60560.0,22050.0,1102.42
60570.0,22050.0,1101.7
60580.0,22050.0,1100.97
60590.0,22050.0,1100.24
60600.0,22050.0,1099.51
60610.0,22050.0,1098.78
60620.0,22050.0,1098.05
60630.0,22050.0,1097.32
60640.0,22050.0,1096.6
60650.0,22050.0,1095.88
60660.0,22050.0,1095.17
60670.0,22050.0,1094.47
60680.0,22050.0,1093.77
60690.0,22050.0,1093.1
60700.0,22050.0,1092.43
60710.0,22050.0,1091.78
60720.0,22050.0,1091.15
60730.0,22050.0,1090.54
60740.0,22050.0,1089.95
