HOLE_ID,FROM,TO,ZN_PCT,PB_PCT,CU_PCT,AG_GPT,AU_GPT,DENSITY
DD0030,39.75,41.76,0.033,0.013,0.001,1.0,0.006,
DD0030,41.76,43.76,0.055,0.029,0.001,1.5,0.004,
DD0030,43.76,45.77,0.035,0.016,0.007,0.8,0.007,
DD0030,45.77,47.78,0.034,0.014,0.002,0.6,0.004,
DD0030,47.78,49.79,0.087,0.05,0.005,2.9,0.008,
DD0030,49.79,51.79,0.055,0.025,0.003,1.6,0.009,
DD0030,51.79,53.8,0.038,0.015,0.004,0.8,0.009,
DD0030,53.8,55.81,0.067,0.017,0.004,0.7,0.009,
DD0030,55.81,57.82,0.022,0.005,0.006,0.3,0.057,
DD0030,57.82,59.82,0.021,0.008,0.003,0.2,0.018,
DD0030,59.82,61.83,0.013,0.008,0.005,0.4,0.017,
DD0030,61.83,63.84,0.052,0.018,0.007,0.7,0.013,
DD0030,63.84,65.85,0.061,0.017,0.006,0.5,0.019,
DD0030,65.85,67.85,0.062,0.015,0.004,0.8,0.017,
DD0030,67.85,69.86,0.053,0.015,0.008,0.7,0.011,
DD0030,69.86,71.87,0.11,0.044,0.008,2.3,0.01,
DD0030,71.87,73.88,0.061,0.047,0.027,3.7,0.023,
DD0030,73.88,75.88,0.016,0.006,0.013,0.3,0.033,
DD0030,75.88,77.89,0.035,0.009,0.014,0.4,0.068,
DD0030,77.89,79.9,0.027,0.013,0.018,0.6,0.027,
DD0030,79.9,81.9,0.034,0.015,0.002,1.0,0.005,
DD0030,81.9,83.91,0.017,0.003,0.005,0.3,0.005,
DD0030,83.91,85.92,0.029,0.009,0.001,0.8,0.012,
DD0030,85.92,87.93,0.028,0.011,0.008,0.7,0.019,
DD0030,87.93,89.93,0.033,0.017,0.02,1.0,0.036,
DD0030,89.93,91.94,0.02,0.011,0.015,0.9,0.035,
DD0030,91.94,93.95,0.041,0.013,0.005,0.4,0.015,
DD0030,93.95,95.96,0.04,0.014,0.01,0.5,0.02,
DD0030,95.96,97.96,0.079,0.041,0.011,1.7,0.094,
DD0030,97.96,99.97,0.057,0.025,0.005,1.4,0.063,
DD0030,99.97,101.98,0.023,0.011,0.012,0.4,0.11,
DD0030,101.98,103.99,0.04,0.013,0.011,0.8,0.028,
DD0030,103.99,105.99,0.061,0.019,0.002,1.0,0.005,
DD0030,105.99,108.0,0.037,0.031,0.006,2.0,0.005,
DD0030,108.0,110.01,0.037,0.007,0.003,0.3,0.007,
DD0030,110.01,112.01,0.022,0.008,0.004,0.5,0.038,
DD0030,112.01,114.02,0.02,0.009,0.012,0.4,0.011,
DD0030,114.02,116.03,0.016,0.009,0.011,0.7,0.038,
DD0030,116.03,118.04,0.051,0.02,0.007,0.6,0.009,
DD0030,118.04,120.04,0.044,0.016,0.006,0.4,0.007,
DD0030,120.04,122.05,0.042,0.017,0.003,0.6,0.005,
DD0030,122.05,124.06,0.064,0.038,0.003,0.8,0.007,
DD0030,124.06,126.07,0.061,0.018,0.003,0.3,0.005,
DD0030,126.07,128.07,0.066,0.021,0.004,0.5,0.006,
DD0030,128.07,130.08,0.047,0.011,0.007,0.5,0.005,
DD0030,130.08,132.09,0.014,0.004,0.011,0.2,0.004,
DD0030,132.09,134.1,0.017,0.006,0.01,0.3,0.009,
DD0030,134.1,136.1,0.011,0.005,0.018,0.4,0.017,
DD0030,136.1,138.11,0.009,0.004,0.021,0.4,0.027,
DD0030,138.11,140.12,0.015,0.006,0.013,0.4,0.043,
DD0030,140.12,142.12,0.017,0.008,0.009,1.0,0.015,
DD0030,142.12,144.13,0.014,0.006,0.035,0.7,0.015,
DD0030,144.13,146.14,0.042,0.011,0.013,0.5,0.007,
DD0030,146.14,148.15,0.087,0.035,0.003,0.9,0.002,
DD0030,148.15,150.15,0.037,0.015,0.004,0.5,0.016,
DD0030,150.15,152.16,0.045,0.012,0.005,0.4,0.008,
DD0030,152.16,154.17,0.04,0.02,0.016,1.3,0.037,
DD0030,154.17,156.18,0.02,0.01,0.011,0.9,0.014,
DD0030,156.18,158.18,0.031,0.013,0.004,0.6,0.005,
DD0030,158.18,160.19,0.029,0.016,0.013,0.9,0.028,
DD0030,160.19,162.2,0.106,0.037,0.004,1.0,0.017,
DD0030,162.2,164.21,0.043,0.032,0.008,1.3,0.007,
DD0030,164.21,166.21,0.028,0.017,0.013,0.8,0.015,
DD0030,166.21,168.22,0.043,0.03,0.021,1.8,0.083,
DD0030,168.22,170.23,0.018,0.008,0.015,0.3,0.018,
DD0030,170.23,172.24,0.014,0.008,0.046,0.4,0.02,
DD0030,172.24,174.24,0.009,0.006,0.022,0.4,0.007,
DD0030,174.24,176.25,0.081,0.038,0.009,1.2,0.013,
DD0030,176.25,177.33,3.171,1.29,0.515,18.4,0.383,
DD0030,177.33,178.42,3.879,1.462,0.218,18.7,0.809,
DD0030,178.42,179.5,3.012,0.935,0.247,14.6,0.438,3.1
DD0030,179.5,180.75,0.024,0.005,0.008,0.2,0.007,
DD0030,180.75,182.74,0.041,0.008,0.016,0.3,0.017,
DD0030,182.74,184.73,0.088,0.022,0.01,0.7,0.011,
DD0030,184.73,186.72,0.025,0.016,0.009,1.5,0.003,
DD0030,186.72,188.71,0.114,0.056,0.012,4.3,0.01,
DD0030,188.71,190.7,0.04,0.023,0.016,1.7,0.003,
DD0030,190.7,192.69,0.153,0.069,0.008,2.3,0.006,
DD0030,192.69,194.67,0.098,0.027,0.003,0.8,0.001,
DD0030,194.67,196.66,0.17,0.052,0.007,2.2,0.006,
DD0030,196.66,198.65,0.03,0.009,0.016,0.5,0.011,
DD0030,198.65,200.64,0.039,0.018,0.014,1.0,0.003,
DD0030,200.64,202.63,0.024,0.009,0.032,0.6,0.007,
DD0030,202.63,204.62,0.017,0.007,0.044,0.5,0.013,
DD0030,204.62,206.61,0.037,0.006,0.025,0.2,0.015,
DD0030,206.61,208.6,0.035,0.009,0.061,0.3,0.049,
DD0030,208.6,210.59,0.019,0.007,0.074,0.4,0.006,
DD0030,210.59,212.58,0.032,0.008,0.016,0.4,0.004,
DD0030,212.58,214.57,0.02,0.005,0.018,0.3,0.003,
DD0030,214.57,216.56,0.031,0.006,0.044,0.3,0.02,
DD0030,216.56,218.55,0.06,0.016,0.049,0.4,0.025,
DD0030,218.55,220.54,0.058,0.017,0.034,0.5,0.006,
DD0030,220.54,222.52,0.058,0.027,0.024,0.8,0.004,
DD0030,222.52,224.51,0.021,0.02,0.1,0.9,0.027,
DD0030,224.51,226.5,0.048,0.035,0.048,1.0,0.046,
DD0030,226.5,228.49,0.044,0.057,0.044,3.1,0.023,
DD0030,228.49,230.48,0.094,0.068,0.035,3.5,0.014,
DD0030,230.48,232.47,0.122,0.063,0.022,3.2,0.031,
DD0030,232.47,234.46,0.109,0.047,0.045,1.9,0.047,
DD0030,234.46,236.45,0.037,0.022,0.087,1.4,0.095,
DD0030,236.45,238.44,0.051,0.016,0.07,0.8,0.019,
DD0030,238.44,240.43,0.068,0.026,0.081,0.9,0.054,
DD0030,240.43,242.42,0.026,0.007,0.266,0.2,0.038,
DD0030,242.42,244.41,0.027,0.008,0.066,0.4,0.013,
DD0030,244.41,246.4,0.117,0.025,0.054,1.0,0.019,
DD0030,246.4,248.39,0.11,0.017,0.036,0.3,0.002,
DD0030,248.39,250.37,0.062,0.011,0.042,0.3,0.004,
DD0030,250.37,252.36,0.043,0.011,0.022,0.4,0.01,
DD0030,252.36,254.35,0.061,0.027,0.062,1.3,0.006,
DD0031,139.0,140.99,0.045,0.023,0.001,1.0,0.003,
DD0031,140.99,142.98,0.021,0.009,0.006,0.2,0.011,
DD0031,142.98,144.98,0.03,0.015,0.003,0.7,0.002,
DD0031,144.98,146.97,0.045,0.028,0.002,1.3,0.006,
DD0031,146.97,148.96,0.021,0.017,0.003,0.8,0.001,
DD0031,148.96,150.95,0.035,0.015,0.003,0.7,0.002,
DD0031,150.95,152.94,0.043,0.033,0.007,1.0,0.007,
DD0031,152.94,154.93,0.076,0.046,0.003,2.0,0.008,
DD0031,154.93,156.93,0.053,0.022,0.008,0.7,0.013,
DD0031,156.93,158.92,0.077,0.035,0.003,0.5,0.021,
DD0031,158.92,160.91,0.081,0.033,0.002,0.6,0.17,
DD0031,160.91,162.9,0.123,0.044,0.002,1.3,0.01,
DD0031,162.9,164.89,0.055,0.031,0.003,1.0,0.02,
DD0031,164.89,166.88,0.067,0.04,0.003,1.3,0.005,
DD0031,166.88,168.88,0.039,0.012,0.003,0.4,0.003,
DD0031,168.88,170.87,0.05,0.027,0.007,1.6,0.008,
DD0031,170.87,172.86,0.11,0.042,0.004,1.4,0.009,
DD0031,172.86,174.85,0.144,0.036,0.005,1.0,0.022,
DD0031,174.85,176.84,0.061,0.015,0.003,0.6,0.012,
DD0031,176.84,178.83,0.02,0.004,0.002,0.2,0.006,
DD0031,178.83,180.82,0.053,0.019,0.003,0.9,0.009,
DD0031,180.82,182.82,0.064,0.018,0.002,1.1,0.003,
DD0031,182.82,184.81,0.063,0.017,0.002,0.9,0.004,
DD0031,184.81,186.8,0.036,0.01,0.005,0.6,0.008,
DD0031,186.8,188.79,0.018,0.006,0.004,0.5,0.001,
DD0031,188.79,190.78,0.026,0.016,0.013,1.7,0.06,
DD0031,190.78,192.78,0.029,0.011,0.012,0.6,0.026,
DD0031,192.78,194.77,0.016,0.003,0.077,0.1,0.048,
DD0031,194.77,196.76,0.061,0.027,0.015,0.8,0.023,
DD0031,196.76,198.75,0.016,0.008,0.008,0.4,0.013,
DD0031,198.75,200.74,0.028,0.012,0.007,0.7,0.061,
DD0031,200.74,202.73,0.03,0.011,0.007,0.4,0.009,
DD0031,202.73,204.72,0.025,0.007,0.006,0.2,0.018,
DD0031,204.72,206.72,0.025,0.004,0.011,0.2,0.008,
DD0031,206.72,208.71,0.05,0.021,0.008,0.9,0.013,
DD0031,208.71,210.7,0.031,0.01,0.014,0.3,0.009,
DD0031,210.7,212.69,0.065,0.026,0.008,0.8,0.009,
DD0031,212.69,214.68,0.077,0.03,0.013,0.6,0.007,
DD0031,214.68,216.68,0.017,0.006,0.013,0.2,0.007,
DD0031,216.68,218.67,0.01,0.002,0.024,0.1,0.009,
DD0031,218.67,220.66,0.029,0.012,0.018,0.6,0.01,
DD0031,220.66,222.65,0.012,0.005,0.017,0.3,0.007,
DD0031,222.65,224.64,0.028,0.017,0.007,0.5,0.003,
DD0031,224.64,226.63,0.109,0.045,0.005,1.1,0.008,
DD0031,226.63,228.62,0.053,0.009,0.011,0.1,0.01,
DD0031,228.62,230.62,0.062,0.021,0.01,0.5,0.007,
DD0031,230.62,232.61,0.03,0.009,0.023,0.3,0.027,
DD0031,232.61,234.6,0.034,0.013,0.015,0.3,0.01,
DD0031,234.6,236.59,0.011,0.006,0.02,0.6,0.004,
DD0031,236.59,238.58,0.034,0.011,0.01,0.7,0.004,
DD0031,238.58,240.58,0.05,0.011,0.009,0.7,0.007,
DD0031,240.58,242.57,0.029,0.01,0.045,0.8,0.011,
DD0031,242.57,244.56,0.06,0.02,0.022,1.8,0.003,
DD0031,244.56,246.55,0.051,0.011,0.019,0.3,0.004,
DD0031,246.55,248.54,0.034,0.008,0.004,0.3,0.002,
DD0031,248.54,250.53,0.018,0.005,0.008,0.3,0.002,
DD0031,250.53,252.52,0.036,0.009,0.012,0.3,0.009,
DD0031,252.52,254.52,0.096,0.037,0.01,1.2,0.015,
DD0031,254.52,256.51,0.029,0.008,0.017,0.2,0.044,
DD0031,256.51,258.5,0.049,0.016,0.003,0.6,0.005,
DD0031,258.5,259.5,2.959,1.238,0.141,16.9,0.076,3.04
DD0031,259.5,260.5,1.379,0.391,0.128,5.8,0.159,2.98
DD0031,260.5,261.5,3.394,1.208,0.128,14.6,0.263,
DD0031,261.5,263.25,0.036,0.014,0.014,0.5,0.005,
DD0031,263.25,265.25,0.042,0.014,0.003,1.4,0.001,
DD0031,265.25,267.25,0.028,0.006,0.01,0.6,0.004,
DD0031,267.25,269.24,0.025,0.007,0.051,0.5,0.016,
DD0031,269.24,271.24,0.057,0.012,0.032,0.5,0.019,
DD0031,271.24,273.24,0.027,0.012,0.077,1.7,0.063,
DD0031,273.24,275.24,0.022,0.004,0.016,0.2,0.02,
DD0031,275.24,277.23,0.021,0.006,0.02,0.4,0.01,
DD0031,277.23,279.23,0.011,0.003,0.04,0.5,0.096,
DD0031,279.23,281.23,0.009,0.003,0.117,0.2,0.016,
DD0031,281.23,283.23,0.008,0.002,0.152,0.3,0.061,
DD0031,283.23,285.23,0.014,0.002,0.32,0.1,0.068,
DD0031,285.23,287.22,0.015,0.009,0.053,0.9,0.038,
DD0031,287.22,289.22,0.093,0.019,0.04,0.5,0.019,
DD0031,289.22,291.22,0.08,0.019,0.015,0.5,0.005,
DD0031,291.22,293.22,0.073,0.021,0.043,0.9,0.035,
DD0031,293.22,295.22,0.105,0.044,0.022,2.0,0.034,
DD0031,295.22,297.21,0.05,0.02,0.083,0.7,0.047,
DD0031,297.21,299.21,0.047,0.012,0.062,0.4,0.041,
DD0031,299.21,301.21,0.042,0.007,0.051,0.4,0.059,
DD0031,301.21,303.21,0.047,0.021,0.1,1.5,0.089,
DD0031,303.21,305.2,0.053,0.018,0.065,1.1,0.347,
DD0031,305.2,307.2,0.029,0.011,0.08,1.1,0.088,
DD0031,307.2,309.2,0.03,0.009,0.098,1.1,0.055,
DD0031,309.2,311.2,0.059,0.028,0.055,2.1,0.006,
DD0031,311.2,313.2,0.027,0.026,0.101,1.7,0.025,
DD0031,313.2,315.19,0.014,0.012,0.137,1.1,0.02,
DD0031,315.19,317.19,0.032,0.022,0.044,1.1,0.026,
DD0031,317.19,319.19,0.073,0.026,0.104,1.0,0.033,
DD0031,319.19,321.19,0.048,0.007,0.103,0.2,0.021,
DD0031,321.19,323.19,0.046,0.012,0.261,0.4,0.016,
DD0031,323.19,325.18,0.041,0.013,0.184,0.6,0.021,
DD0031,325.18,327.18,0.052,0.018,0.036,0.8,0.004,
DD0031,327.18,329.18,0.036,0.008,0.077,0.3,0.002,
DD0031,329.18,331.18,0.041,0.013,0.038,1.0,0.009,
DD0031,331.18,333.17,0.125,0.043,0.037,0.8,0.025,
DD0031,333.17,335.17,0.091,0.038,0.029,1.2,0.014,
DD0041,9.75,11.75,0.026,0.007,0.002,0.3,0.004,
DD0041,11.75,13.74,0.031,0.009,0.006,0.4,0.011,
DD0041,13.74,15.74,0.03,0.013,0.002,0.6,0.004,
DD0041,15.74,17.73,0.054,0.036,0.006,2.1,0.005,
DD0041,17.73,19.73,0.046,0.021,0.003,1.6,0.004,
DD0041,19.73,21.72,0.061,0.036,0.002,2.2,0.006,
DD0041,21.72,23.72,0.091,0.025,0.004,0.7,0.009,
DD0041,23.72,25.72,0.059,0.02,0.016,0.9,0.026,
DD0041,25.72,27.71,0.032,0.013,0.011,1.1,0.016,
DD0041,27.71,29.71,0.019,0.006,0.017,0.6,0.111,
DD0041,29.71,31.7,0.034,0.012,0.022,0.9,0.027,
DD0041,31.7,33.7,0.04,0.012,0.007,0.9,0.016,
DD0041,33.7,35.7,0.083,0.027,0.006,1.7,0.011,
DD0041,35.7,37.69,0.088,0.042,0.003,2.8,0.005,
DD0041,37.69,39.69,0.045,0.021,0.011,1.0,0.028,
DD0041,39.69,41.68,0.038,0.015,0.017,1.1,0.055,
DD0041,41.68,43.68,0.046,0.024,0.005,3.8,0.025,
DD0041,43.68,45.68,0.058,0.021,0.004,1.8,0.018,
DD0041,45.68,47.67,0.057,0.015,0.002,1.0,0.025,
DD0041,47.67,49.67,0.052,0.021,0.004,1.7,0.008,
DD0041,49.67,51.66,0.087,0.041,0.01,3.5,0.092,
DD0041,51.66,53.66,0.028,0.011,0.022,1.5,0.044,
DD0041,53.66,55.65,0.054,0.018,0.005,0.9,0.045,
DD0041,55.65,57.65,0.019,0.007,0.004,0.6,0.022,
DD0041,57.65,59.65,0.022,0.008,0.006,0.8,0.027,
DD0041,59.65,61.64,0.024,0.012,0.017,1.2,0.012,
DD0041,61.64,63.64,0.036,0.011,0.011,0.6,0.032,
DD0041,63.64,65.63,0.035,0.019,0.03,1.3,0.033,
DD0041,65.63,67.63,0.096,0.024,0.009,0.8,0.025,
DD0041,67.63,69.62,0.101,0.034,0.003,1.4,0.004,
DD0041,69.62,71.62,0.115,0.028,0.019,0.5,0.004,
DD0041,71.62,73.62,0.064,0.026,0.009,1.6,0.013,
DD0041,73.62,75.61,0.028,0.009,0.013,0.8,0.022,
DD0041,75.61,77.61,0.065,0.018,0.019,0.6,0.029,
DD0041,77.61,79.6,0.164,0.027,0.013,0.4,0.122,
DD0041,79.6,81.6,0.215,0.055,0.007,0.8,0.024,
DD0041,81.6,83.6,0.149,0.032,0.002,0.6,0.061,
DD0041,83.6,85.59,0.133,0.025,0.002,0.5,0.026,
DD0041,85.59,87.59,0.046,0.012,0.007,0.5,0.089,
DD0041,87.59,89.58,0.096,0.026,0.007,1.1,0.01,
DD0041,89.58,91.58,0.036,0.015,0.002,1.2,0.001,
DD0041,91.58,93.58,0.032,0.011,0.013,0.8,0.002,
DD0041,93.58,95.57,0.043,0.019,0.002,2.2,0.0,
DD0041,95.57,97.57,0.022,0.007,0.004,0.6,0.001,
DD0041,97.57,99.56,0.03,0.017,0.005,1.4,0.001,
DD0041,99.56,101.56,0.024,0.015,0.019,0.8,0.004,
DD0041,101.56,103.55,0.012,0.005,0.042,0.6,0.009,
DD0041,103.55,105.55,0.058,0.026,0.006,1.4,0.002,
DD0041,105.55,107.55,0.029,0.01,0.004,0.5,0.006,
DD0041,107.55,109.54,0.037,0.008,0.004,0.2,0.05,
DD0041,109.54,111.54,0.03,0.007,0.006,0.3,0.017,
DD0041,111.54,113.53,0.141,0.045,0.003,1.8,0.019,
DD0041,113.53,115.53,0.037,0.019,0.034,1.0,0.191,
DD0041,115.53,117.52,0.02,0.014,0.016,0.9,0.031,
DD0041,117.52,119.52,0.038,0.014,0.015,0.6,0.016,
DD0041,119.52,121.52,0.039,0.021,0.006,1.4,0.081,
DD0041,121.52,123.51,0.049,0.028,0.008,2.1,0.01,
DD0041,123.51,125.51,0.062,0.017,0.01,0.5,0.03,
DD0041,125.51,127.5,0.043,0.018,0.017,0.8,0.037,
DD0041,127.5,129.5,0.016,0.01,0.019,0.6,0.028,
DD0041,129.5,130.46,1.912,0.862,0.377,26.0,0.644,3.1
DD0041,130.46,131.42,1.455,0.333,0.416,8.0,0.175,3.12
DD0041,131.42,132.38,1.036,0.262,1.45,7.2,1.06,3.19
DD0041,132.38,133.33,1.593,0.595,0.481,17.4,0.212,
DD0041,133.33,134.29,2.608,0.729,0.295,14.5,0.18,3.12
DD0041,134.29,135.25,0.923,0.344,0.187,8.9,0.173,
DD0041,135.25,138.0,0.06,0.023,0.01,0.7,0.022,
DD0041,138.0,140.01,0.225,0.071,0.007,1.5,0.011,
DD0041,140.01,142.01,0.066,0.017,0.049,1.0,0.036,
DD0041,142.01,144.02,0.062,0.03,0.037,1.7,0.051,
DD0041,144.02,146.02,0.08,0.031,0.048,1.4,0.067,
DD0041,146.02,148.03,0.098,0.034,0.006,0.8,0.007,
DD0041,148.03,150.03,0.083,0.039,0.023,1.8,0.041,
DD0041,150.03,152.04,0.105,0.046,0.033,0.9,0.03,
DD0041,152.04,154.04,0.046,0.023,0.003,0.9,0.005,
DD0041,154.04,156.05,0.024,0.009,0.008,0.4,0.006,
DD0041,156.05,158.05,0.026,0.011,0.011,0.7,0.005,
DD0041,158.05,160.06,0.034,0.015,0.01,1.2,0.015,
DD0041,160.06,162.06,0.047,0.025,0.021,1.4,0.018,
DD0041,162.06,164.07,0.02,0.017,0.03,1.8,0.053,
DD0041,164.07,166.08,0.063,0.029,0.029,0.8,0.056,
DD0041,166.08,168.08,0.076,0.03,0.014,1.0,0.01,
DD0041,168.08,170.09,0.065,0.026,0.039,1.0,0.036,
DD0041,170.09,172.09,0.085,0.03,0.065,0.8,0.029,
DD0041,172.09,174.1,0.041,0.013,0.022,0.7,0.045,
DD0041,174.1,176.1,0.058,0.019,0.011,1.1,0.009,
DD0041,176.1,178.11,0.049,0.025,0.028,2.2,0.012,
DD0041,178.11,180.11,0.027,0.016,0.063,1.3,0.01,
DD0041,180.11,182.12,0.04,0.013,0.084,0.8,0.051,
DD0041,182.12,184.12,0.042,0.018,0.104,1.2,0.016,
DD0042,113.25,115.27,0.028,0.011,0.002,0.4,0.004,
DD0042,115.27,117.29,0.067,0.021,0.003,0.7,0.007,
DD0042,117.29,119.3,0.042,0.017,0.004,0.8,0.002,
DD0042,119.3,121.32,0.036,0.021,0.002,1.4,0.001,
DD0042,121.32,123.34,0.033,0.017,0.002,1.0,0.003,
DD0042,123.34,125.36,0.055,0.016,0.001,0.6,0.008,
DD0042,125.36,127.38,0.071,0.049,0.003,1.7,0.016,
DD0042,127.38,129.39,0.086,0.058,0.006,2.2,0.016,
DD0042,129.39,131.41,0.038,0.022,0.011,1.0,0.022,
