HOLE_ID,X,Y,Z,LENGTH,TYPE
DD0001,11868.6,29455.9,371.9,102.5,DD
DD0002,11983.1,29411.9,374.5,240.1,DD
DD0003,12074.0,29363.4,379.1,305.04,DD
DD0004,12142.7,29351.9,381.7,445.14,DD
DD0005,12287.8,29301.8,390.0,636.32,DD
DD0006,12392.9,29249.7,397.0,782.53,DD
DD0007,12432.6,29242.9,398.6,826.12,DD
DD0008,11885.6,29497.5,369.5,88.37,DD
DD0009,11984.7,29432.5,373.2,227.6,DD
DD0010,12099.1,29404.9,377.0,357.18,DD
DD0011,12185.9,29381.8,381.1,467.01,DD
DD0012,12307.8,29346.4,387.9,565.83,DD
DD0013,12399.4,29304.8,394.0,648.78,DD
DD0014,12391.7,29298.4,394.1,740.92,DD
DD0015,12461.9,29287.9,397.1,846.79,DD
DD0016,11891.0,29528.5,367.9,72.65,DD
DD0017,11949.2,29493.2,369.5,131.98,DD
DD0018,11997.9,29494.5,369.6,210.99,DD
DD0019,12064.5,29465.6,372.3,335.33,DD
DD0020,12144.2,29439.5,375.9,351.21,DD
DD0021,12230.8,29402.1,381.3,464.88,DD
DD0022,12250.7,29397.5,382.4,480.98,DD
DD0023,12350.3,29355.8,389.0,573.41,DD
DD0024,12376.6,29347.9,390.6,641.42,DD
DD0025,12436.1,29322.5,394.3,718.1,DD
DD0026,12506.2,29310.5,397.3,848.97,DD
DD0027,12696.7,29235.4,403.5,958.12,DD
DD0028,11908.6,29575.4,365.4,88.09,DD
DD0029,11976.7,29545.1,366.6,202.19,DD
DD0030,12008.4,29530.5,367.6,254.35,DD
DD0031,12101.6,29492.6,371.4,335.17,DD
DD0032,12146.3,29495.1,372.4,348.98,DD
DD0033,12237.6,29454.9,378.1,424.43,DD
DD0034,12222.1,29452.4,377.7,533.55,DD
DD0035,12312.5,29416.1,383.7,574.49,DD
DD0036,12329.0,29416.9,384.3,595.3,DD
DD0037,12340.9,29401.8,385.8,694.49,DD
