HOLE_ID,FROM,TO,LITH
DD0001,0.0,3.0,OB
DD0001,3.0,56.25,VCL
DD0001,56.25,102.5,FWV
DD0002,0.0,7.25,OB
DD0002,7.25,52.5,HWS
DD0002,52.5,170.0,VCL
DD0002,170.0,240.1,FWV
DD0003,0.0,7.75,OB
DD0003,7.75,157.25,HWS
DD0003,157.25,277.0,VCL
DD0003,277.0,305.04,FWV
DD0004,0.0,8.25,OB
DD0004,8.25,245.0,HWS
DD0004,245.0,376.0,VCL
DD0004,376.0,445.14,FWV
DD0005,0.0,10.5,OB
DD0005,10.5,426.25,HWS
DD0005,426.25,559.25,VCL
DD0005,559.25,636.32,FWV
DD0006,0.0,2.25,OB
DD0006,2.25,535.0,HWS
DD0006,535.0,660.0,VCL
DD0006,660.0,782.53,FWV
DD0007,0.0,2.25,OB
DD0007,2.25,598.0,HWS
DD0007,598.0,725.75,VCL
DD0007,725.75,826.12,FWV
DD0008,0.0,6.25,OB
DD0008,6.25,54.0,VCL
DD0008,54.0,88.37,FWV
DD0009,0.0,6.0,OB
DD0009,6.0,47.75,HWS
DD0009,47.75,168.75,VCL
DD0009,168.75,227.6,FWV
DD0010,0.0,6.5,OB
DD0010,6.5,162.5,HWS
DD0010,162.5,281.0,VCL
DD0010,281.0,357.18,FWV
DD0011,0.0,12.75,OB
DD0011,12.75,13.25,HWS
DD0011,13.25,14.25,OB
DD0011,14.25,257.0,HWS
DD0011,257.0,378.25,VCL
DD0011,378.25,467.01,FWV
DD0012,0.0,14.5,OB
DD0012,14.5,377.5,HWS
DD0012,377.5,495.5,VCL
DD0012,495.5,565.83,FWV
DD0013,0.0,19.5,OB
DD0013,19.5,476.25,HWS
DD0013,476.25,592.5,VCL
DD0013,592.5,648.78,FWV
DD0014,0.0,16.0,OB
DD0014,16.0,529.25,HWS
DD0014,529.25,659.75,VCL
DD0014,659.75,740.92,FWV
DD0015,0.0,4.25,OB
DD0015,4.25,615.5,HWS
DD0015,615.5,747.75,VCL
DD0015,747.75,846.79,FWV
DD0016,0.0,5.0,OB
DD0016,5.0,59.5,VCL
DD0016,59.5,72.65,FWV
DD0017,0.0,5.0,OB
DD0017,5.0,121.75,VCL
DD0017,121.75,131.98,FWV
DD0018,0.0,4.5,OB
DD0018,4.5,43.25,HWS
DD0018,43.25,183.0,VCL
DD0018,183.0,210.99,FWV
DD0019,0.0,0.75,OB
DD0019,0.75,119.75,HWS
DD0019,119.75,251.25,VCL
DD0019,251.25,335.33,FWV
DD0020,0.0,8.25,OB
DD0020,8.25,201.5,HWS
DD0020,201.5,326.25,VCL
DD0020,326.25,351.21,FWV
DD0021,0.0,4.25,OB
DD0021,4.25,288.0,HWS
DD0021,288.0,408.0,VCL
DD0021,408.0,464.88,FWV
DD0022,0.0,10.5,OB
DD0022,10.5,326.25,HWS
DD0022,326.25,452.5,VCL
DD0022,452.5,480.98,FWV
DD0023,0.0,17.75,OB
DD0023,17.75,423.25,HWS
DD0023,423.25,543.25,VCL
DD0023,543.25,573.41,FWV
DD0024,0.0,20.0,OB
DD0024,20.0,462.0,HWS
DD0024,462.0,585.75,VCL
DD0024,585.75,641.42,FWV
DD0025,0.0,12.5,OB
DD0025,12.5,530.0,HWS
DD0025,530.0,652.5,VCL
DD0025,652.5,718.1,FWV
DD0026,0.0,7.25,OB
DD0026,7.25,598.75,HWS
DD0026,598.75,720.0,VCL
DD0026,720.0,848.97,FWV
DD0027,0.0,10.0,OB
DD0027,10.0,747.75,HWS
DD0027,747.75,861.25,VCL
DD0027,861.25,958.12,FWV
DD0028,0.0,5.0,OB
DD0028,5.0,56.25,VCL
DD0028,56.25,88.09,FWV
DD0029,0.0,4.5,OB
DD0029,4.5,122.75,VCL
DD0029,122.75,202.19,FWV
DD0030,0.0,2.75,OB
DD0030,2.75,39.75,HWS
DD0030,39.75,176.25,VCL
DD0030,176.25,179.5,SMS
DD0030,179.5,180.75,VCL
DD0030,180.75,254.35,FWV
DD0031,0.0,3.25,OB
DD0031,3.25,139.0,HWS
DD0031,139.0,258.5,VCL
DD0031,258.5,261.5,SMS
DD0031,261.5,263.25,VCL
DD0031,263.25,335.17,FWV
DD0032,0.0,8.5,OB
DD0032,8.5,186.5,HWS
DD0032,186.5,313.75,VCL
DD0032,313.75,348.98,FWV
DD0033,0.0,4.25,OB
DD0033,4.25,5.25,HWS
DD0033,5.25,6.0,OB
DD0033,6.0,277.75,HWS
DD0033,277.75,399.25,VCL
DD0033,399.25,424.43,FWV
DD0034,0.0,5.25,OB
DD0034,5.25,299.5,HWS
DD0034,299.5,434.25,VCL
DD0034,434.25,533.55,FWV
DD0035,0.0,11.0,OB
DD0035,11.0,382.75,HWS
DD0035,382.75,508.0,VCL
DD0035,508.0,574.49,FWV
DD0036,0.0,13.0,OB
DD0036,13.0,420.75,HWS
DD0036,420.75,551.75,VCL
DD0036,551.75,595.3,FWV
DD0037,0.0,12.75,OB
DD0037,12.75,460.75,HWS
DD0037,460.75,595.0,VCL
DD0037,595.0,694.49,FWV
DD0038,0.0,11.0,OB
DD0038,11.0,551.0,HWS
DD0038,551.0,677.75,VCL
DD0038,677.75,773.45,FWV
DD0039,0.0,8.5,OB
DD0039,8.5,583.25,HWS
DD0039,583.25,715.5,VCL
DD0039,715.5,792.18,FWV
DD0040,0.0,6.5,OB
DD0040,6.5,56.5,VCL
DD0040,56.5,70.84,FWV
DD0041,0.0,8.0,OB
DD0041,8.0,8.75,HWS
DD0041,8.75,9.25,VCL
DD0041,9.25,9.75,OB
DD0041,9.75,129.5,VCL
DD0041,129.5,135.25,SMS
DD0041,135.25,138.0,VCL
DD0041,138.0,184.12,FWV
DD0042,0.0,5.75,OB
DD0042,5.75,113.25,HWS
DD0042,113.25,226.25,VCL
DD0042,226.25,236.0,SMS
DD0042,236.0,288.36,FWV
DD0043,0.0,9.5,OB
DD0043,9.5,204.0,HWS
DD0043,204.0,316.5,VCL
DD0043,316.5,320.0,SMS
DD0043,320.0,322.5,VCL
DD0043,322.5,377.52,FWV
DD0044,0.0,3.75,OB
DD0044,3.75,261.25,HWS
DD0044,261.25,390.5,VCL
DD0044,390.5,487.85,FWV
DD0045,0.0,7.0,OB
DD0045,7.0,389.25,HWS
DD0045,389.25,506.25,VCL
DD0045,506.25,546.75,FWV
DD0046,0.0,12.0,OB
DD0046,12.0,451.5,HWS
DD0046,451.5,574.5,VCL
DD0046,574.5,683.33,FWV
DD0047,0.0,17.0,OB
DD0047,17.0,528.75,HWS
DD0047,528.75,555.5,VCL
DD0047,555.5,557.5,SMS
DD0047,557.5,649.5,VCL
DD0047,649.5,699.94,FWV
DD0048,0.0,9.25,OB
DD0048,9.25,585.75,HWS
DD0048,585.75,710.0,VCL
DD0048,710.0,803.62,FWV
DD0049,0.0,8.0,OB
DD0049,8.0,50.25,VCL
DD0049,50.25,68.17,FWV
DD0050,0.0,8.5,OB
DD0050,8.5,126.25,VCL
DD0050,126.25,136.25,SMS
DD0050,136.25,136.5,VCL
