HOLE_ID,DEPTH,DIP,AZIMUTH
DD0001,0.0,61.4,291.21
DD0001,30.0,60.84,291.12
DD0001,60.0,60.77,291.54
DD0001,90.0,60.47,291.83
DD0001,102.5,60.58,291.73
DD0002,0.0,55.28,290.24
DD0002,30.0,54.65,289.31
DD0002,60.0,54.24,289.73
DD0002,90.0,53.42,290.05
DD0002,120.0,53.01,290.57
DD0002,150.0,52.34,291.24
DD0002,180.0,51.84,291.13
DD0002,210.0,51.41,291.74
DD0002,240.0,50.93,291.99
DD0002,240.1,51.0,291.08
DD0003,0.0,59.66,289.77
DD0003,30.0,59.3,290.19
DD0003,60.0,58.79,290.26
DD0003,90.0,58.68,290.81
DD0003,120.0,57.73,291.2
DD0003,150.0,56.57,291.36
DD0003,180.0,55.85,292.13
DD0003,210.0,55.59,291.66
DD0003,240.0,55.26,292.71
DD0003,270.0,54.92,294.27
DD0003,300.0,54.37,295.84
DD0003,305.04,54.41,296.07
DD0004,0.0,65.66,290.98
DD0004,30.0,66.24,291.93
DD0004,60.0,66.08,292.38
DD0004,90.0,65.92,292.76
DD0004,120.0,65.53,292.74
DD0004,150.0,65.59,294.69
DD0004,180.0,65.42,295.75
DD0004,210.0,65.13,295.6
DD0004,240.0,64.83,296.39
DD0004,270.0,64.49,297.08
DD0004,300.0,64.11,299.2
DD0004,330.0,63.83,299.59
DD0004,360.0,63.5,300.14
DD0004,390.0,63.11,299.54
DD0004,420.0,63.08,300.93
DD0004,445.14,62.66,300.86
DD0005,0.0,69.76,289.27
DD0005,30.0,69.3,290.29
DD0005,60.0,69.08,291.71
DD0005,90.0,68.49,292.41
DD0005,120.0,68.36,292.59
DD0005,150.0,68.03,293.28
DD0005,180.0,67.64,294.27
DD0005,210.0,67.85,294.75
DD0005,240.0,67.59,294.41
DD0005,270.0,67.92,295.3
DD0005,300.0,67.47,295.55
DD0005,330.0,67.34,296.19
DD0005,360.0,66.66,297.62
DD0005,390.0,66.36,298.44
DD0005,420.0,66.08,298.54
DD0005,450.0,65.66,298.83
DD0005,480.0,65.26,299.08
DD0005,510.0,65.24,300.81
DD0005,540.0,64.76,301.57
DD0005,570.0,63.95,302.22
DD0005,600.0,63.42,301.51
DD0005,630.0,63.18,301.72
DD0005,636.32,63.08,301.77
DD0006,0.0,67.18,289.69
DD0006,30.0,66.97,290.37
DD0006,60.0,66.52,290.21
DD0006,90.0,66.77,290.59
DD0006,120.0,66.81,290.78
DD0006,150.0,66.46,290.99
DD0006,180.0,66.12,291.73
DD0006,210.0,65.39,291.56
DD0006,240.0,65.07,292.92
DD0006,270.0,64.67,293.65
DD0006,300.0,64.49,293.23
DD0006,330.0,63.65,294.58
DD0006,360.0,63.57,293.93
DD0006,390.0,63.3,294.5
DD0006,420.0,62.45,293.76
DD0006,450.0,61.43,294.43
DD0006,480.0,61.32,294.49
DD0006,510.0,61.0,294.95
DD0006,540.0,60.63,296.37
DD0006,570.0,60.23,296.87
DD0006,600.0,59.56,296.16
DD0006,630.0,59.4,296.87
DD0006,660.0,59.33,297.92
DD0006,690.0,58.71,297.55
DD0006,720.0,59.09,297.53
DD0006,750.0,58.97,298.66
DD0006,780.0,58.76,300.02
DD0006,782.53,58.57,299.19
DD0007,0.0,71.34,289.95
DD0007,30.0,70.53,291.11
DD0007,60.0,70.27,291.92
DD0007,90.0,69.73,292.44
DD0007,120.0,69.3,292.73
DD0007,150.0,68.95,292.85
DD0007,180.0,68.5,293.01
DD0007,210.0,68.29,293.33
DD0007,240.0,68.25,294.09
DD0007,270.0,67.65,294.91
DD0007,300.0,67.28,296.08
DD0007,330.0,66.73,296.16
DD0007,360.0,66.52,298.08
DD0007,390.0,65.68,298.51
DD0007,420.0,65.21,300.09
DD0007,450.0,65.12,300.04
DD0007,480.0,64.52,300.58
DD0007,510.0,63.99,301.43
DD0007,540.0,63.15,301.06
DD0007,570.0,62.53,302.25
DD0007,600.0,61.94,302.96
DD0007,630.0,60.94,303.38
DD0007,660.0,61.04,304.11
DD0007,690.0,60.66,304.02
DD0007,720.0,60.18,304.25
DD0007,750.0,60.04,305.03
DD0007,780.0,60.17,305.27
DD0007,810.0,59.69,305.43
DD0007,826.12,59.62,305.34
DD0008,0.0,56.55,289.43
DD0008,30.0,55.86,289.2
DD0008,60.0,55.31,290.55
DD0008,88.37,54.32,290.55
DD0009,0.0,58.0,289.53
DD0009,30.0,57.4,290.33
DD0009,60.0,57.43,290.38
DD0009,90.0,56.95,290.66
DD0009,120.0,57.07,290.84
DD0009,150.0,56.51,290.54
DD0009,180.0,55.56,290.62
DD0009,210.0,55.23,290.33
DD0009,227.6,54.75,290.4
DD0010,0.0,57.08,289.42
DD0010,30.0,57.14,289.32
DD0010,60.0,56.73,290.06
DD0010,90.0,56.42,290.96
DD0010,120.0,56.39,291.35
DD0010,150.0,55.58,291.58
DD0010,180.0,55.15,291.08
DD0010,210.0,54.58,290.23
DD0010,240.0,53.97,290.75
DD0010,270.0,53.37,291.08
DD0010,300.0,53.12,292.03
DD0010,330.0,53.21,292.48
DD0010,357.18,53.16,293.01
DD0011,0.0,60.69,290.51
DD0011,30.0,60.32,291.04
DD0011,60.0,59.87,291.59
DD0011,90.0,59.28,293.08
DD0011,120.0,58.93,293.17
DD0011,150.0,58.61,293.14
DD0011,180.0,58.09,294.26
DD0011,210.0,57.38,295.25
DD0011,240.0,57.41,295.44
