X,Y,Z
10800.0,28900.0,388.6
10820.0,28900.0,389.3
10840.0,28900.0,390.0
10860.0,28900.0,390.7
10880.0,28900.0,391.4
10900.0,28900.0,392.0
10920.0,28900.0,392.7
10940.0,28900.0,393.3
10960.0,28900.0,393.9
10980.0,28900.0,394.5
11000.0,28900.0,395.0
11020.0,28900.0,395.5
11040.0,28900.0,396.0
11060.0,28900.0,396.4
11080.0,28900.0,396.8
11100.0,28900.0,397.2
11120.0,28900.0,397.6
11140.0,28900.0,397.9
11160.0,28900.0,398.2
11180.0,28900.0,398.4
11200.0,28900.0,398.7
11220.0,28900.0,398.8
11240.0,28900.0,399.0
11260.0,28900.0,399.1
11280.0,28900.0,399.2
11300.0,28900.0,399.3
11320.0,28900.0,399.3
11340.0,28900.0,399.3
11360.0,28900.0,399.3
11380.0,28900.0,399.3
11400.0,28900.0,399.2
11420.0,28900.0,399.2
11440.0,28900.0,399.1
11460.0,28900.0,399.0
11480.0,28900.0,398.9
11500.0,28900.0,398.7
11520.0,28900.0,398.6
11540.0,28900.0,398.5
11560.0,28900.0,398.4
11580.0,28900.0,398.2
11600.0,28900.0,398.1
11620.0,28900.0,398.0
11640.0,28900.0,397.9
11660.0,28900.0,397.8
11680.0,28900.0,397.7
11700.0,28900.0,397.6
11720.0,28900.0,397.6
11740.0,28900.0,397.6
11760.0,28900.0,397.6
11780.0,28900.0,397.6
11800.0,28900.0,397.7
11820.0,28900.0,397.8
11840.0,28900.0,397.9
11860.0,28900.0,398.0
11880.0,28900.0,398.2
11900.0,28900.0,398.4
11920.0,28900.0,398.6
11940.0,28900.0,398.9
11960.0,28900.0,399.2
11980.0,28900.0,399.6
12000.0,28900.0,399.9
12020.0,28900.0,400.3
12040.0,28900.0,400.8
12060.0,28900.0,401.2
12080.0,28900.0,401.7
12100.0,28900.0,402.2
12120.0,28900.0,402.8
12140.0,28900.0,403.3
12160.0,28900.0,403.9
12180.0,28900.0,404.5
12200.0,28900.0,405.1
12220.0,28900.0,405.8
12240.0,28900.0,406.4
12260.0,28900.0,407.0
12280.0,28900.0,407.6
12300.0,28900.0,408.3
12320.0,28900.0,408.9
12340.0,28900.0,409.5
12360.0,28900.0,410.1
12380.0,28900.0,410.6
12400.0,28900.0,411.2
12420.0,28900.0,411.7
12440.0,28900.0,412.2
12460.0,28900.0,412.6
12480.0,28900.0,413.0
12500.0,28900.0,413.4
12520.0,28900.0,413.7
12540.0,28900.0,414.0
12560.0,28900.0,414.2
12580.0,28900.0,414.4
12600.0,28900.0,414.5
12620.0,28900.0,414.6
12640.0,28900.0,414.6
12660.0,28900.0,414.6
12680.0,28900.0,414.4
12700.0,28900.0,414.3
12720.0,28900.0,414.0
12740.0,28900.0,413.8
12760.0,28900.0,413.4
12780.0,28900.0,413.0
12800.0,28900.0,412.5
12820.0,28900.0,412.0
12840.0,28900.0,411.4
12860.0,28900.0,410.8
12880.0,28900.0,410.1
12900.0,28900.0,409.4
12920.0,28900.0,408.7
12940.0,28900.0,407.9
12960.0,28900.0,407.0
12980.0,28900.0,406.2
13000.0,28900.0,405.3
13020.0,28900.0,404.4
13040.0,28900.0,403.5
13060.0,28900.0,402.5
13080.0,28900.0,401.6
13100.0,28900.0,400.7
13120.0,28900.0,399.7
13140.0,28900.0,398.8
13160.0,28900.0,397.9
13180.0,28900.0,397.0
13200.0,28900.0,396.1
13220.0,28900.0,395.3
13240.0,28900.0,394.5
13260.0,28900.0,393.7
13280.0,28900.0,392.9
13300.0,28900.0,392.2
13320.0,28900.0,391.6
13340.0,28900.0,391.0
13360.0,28900.0,390.4
13380.0,28900.0,389.9
13400.0,28900.0,389.5
13420.0,28900.0,389.1
13440.0,28900.0,388.8
13460.0,28900.0,388.5
13480.0,28900.0,388.2
13500.0,28900.0,388.1
13520.0,28900.0,388.0
13540.0,28900.0,387.9
13560.0,28900.0,387.9
13580.0,28900.0,387.9
13600.0,28900.0,388.0
10800.0,28920.0,388.0
10820.0,28920.0,388.7
10840.0,28920.0,389.4
10860.0,28920.0,390.0
10880.0,28920.0,390.7
10900.0,28920.0,391.4
10920.0,28920.0,392.0
10940.0,28920.0,392.6
10960.0,28920.0,393.2
10980.0,28920.0,393.8
11000.0,28920.0,394.3
11020.0,28920.0,394.8
11040.0,28920.0,395.3
11060.0,28920.0,395.7
11080.0,28920.0,396.1
11100.0,28920.0,396.5
11120.0,28920.0,396.9
11140.0,28920.0,397.2
11160.0,28920.0,397.5
11180.0,28920.0,397.7
11200.0,28920.0,398.0
11220.0,28920.0,398.1
11240.0,28920.0,398.3
11260.0,28920.0,398.4
11280.0,28920.0,398.5
11300.0,28920.0,398.6
11320.0,28920.0,398.6
11340.0,28920.0,398.7
11360.0,28920.0,398.7
11380.0,28920.0,398.6
11400.0,28920.0,398.6
11420.0,28920.0,398.5
11440.0,28920.0,398.4
11460.0,28920.0,398.4
11480.0,28920.0,398.3
11500.0,28920.0,398.1
11520.0,28920.0,398.0
11540.0,28920.0,397.9
11560.0,28920.0,397.8
11580.0,28920.0,397.7
11600.0,28920.0,397.6
11620.0,28920.0,397.4
11640.0,28920.0,397.4
11660.0,28920.0,397.3
11680.0,28920.0,397.2
11700.0,28920.0,397.1
11720.0,28920.0,397.1
11740.0,28920.0,397.1
11760.0,28920.0,397.1
11780.0,28920.0,397.1
11800.0,28920.0,397.2
11820.0,28920.0,397.3
11840.0,28920.0,397.4
11860.0,28920.0,397.6
11880.0,28920.0,397.7
11900.0,28920.0,398.0
11920.0,28920.0,398.2
11940.0,28920.0,398.5
11960.0,28920.0,398.8
11980.0,28920.0,399.1
12000.0,28920.0,399.5
12020.0,28920.0,399.9
12040.0,28920.0,400.4
12060.0,28920.0,400.8
12080.0,28920.0,401.3
12100.0,28920.0,401.8
12120.0,28920.0,402.4
12140.0,28920.0,403.0
12160.0,28920.0,403.5
12180.0,28920.0,404.1
12200.0,28920.0,404.7
12220.0,28920.0,405.3
12240.0,28920.0,406.0
12260.0,28920.0,406.6
12280.0,28920.0,407.2
12300.0,28920.0,407.8
12320.0,28920.0,408.4
12340.0,28920.0,409.0
12360.0,28920.0,409.6
12380.0,28920.0,410.2
12400.0,28920.0,410.7
12420.0,28920.0,411.2
12440.0,28920.0,411.7
12460.0,28920.0,412.2
12480.0,28920.0,412.6
12500.0,28920.0,412.9
12520.0,28920.0,413.2
12540.0,28920.0,413.5
12560.0,28920.0,413.7
12580.0,28920.0,413.9
12600.0,28920.0,414.0
12620.0,28920.0,414.1
12640.0,28920.0,414.1
12660.0,28920.0,414.0
12680.0,28920.0,413.9
12700.0,28920.0,413.7
12720.0,28920.0,413.4
12740.0,28920.0,413.1
12760.0,28920.0,412.8
12780.0,28920.0,412.4
12800.0,28920.0,411.9
12820.0,28920.0,411.3
12840.0,28920.0,410.8
12860.0,28920.0,410.1
12880.0,28920.0,409.4
12900.0,28920.0,408.7
12920.0,28920.0,407.9
12940.0,28920.0,407.1
12960.0,28920.0,406.3
12980.0,28920.0,405.4
13000.0,28920.0,404.5
13020.0,28920.0,403.6
13040.0,28920.0,402.6
