HOLE_ID,FROM,TO,AU_GPT,CU_PPM,AS_PPM,CN_WAD_PPM,MOISTURE_PCT,CN_WAD_BDL
TS001,0.0,0.44,,,346.0,0.5,13.8,1
TS001,0.44,0.88,,,144.0,0.5,20.2,1
TS001,0.88,1.31,,,311.0,0.5,11.7,1
TS001,1.31,1.75,,,233.0,0.69,13.8,0
TS001,1.75,2.95,0.357,640.0,414.0,0.58,28.0,0
TS001,2.95,3.0,0.273,863.0,249.0,0.5,15.0,1
TS001,3.0,3.05,0.227,559.0,1049.0,3.04,32.6,0
TS001,3.05,3.1,0.195,572.0,343.0,0.5,11.4,1
TS001,3.1,4.12,0.585,621.0,883.0,0.5,33.0,1
TS001,4.12,5.15,0.403,421.0,935.0,3.0,30.5,0
TS001,5.15,5.4,0.231,420.0,562.0,0.5,11.8,1
TS001,5.4,5.85,1.101,676.0,454.0,1.0,28.4,0
TS001,5.85,5.95,0.686,387.0,172.0,0.5,16.1,1
TS001,5.95,6.0,0.695,465.0,408.0,1.8,35.3,0
TS001,6.0,6.2,0.682,379.0,186.0,0.58,13.9,0
TS001,6.2,7.05,0.463,407.0,371.0,9.46,31.2,0
TS001,7.05,8.28,0.008,32.0,33.0,0.5,16.1,1
TS001,8.28,9.5,0.014,63.0,19.0,0.5,13.5,1
TS002,0.0,0.4,,,178.0,0.5,12.7,1
TS002,0.4,0.65,0.224,766.0,565.0,0.5,33.0,1
TS002,0.65,0.7,0.42,937.0,321.0,0.5,12.2,1
TS002,0.7,1.05,0.183,854.0,899.0,0.5,32.9,1
TS002,1.05,1.15,0.438,732.0,267.0,0.5,14.8,1
TS002,1.15,1.2,0.207,553.0,1017.0,0.5,30.6,1
TS002,1.2,1.25,0.221,490.0,242.0,0.5,14.4,1
TS002,1.25,1.6,0.328,753.0,830.0,0.5,29.4,1
TS002,1.6,1.7,0.488,570.0,278.0,0.5,14.5,1
TS002,1.7,2.55,0.437,388.0,332.0,1.57,29.3,0
TS002,2.55,3.4,0.274,461.0,661.0,0.56,34.4,0
TS002,3.4,4.25,0.296,495.0,1050.0,1.37,36.3,0
TS002,4.25,4.7,0.309,491.0,378.0,1.27,20.2,0
TS002,4.7,5.52,0.358,530.0,350.0,9.35,34.4,0
TS002,5.52,6.35,0.468,675.0,700.0,0.7,36.5,0
TS002,6.35,6.45,0.245,254.0,1192.0,0.54,16.4,0
TS002,6.45,7.65,0.282,432.0,1441.0,0.5,28.3,1
TS002,7.65,8.9,0.015,29.0,27.0,0.5,18.0,1
TS003,0.0,0.4,,,208.0,0.5,15.2,1
TS003,0.4,1.6,0.496,1085.0,914.0,0.81,31.2,0
TS003,1.6,2.8,0.347,1190.0,1158.0,0.63,32.8,0
TS003,2.8,2.95,0.195,580.0,835.0,0.5,20.1,1
TS003,2.95,3.7,0.279,601.0,1732.0,1.55,32.9,0
TS003,3.7,3.75,0.383,832.0,338.0,0.5,13.6,1
TS003,3.75,4.05,0.249,606.0,945.0,0.5,33.9,0
TS003,4.05,4.1,0.515,900.0,869.0,0.53,18.5,0
TS003,4.1,4.2,0.358,747.0,1085.0,1.1,35.1,0
TS003,4.2,4.75,0.396,1043.0,326.0,0.65,14.9,0
TS003,4.75,4.85,0.585,703.0,737.0,5.8,33.2,0
TS003,4.85,5.65,0.22,657.0,161.0,1.8,12.6,0
TS003,5.65,5.7,0.359,791.0,390.0,1.7,31.2,0
TS003,5.7,5.75,0.537,1007.0,301.0,0.5,14.2,1
TS003,5.75,5.8,0.388,872.0,741.0,0.5,33.1,1
TS003,5.8,5.9,0.581,1077.0,776.0,0.5,13.5,1
TS003,5.9,5.95,0.572,1324.0,1343.0,0.5,30.0,1
TS003,5.95,7.1,0.439,1019.0,258.0,0.58,13.3,0
TS003,7.1,7.15,0.408,656.0,910.0,2.29,28.6,0
TS003,7.15,7.8,0.309,706.0,344.0,0.5,10.3,1
TS003,7.8,9.1,0.605,1547.0,947.0,1.68,30.4,0
TS003,9.1,9.2,0.599,871.0,319.0,0.86,11.3,0
TS003,9.2,10.65,0.489,541.0,1806.0,2.07,32.2,0
