HOLE_ID,X,Y,Z,LENGTH,TYPE
TS001,5026.7,2014.7,517.4,9.5,SONIC
TS002,5073.2,2034.5,517.5,8.9,SONIC
TS003,5239.4,2024.2,517.4,17.1,SONIC
TS004,5272.7,2023.9,517.4,18.9,SONIC
TS005,5420.4,2022.9,517.4,27.8,SONIC
TS006,5518.0,2019.3,517.4,22.2,SONIC
TS007,5632.5,2019.3,517.4,11.5,SONIC
TS008,5684.0,2026.9,517.5,9.6,SONIC
TS009,5064.3,2074.2,517.7,8.3,SONIC
TS010,5133.3,2088.7,517.8,10.6,SONIC
TS011,5191.1,2076.3,517.8,12.2,SONIC
TS012,5219.6,2081.5,517.8,14.1,SONIC
TS013,5270.6,2063.3,517.7,18.0,SONIC
TS014,5375.2,2079.0,517.8,26.1,SONIC
TS015,5459.3,2081.2,517.8,24.7,SONIC
TS016,5578.5,2078.2,517.8,14.9,SONIC
TS017,5636.3,2070.0,517.7,10.1,SONIC
TS018,5667.1,2081.0,517.8,8.6,SONIC
TS019,5033.0,2114.7,518.0,8.5,SONIC
TS020,5072.2,2134.1,518.1,9.1,SONIC
TS021,5160.7,2123.0,518.0,11.1,SONIC
TS022,5206.8,2120.6,518.0,12.7,SONIC
TS023,5326.6,2116.9,518.0,22.7,SONIC
TS024,5359.8,2128.8,518.1,25.5,SONIC
TS025,5417.5,2126.9,518.1,26.1,SONIC
TS026,5029.7,2175.5,518.4,9.7,SONIC
TS027,5118.0,2165.5,518.3,9.6,SONIC
TS028,5180.1,2176.7,518.4,12.4,SONIC
TS029,5229.0,2181.0,518.4,14.8,SONIC
TS030,5284.1,2180.8,518.4,19.7,SONIC
TS031,5320.2,2178.3,518.4,22.4,SONIC
TS032,5373.8,2169.2,518.3,26.0,SONIC
TS033,5438.6,2180.9,518.4,25.0,SONIC
TS034,5469.4,2182.9,518.4,22.9,SONIC
TS035,5570.5,2190.6,518.4,13.7,SONIC
TS036,5626.7,2174.0,518.3,9.9,SONIC
TS037,5677.8,2188.8,518.4,8.3,SONIC
TS038,5018.9,2221.8,518.6,10.3,SONIC
TS039,5085.1,2229.0,518.7,9.7,SONIC
TS040,5121.4,2226.4,518.7,11.0,SONIC
TS041,5187.0,2230.4,518.7,12.9,SONIC
TS042,5214.6,2224.2,518.6,14.9,SONIC
TS043,5273.7,2226.0,518.7,19.9,SONIC
TS044,5321.0,2228.9,518.7,23.9,SONIC
TS045,5369.9,2214.2,518.6,25.9,SONIC
TS046,5420.2,2225.7,518.7,26.1,SONIC
TS047,5475.8,2219.5,518.6,21.8,SONIC
TS048,5512.4,2225.0,518.7,18.6,SONIC
TS049,5577.1,2225.8,518.7,12.9,SONIC
TS050,5622.5,2233.5,518.7,11.5,SONIC
TS051,5682.0,2233.7,518.7,8.8,SONIC
TS052,5021.4,2262.7,518.9,9.4,SONIC
TS053,5065.8,2264.0,518.9,10.3,SONIC
TS054,5121.4,2276.2,519.0,9.9,SONIC
TS055,5178.8,2282.0,519.0,12.8,SONIC
TS056,5232.6,2274.2,518.9,16.2,SONIC
TS057,5277.1,2288.9,519.0,21.0,SONIC
TS058,5338.6,2275.2,519.0,25.2,SONIC
TS059,5365.8,2277.8,519.0,26.9,SONIC
TS060,5416.1,2275.0,519.0,25.8,SONIC
TS061,5482.5,2281.3,519.0,21.4,SONIC
TS062,5516.8,2275.7,519.0,18.8,SONIC
TS063,5585.5,2261.5,518.9,13.5,SONIC
TS064,5626.0,2282.7,519.0,11.4,SONIC
TS065,5681.9,2267.4,518.9,8.7,SONIC
TS066,5020.0,2333.3,519.3,9.0,SONIC
TS067,5089.3,2323.5,519.2,9.9,SONIC
TS068,5124.5,2322.7,519.2,10.3,SONIC
TS069,5187.2,2325.8,519.3,13.2,SONIC
TS070,5207.5,2332.4,519.3,15.1,SONIC
TS071,5279.5,2330.5,519.3,21.6,SONIC
TS072,5313.3,2333.6,519.3,24.1,SONIC
TS073,5374.8,2304.0,519.1,26.3,SONIC
TS074,5429.2,2324.4,519.2,25.1,SONIC
TS075,5462.4,2327.9,519.3,24.0,SONIC
TS076,5513.7,2314.7,519.2,18.5,SONIC
TS077,5584.6,2322.5,519.2,12.4,SONIC
TS078,5630.6,2335.3,519.3,10.3,SONIC
TS079,5664.6,2336.1,519.3,7.8,SONIC
TS080,5017.6,2389.5,519.6,7.9,SONIC
TS081,5078.6,2379.0,519.6,8.8,SONIC
TS082,5128.8,2373.6,519.5,10.1,SONIC
TS083,5173.9,2377.7,519.6,12.8,SONIC
TS084,5235.1,2382.9,519.6,16.2,SONIC
TS085,5277.0,2367.2,519.5,20.4,SONIC
TS086,5323.3,2371.3,519.5,24.3,SONIC
TS087,5366.6,2375.5,519.6,26.7,SONIC
TS088,5425.4,2365.3,519.5,25.6,SONIC
TS089,5466.5,2366.4,519.5,22.3,SONIC
TS090,5526.2,2376.0,519.6,16.6,SONIC
TS091,5552.2,2373.4,519.5,14.3,SONIC
TS092,5630.4,2376.1,519.6,8.7,SONIC
TS093,5682.4,2375.8,519.6,6.9,SONIC
TS094,5019.8,2434.1,519.9,8.5,SONIC
TS095,5068.1,2425.7,519.9,8.7,SONIC
TS096,5127.0,2424.6,519.8,10.5,SONIC
TS097,5173.6,2424.9,519.8,11.2,SONIC
