HOLE_ID,FROM,TO,LITH
TS001,0.0,1.75,CAP
TS001,1.75,2.95,SLIME
TS001,2.95,3.0,SAND
TS001,3.0,3.05,SLIME
TS001,3.05,3.1,SAND
TS001,3.1,5.15,SLIME
TS001,5.15,5.4,SAND
TS001,5.4,5.85,SLIME
TS001,5.85,5.95,SAND
TS001,5.95,6.0,SLIME
TS001,6.0,6.2,SAND
TS001,6.2,7.05,SLIME
TS001,7.05,9.5,CLAY
TS002,0.0,0.4,CAP
TS002,0.4,0.65,SLIME
TS002,0.65,0.7,SAND
TS002,0.7,1.05,SLIME
TS002,1.05,1.15,SAND
TS002,1.15,1.2,SLIME
TS002,1.2,1.25,SAND
TS002,1.25,1.6,SLIME
TS002,1.6,1.7,SAND
TS002,1.7,4.25,SLIME
TS002,4.25,4.7,SAND
TS002,4.7,6.35,SLIME
TS002,6.35,6.45,SAND
TS002,6.45,7.65,SLIME
TS002,7.65,8.9,CLAY
TS003,0.0,0.4,CAP
TS003,0.4,2.8,SLIME
TS003,2.8,2.95,SAND
TS003,2.95,3.7,SLIME
TS003,3.7,3.75,SAND
TS003,3.75,4.05,SLIME
TS003,4.05,4.1,SAND
TS003,4.1,4.2,SLIME
TS003,4.2,4.75,SAND
TS003,4.75,4.85,SLIME
TS003,4.85,5.65,SAND
TS003,5.65,5.7,SLIME
TS003,5.7,5.75,SAND
TS003,5.75,5.8,SLIME
TS003,5.8,5.9,SAND
TS003,5.9,5.95,SLIME
TS003,5.95,7.1,SAND
TS003,7.1,7.15,SLIME
TS003,7.15,7.8,SAND
TS003,7.8,9.1,SLIME
TS003,9.1,9.2,SAND
TS003,9.2,10.65,SLIME
TS003,10.65,11.2,SAND
TS003,11.2,11.45,SLIME
TS003,11.45,11.55,SAND
TS003,11.55,14.7,SLIME
TS003,14.7,17.1,CLAY
TS004,0.0,0.7,CAP
TS004,0.7,3.0,SLIME
TS004,3.0,3.05,SAND
TS004,3.05,3.5,SLIME
TS004,3.5,4.6,SAND
TS004,4.6,4.65,SLIME
TS004,4.65,5.5,SAND
TS004,5.5,5.6,SLIME
TS004,5.6,5.65,SAND
TS004,5.65,6.05,SLIME
TS004,6.05,6.35,SAND
TS004,6.35,6.4,SLIME
TS004,6.4,6.65,SAND
TS004,6.65,6.85,SLIME
TS004,6.85,7.0,SAND
TS004,7.0,7.1,SLIME
TS004,7.1,7.25,SAND
TS004,7.25,7.35,SLIME
TS004,7.35,7.85,SAND
TS004,7.85,8.75,SLIME
TS004,8.75,8.8,SAND
TS004,8.8,10.15,SLIME
TS004,10.15,10.2,SAND
TS004,10.2,10.25,SLIME
TS004,10.25,10.3,SAND
TS004,10.3,10.35,SLIME
TS004,10.35,10.4,SAND
TS004,10.4,10.45,SLIME
TS004,10.45,10.5,SAND
TS004,10.5,10.55,SLIME
TS004,10.55,11.05,SAND
TS004,11.05,15.05,SLIME
TS004,15.05,15.15,SAND
TS004,15.15,16.95,SLIME
TS004,16.95,17.0,SAND
TS004,17.0,17.05,SLIME
TS004,17.05,17.1,SAND
TS004,17.1,17.15,SLIME
TS004,17.15,17.4,SAND
TS004,17.4,17.45,SLIME
TS004,17.45,17.5,SAND
TS004,17.5,17.55,SLIME
TS004,17.55,18.9,CLAY
TS005,0.0,3.85,SLIME
TS005,3.85,4.1,SAND
TS005,4.1,4.15,SLIME
TS005,4.15,4.25,SAND
TS005,4.25,4.6,SLIME
TS005,4.6,4.65,SAND
TS005,4.65,6.3,SLIME
TS005,6.3,6.35,SAND
TS005,6.35,7.65,SLIME
TS005,7.65,7.85,SAND
TS005,7.85,7.95,SLIME
TS005,7.95,8.2,SAND
TS005,8.2,12.2,SLIME
TS005,12.2,12.4,SAND
TS005,12.4,15.3,SLIME
TS005,15.3,15.55,SAND
TS005,15.55,20.5,SLIME
TS005,20.5,20.8,SAND
TS005,20.8,20.9,SLIME
TS005,20.9,21.25,SAND
TS005,21.25,21.7,SLIME
TS005,21.7,22.3,SAND
TS005,22.3,22.65,SLIME
TS005,22.65,22.7,SAND
TS005,22.7,24.8,SLIME
TS005,24.8,24.85,SAND
TS005,24.85,25.25,SLIME
TS005,25.25,25.55,SAND
TS005,25.55,25.6,SLIME
TS005,25.6,25.65,SAND
TS005,25.65,25.7,SLIME
TS005,25.7,27.8,CLAY
TS006,0.0,1.05,SLIME
TS006,1.05,1.55,SAND
TS006,1.55,1.8,SLIME
TS006,1.8,1.9,SAND
TS006,1.9,2.05,SLIME
TS006,2.05,2.65,SAND
TS006,2.65,5.9,SLIME
TS006,5.9,6.0,SAND
TS006,6.0,6.2,SLIME
TS006,6.2,6.25,SAND
TS006,6.25,6.3,SLIME
TS006,6.3,6.65,SAND
TS006,6.65,9.05,SLIME
TS006,9.05,9.1,SAND
TS006,9.1,11.7,SLIME
TS006,11.7,12.25,SAND
TS006,12.25,12.3,SLIME
TS006,12.3,12.45,SAND
TS006,12.45,14.2,SLIME
TS006,14.2,14.3,SAND
TS006,14.3,16.3,SLIME
TS006,16.3,16.4,SAND
TS006,16.4,16.5,SLIME
TS006,16.5,16.55,SAND
TS006,16.55,16.7,SLIME
TS006,16.7,16.75,SAND
TS006,16.75,17.0,SLIME
TS006,17.0,17.1,SAND
TS006,17.1,17.15,SLIME
TS006,17.15,17.2,SAND
TS006,17.2,17.7,SLIME
TS006,17.7,17.8,SAND
TS006,17.8,19.7,SLIME
TS006,19.7,22.2,CLAY
TS007,0.0,0.05,SLIME
TS007,0.05,0.15,SAND
TS007,0.15,0.25,SLIME
TS007,0.25,0.45,SAND
TS007,0.45,0.6,SLIME
TS007,0.6,0.65,SAND
TS007,0.65,0.8,SLIME
TS007,0.8,1.2,SAND
TS007,1.2,1.55,SLIME
TS007,1.55,1.6,SAND
TS007,1.6,1.65,SLIME
TS007,1.65,1.7,SAND
TS007,1.7,2.45,SLIME
TS007,2.45,2.55,SAND
TS007,2.55,3.8,SLIME
TS007,3.8,3.85,SAND
TS007,3.85,4.95,SLIME
TS007,4.95,5.3,SAND
TS007,5.3,5.8,SLIME
TS007,5.8,6.15,SAND
TS007,6.15,6.7,SLIME
TS007,6.7,6.75,SAND
TS007,6.75,10.0,SLIME
TS007,10.0,11.5,CLAY
TS008,0.0,0.15,SAND
TS008,0.15,0.8,SLIME
TS008,0.8,0.85,SAND
TS008,0.85,0.95,SLIME
TS008,0.95,1.7,SAND
TS008,1.7,5.0,SLIME
TS008,5.0,5.05,SAND
TS008,5.05,7.4,SLIME
TS008,7.4,9.6,CLAY
TS009,0.0,0.7,CAP
TS009,0.7,0.8,SLIME
TS009,0.8,0.85,SAND
TS009,0.85,1.0,SLIME
TS009,1.0,1.55,SAND
TS009,1.55,2.25,SLIME
TS009,2.25,2.35,SAND
TS009,2.35,2.4,SLIME
TS009,2.4,2.45,SAND
TS009,2.45,2.6,SLIME
TS009,2.6,2.8,SAND
TS009,2.8,2.95,SLIME
TS009,2.95,3.15,SAND
TS009,3.15,3.2,SLIME
TS009,3.2,3.25,SAND
TS009,3.25,3.7,SLIME
TS009,3.7,3.75,SAND
TS009,3.75,3.8,SLIME
TS009,3.8,3.85,SAND
TS009,3.85,4.2,SLIME
TS009,4.2,4.25,SAND
TS009,4.25,4.35,SLIME
TS009,4.35,4.85,SAND
TS009,4.85,5.7,SLIME
TS009,5.7,5.9,SAND
TS009,5.9,6.1,SLIME
TS009,6.1,6.15,SAND
TS009,6.15,6.65,SLIME
TS009,6.65,6.7,SAND
TS009,6.7,6.8,SLIME
TS009,6.8,7.05,SAND
TS009,7.05,7.1,SLIME
TS009,7.1,8.3,CLAY
TS010,0.0,0.65,SLIME
TS010,0.65,1.0,SAND
TS010,1.0,2.5,SLIME
TS010,2.5,2.75,SAND
TS010,2.75,5.4,SLIME
TS010,5.4,5.45,SAND
TS010,5.45,5.55,SLIME
TS010,5.55,6.05,SAND
TS010,6.05,6.1,SLIME
TS010,6.1,6.15,SAND
TS010,6.15,6.7,SLIME
TS010,6.7,6.9,SAND
TS010,6.9,7.0,SLIME
TS010,7.0,7.95,SAND
TS010,7.95,8.2,SLIME
TS010,8.2,10.6,CLAY
TS011,0.0,1.2,CAP
TS011,1.2,4.5,SLIME
TS011,4.5,4.75,SAND
TS011,4.75,5.0,SLIME
TS011,5.0,5.05,SAND
TS011,5.05,6.05,SLIME
TS011,6.05,6.1,SAND
TS011,6.1,6.85,SLIME
TS011,6.85,7.35,SAND
