X,Y,Z
4950.0,1950.0,510.17
4960.0,1950.0,510.03
4970.0,1950.0,509.87
4980.0,1950.0,509.7
4990.0,1950.0,509.51
5000.0,1950.0,509.31
5010.0,1950.0,509.1
5020.0,1950.0,508.88
5030.0,1950.0,508.65
5040.0,1950.0,508.42
5050.0,1950.0,508.18
5060.0,1950.0,507.94
5070.0,1950.0,507.7
5080.0,1950.0,507.45
5090.0,1950.0,507.19
5100.0,1950.0,506.93
5110.0,1950.0,506.66
5120.0,1950.0,506.38
5130.0,1950.0,506.08
5140.0,1950.0,505.76
5150.0,1950.0,505.42
5160.0,1950.0,505.04
5170.0,1950.0,504.63
5180.0,1950.0,504.18
5190.0,1950.0,503.69
5200.0,1950.0,503.16
5210.0,1950.0,502.58
5220.0,1950.0,501.95
5230.0,1950.0,501.27
5240.0,1950.0,500.54
5250.0,1950.0,499.78
5260.0,1950.0,498.98
5270.0,1950.0,498.15
5280.0,1950.0,497.31
5290.0,1950.0,496.46
5300.0,1950.0,495.61
5310.0,1950.0,494.78
5320.0,1950.0,493.98
5330.0,1950.0,493.23
5340.0,1950.0,492.53
5350.0,1950.0,491.9
5360.0,1950.0,491.36
5370.0,1950.0,490.91
5380.0,1950.0,490.56
5390.0,1950.0,490.31
5400.0,1950.0,490.19
5410.0,1950.0,490.18
5420.0,1950.0,490.28
5430.0,1950.0,490.5
5440.0,1950.0,490.83
5450.0,1950.0,491.27
5460.0,1950.0,491.81
5470.0,1950.0,492.44
5480.0,1950.0,493.14
5490.0,1950.0,493.92
5500.0,1950.0,494.75
5510.0,1950.0,495.64
5520.0,1950.0,496.56
5530.0,1950.0,497.5
5540.0,1950.0,498.46
5550.0,1950.0,499.42
5560.0,1950.0,500.38
5570.0,1950.0,501.32
5580.0,1950.0,502.24
5590.0,1950.0,503.13
5600.0,1950.0,503.99
5610.0,1950.0,504.8
5620.0,1950.0,505.57
5630.0,1950.0,506.28
5640.0,1950.0,506.94
5650.0,1950.0,507.54
5660.0,1950.0,508.09
5670.0,1950.0,508.57
5680.0,1950.0,508.99
5690.0,1950.0,509.34
5700.0,1950.0,509.64
5710.0,1950.0,509.87
5720.0,1950.0,510.04
5730.0,1950.0,510.15
5740.0,1950.0,510.2
5750.0,1950.0,510.21
4950.0,1960.0,510.42
4960.0,1960.0,510.28
4970.0,1960.0,510.12
4980.0,1960.0,509.95
4990.0,1960.0,509.76
5000.0,1960.0,509.56
5010.0,1960.0,509.35
5020.0,1960.0,509.13
5030.0,1960.0,508.9
5040.0,1960.0,508.67
5050.0,1960.0,508.44
5060.0,1960.0,508.2
5070.0,1960.0,507.95
5080.0,1960.0,507.71
5090.0,1960.0,507.46
5100.0,1960.0,507.2
5110.0,1960.0,506.93
5120.0,1960.0,506.65
5130.0,1960.0,506.35
5140.0,1960.0,506.03
5150.0,1960.0,505.69
5160.0,1960.0,505.31
5170.0,1960.0,504.9
5180.0,1960.0,504.45
5190.0,1960.0,503.96
5200.0,1960.0,503.42
5210.0,1960.0,502.84
5220.0,1960.0,502.2
5230.0,1960.0,501.52
5240.0,1960.0,500.79
5250.0,1960.0,500.02
5260.0,1960.0,499.22
5270.0,1960.0,498.39
5280.0,1960.0,497.53
5290.0,1960.0,496.68
5300.0,1960.0,495.82
5310.0,1960.0,494.98
5320.0,1960.0,494.18
5330.0,1960.0,493.42
5340.0,1960.0,492.71
5350.0,1960.0,492.08
5360.0,1960.0,491.53
5370.0,1960.0,491.07
5380.0,1960.0,490.72
5390.0,1960.0,490.47
5400.0,1960.0,490.34
5410.0,1960.0,490.32
5420.0,1960.0,490.42
5430.0,1960.0,490.64
5440.0,1960.0,490.97
5450.0,1960.0,491.4
5460.0,1960.0,491.94
5470.0,1960.0,492.56
5480.0,1960.0,493.26
5490.0,1960.0,494.04
5500.0,1960.0,494.87
5510.0,1960.0,495.75
5520.0,1960.0,496.67
5530.0,1960.0,497.61
5540.0,1960.0,498.56
5550.0,1960.0,499.52
5560.0,1960.0,500.48
5570.0,1960.0,501.42
5580.0,1960.0,502.33
5590.0,1960.0,503.22
5600.0,1960.0,504.08
5610.0,1960.0,504.89
5620.0,1960.0,505.65
5630.0,1960.0,506.36
5640.0,1960.0,507.02
5650.0,1960.0,507.63
5660.0,1960.0,508.17
5670.0,1960.0,508.65
5680.0,1960.0,509.07
5690.0,1960.0,509.43
5700.0,1960.0,509.72
5710.0,1960.0,509.96
5720.0,1960.0,510.13
5730.0,1960.0,510.25
5740.0,1960.0,510.31
5750.0,1960.0,510.32
4950.0,1970.0,510.68
4960.0,1970.0,510.53
4970.0,1970.0,510.37
4980.0,1970.0,510.2
4990.0,1970.0,510.01
5000.0,1970.0,509.81
5010.0,1970.0,509.6
5020.0,1970.0,509.38
5030.0,1970.0,509.16
5040.0,1970.0,508.93
5050.0,1970.0,508.7
5060.0,1970.0,508.46
5070.0,1970.0,508.23
5080.0,1970.0,507.98
5090.0,1970.0,507.73
5100.0,1970.0,507.48
5110.0,1970.0,507.21
5120.0,1970.0,506.94
5130.0,1970.0,506.64
5140.0,1970.0,506.32
5150.0,1970.0,505.98
5160.0,1970.0,505.6
5170.0,1970.0,505.19
5180.0,1970.0,504.74
5190.0,1970.0,504.25
5200.0,1970.0,503.71
5210.0,1970.0,503.12
5220.0,1970.0,502.48
5230.0,1970.0,501.79
5240.0,1970.0,501.06
5250.0,1970.0,500.29
5260.0,1970.0,499.47
5270.0,1970.0,498.63
5280.0,1970.0,497.78
5290.0,1970.0,496.91
5300.0,1970.0,496.05
5310.0,1970.0,495.21
5320.0,1970.0,494.39
5330.0,1970.0,493.62
5340.0,1970.0,492.91
5350.0,1970.0,492.27
5360.0,1970.0,491.72
5370.0,1970.0,491.25
5380.0,1970.0,490.89
5390.0,1970.0,490.64
5400.0,1970.0,490.51
5410.0,1970.0,490.49
5420.0,1970.0,490.58
5430.0,1970.0,490.8
5440.0,1970.0,491.12
5450.0,1970.0,491.55
5460.0,1970.0,492.09
5470.0,1970.0,492.71
5480.0,1970.0,493.41
5490.0,1970.0,494.18
5500.0,1970.0,495.01
5510.0,1970.0,495.89
5520.0,1970.0,496.8
5530.0,1970.0,497.74
5540.0,1970.0,498.69
5550.0,1970.0,499.65
5560.0,1970.0,500.6
5570.0,1970.0,501.54
5580.0,1970.0,502.45
5590.0,1970.0,503.34
5600.0,1970.0,504.19
5610.0,1970.0,504.99
5620.0,1970.0,505.76
5630.0,1970.0,506.47
5640.0,1970.0,507.12
5650.0,1970.0,507.72
5660.0,1970.0,508.26
5670.0,1970.0,508.75
5680.0,1970.0,509.17
5690.0,1970.0,509.52
5700.0,1970.0,509.82
5710.0,1970.0,510.06
5720.0,1970.0,510.24
5730.0,1970.0,510.36
5740.0,1970.0,510.42
5750.0,1970.0,510.44
