X,Y,Z
4950.0,1950.0,518.17
4960.0,1950.0,518.03
4970.0,1950.0,517.87
4980.0,1950.0,517.7
4990.0,1950.0,517.51
5000.0,1950.0,517.31
5010.0,1950.0,517.1
5020.0,1950.0,516.88
5030.0,1950.0,516.65
5040.0,1950.0,516.42
5050.0,1950.0,516.18
5060.0,1950.0,515.94
5070.0,1950.0,515.7
5080.0,1950.0,515.45
5090.0,1950.0,515.19
5100.0,1950.0,514.93
5110.0,1950.0,514.66
5120.0,1950.0,514.38
5130.0,1950.0,514.08
5140.0,1950.0,513.76
5150.0,1950.0,513.42
5160.0,1950.0,513.04
5170.0,1950.0,512.63
5180.0,1950.0,512.18
5190.0,1950.0,511.69
5200.0,1950.0,511.16
5210.0,1950.0,510.58
5220.0,1950.0,509.95
5230.0,1950.0,509.27
5240.0,1950.0,508.54
5250.0,1950.0,507.78
5260.0,1950.0,506.98
5270.0,1950.0,506.15
5280.0,1950.0,505.31
5290.0,1950.0,504.46
5300.0,1950.0,503.61
5310.0,1950.0,502.78
5320.0,1950.0,501.98
5330.0,1950.0,501.23
5340.0,1950.0,500.53
5350.0,1950.0,499.9
5360.0,1950.0,499.36
5370.0,1950.0,498.91
5380.0,1950.0,498.56
5390.0,1950.0,498.31
5400.0,1950.0,498.19
5410.0,1950.0,498.18
5420.0,1950.0,498.28
5430.0,1950.0,498.5
5440.0,1950.0,498.83
5450.0,1950.0,499.27
5460.0,1950.0,499.81
5470.0,1950.0,500.44
5480.0,1950.0,501.14
5490.0,1950.0,501.92
5500.0,1950.0,502.75
5510.0,1950.0,503.64
5520.0,1950.0,504.56
5530.0,1950.0,505.5
5540.0,1950.0,506.46
5550.0,1950.0,507.42
5560.0,1950.0,508.38
5570.0,1950.0,509.32
5580.0,1950.0,510.24
5590.0,1950.0,511.13
5600.0,1950.0,511.99
5610.0,1950.0,512.8
5620.0,1950.0,513.57
5630.0,1950.0,514.28
5640.0,1950.0,514.94
5650.0,1950.0,515.54
5660.0,1950.0,516.09
5670.0,1950.0,516.57
5680.0,1950.0,516.99
5690.0,1950.0,517.34
5700.0,1950.0,517.64
5710.0,1950.0,517.87
5720.0,1950.0,518.04
5730.0,1950.0,518.15
5740.0,1950.0,518.2
5750.0,1950.0,518.21
4950.0,1960.0,518.42
4960.0,1960.0,518.28
4970.0,1960.0,518.12
4980.0,1960.0,517.95
4990.0,1960.0,517.76
5000.0,1960.0,517.56
5010.0,1960.0,517.35
5020.0,1960.0,517.13
5030.0,1960.0,516.9
5040.0,1960.0,516.67
5050.0,1960.0,516.44
5060.0,1960.0,516.2
5070.0,1960.0,515.95
5080.0,1960.0,515.71
5090.0,1960.0,515.46
5100.0,1960.0,515.2
5110.0,1960.0,514.93
5120.0,1960.0,514.65
5130.0,1960.0,514.35
5140.0,1960.0,514.03
5150.0,1960.0,513.69
5160.0,1960.0,513.31
5170.0,1960.0,512.9
5180.0,1960.0,512.45
5190.0,1960.0,511.96
5200.0,1960.0,511.42
5210.0,1960.0,510.84
5220.0,1960.0,510.2
5230.0,1960.0,509.52
5240.0,1960.0,508.79
5250.0,1960.0,508.02
5260.0,1960.0,507.22
5270.0,1960.0,506.39
5280.0,1960.0,505.53
5290.0,1960.0,504.68
5300.0,1960.0,503.82
5310.0,1960.0,502.98
5320.0,1960.0,502.18
5330.0,1960.0,501.42
5340.0,1960.0,500.71
5350.0,1960.0,500.08
5360.0,1960.0,499.53
5370.0,1960.0,499.07
5380.0,1960.0,498.72
5390.0,1960.0,498.47
5400.0,1960.0,498.34
5410.0,1960.0,498.32
5420.0,1960.0,498.42
5430.0,1960.0,498.64
5440.0,1960.0,498.97
5450.0,1960.0,499.4
5460.0,1960.0,499.94
5470.0,1960.0,500.56
5480.0,1960.0,501.26
5490.0,1960.0,502.04
5500.0,1960.0,502.87
5510.0,1960.0,503.75
5520.0,1960.0,504.67
5530.0,1960.0,505.61
5540.0,1960.0,506.56
5550.0,1960.0,507.52
5560.0,1960.0,508.48
5570.0,1960.0,509.42
5580.0,1960.0,510.33
5590.0,1960.0,511.22
5600.0,1960.0,512.08
5610.0,1960.0,512.89
5620.0,1960.0,513.65
5630.0,1960.0,514.36
5640.0,1960.0,515.02
5650.0,1960.0,515.63
5660.0,1960.0,516.17
5670.0,1960.0,516.65
5680.0,1960.0,517.07
5690.0,1960.0,517.43
5700.0,1960.0,517.72
5710.0,1960.0,517.96
5720.0,1960.0,518.13
5730.0,1960.0,518.25
5740.0,1960.0,518.31
5750.0,1960.0,518.32
4950.0,1970.0,518.68
4960.0,1970.0,518.53
4970.0,1970.0,518.37
4980.0,1970.0,518.2
4990.0,1970.0,518.01
5000.0,1970.0,517.81
5010.0,1970.0,517.6
5020.0,1970.0,517.38
5030.0,1970.0,517.16
5040.0,1970.0,516.93
5050.0,1970.0,516.7
5060.0,1970.0,516.46
5070.0,1970.0,516.23
5080.0,1970.0,515.98
5090.0,1970.0,515.73
5100.0,1970.0,515.48
5110.0,1970.0,515.21
5120.0,1970.0,514.94
5130.0,1970.0,514.64
5140.0,1970.0,514.32
5150.0,1970.0,513.98
5160.0,1970.0,513.6
5170.0,1970.0,513.19
5180.0,1970.0,512.74
5190.0,1970.0,512.25
5200.0,1970.0,511.71
5210.0,1970.0,511.12
5220.0,1970.0,510.48
5230.0,1970.0,509.79
5240.0,1970.0,509.06
5250.0,1970.0,508.29
5260.0,1970.0,507.47
5270.0,1970.0,506.63
5280.0,1970.0,505.78
5290.0,1970.0,504.91
5300.0,1970.0,504.05
5310.0,1970.0,503.21
5320.0,1970.0,502.39
5330.0,1970.0,501.62
5340.0,1970.0,500.91
5350.0,1970.0,500.27
5360.0,1970.0,499.72
5370.0,1970.0,499.25
5380.0,1970.0,498.89
5390.0,1970.0,498.64
5400.0,1970.0,498.51
5410.0,1970.0,498.49
5420.0,1970.0,498.58
5430.0,1970.0,498.8
5440.0,1970.0,499.12
5450.0,1970.0,499.55
5460.0,1970.0,500.09
5470.0,1970.0,500.71
5480.0,1970.0,501.41
5490.0,1970.0,502.18
5500.0,1970.0,503.01
5510.0,1970.0,503.89
5520.0,1970.0,504.8
5530.0,1970.0,505.74
5540.0,1970.0,506.69
5550.0,1970.0,507.65
5560.0,1970.0,508.6
5570.0,1970.0,509.54
5580.0,1970.0,510.45
5590.0,1970.0,511.34
5600.0,1970.0,512.19
5610.0,1970.0,512.99
5620.0,1970.0,513.76
5630.0,1970.0,514.47
5640.0,1970.0,515.12
5650.0,1970.0,515.72
5660.0,1970.0,516.26
5670.0,1970.0,516.75
5680.0,1970.0,517.17
5690.0,1970.0,517.52
5700.0,1970.0,517.82
5710.0,1970.0,518.06
5720.0,1970.0,518.24
