HOLE_ID,DEPTH,DIP,AZIMUTH
TS001,0.0,90.0,0.0
TS001,9.5,90.0,0.0
TS002,0.0,90.0,0.0
TS002,8.9,90.0,0.0
TS003,0.0,90.0,0.0
TS003,17.1,90.0,0.0
TS004,0.0,90.0,0.0
TS004,18.9,90.0,0.0
TS005,0.0,90.0,0.0
TS005,27.8,90.0,0.0
TS006,0.0,90.0,0.0
TS006,22.2,90.0,0.0
TS007,0.0,90.0,0.0
TS007,11.5,90.0,0.0
TS008,0.0,90.0,0.0
TS008,9.6,90.0,0.0
TS009,0.0,90.0,0.0
TS009,8.3,90.0,0.0
TS010,0.0,90.0,0.0
TS010,10.6,90.0,0.0
TS011,0.0,90.0,0.0
TS011,12.2,90.0,0.0
TS012,0.0,90.0,0.0
TS012,14.1,90.0,0.0
TS013,0.0,90.0,0.0
TS013,18.0,90.0,0.0
TS014,0.0,90.0,0.0
TS014,26.1,90.0,0.0
TS015,0.0,90.0,0.0
TS015,24.7,90.0,0.0
TS016,0.0,90.0,0.0
TS016,14.9,90.0,0.0
TS017,0.0,90.0,0.0
TS017,10.1,90.0,0.0
TS018,0.0,90.0,0.0
TS018,8.6,90.0,0.0
TS019,0.0,90.0,0.0
TS019,8.5,90.0,0.0
TS020,0.0,90.0,0.0
TS020,9.1,90.0,0.0
TS021,0.0,90.0,0.0
TS021,11.1,90.0,0.0
TS022,0.0,90.0,0.0
TS022,12.7,90.0,0.0
TS023,0.0,90.0,0.0
TS023,22.7,90.0,0.0
TS024,0.0,90.0,0.0
TS024,25.5,90.0,0.0
TS025,0.0,90.0,0.0
TS025,26.1,90.0,0.0
TS026,0.0,90.0,0.0
TS026,9.7,90.0,0.0
TS027,0.0,90.0,0.0
TS027,9.6,90.0,0.0
TS028,0.0,90.0,0.0
TS028,12.4,90.0,0.0
TS029,0.0,90.0,0.0
TS029,14.8,90.0,0.0
TS030,0.0,90.0,0.0
TS030,19.7,90.0,0.0
TS031,0.0,90.0,0.0
TS031,22.4,90.0,0.0
TS032,0.0,90.0,0.0
TS032,26.0,90.0,0.0
