HOLE_ID,FROM,TO,AU_GPT,AG_GPT,AS_PPM
UD0001,113.0,115.0,0.041,1.0,53.0
UD0001,115.0,117.0,0.006,0.77,19.0
UD0001,117.0,119.0,0.016,1.45,29.0
UD0001,119.0,121.0,0.055,1.91,95.0
UD0001,121.0,123.0,0.019,1.81,90.0
UD0001,123.0,125.0,0.005,0.36,27.0
UD0001,125.0,127.0,0.006,0.73,12.0
UD0001,127.0,129.0,0.005,0.16,16.0
UD0001,129.0,131.0,0.005,0.49,29.0
UD0001,131.0,133.0,0.229,5.97,131.0
UD0001,133.0,135.0,0.011,0.14,7.0
UD0001,135.0,137.0,0.048,0.21,61.0
UD0001,137.0,139.0,0.02,0.29,7.0
UD0001,139.0,141.0,0.022,0.45,41.0
UD0001,141.0,143.0,0.017,0.65,41.0
UD0001,143.0,145.0,0.062,1.86,49.0
UD0001,145.0,147.0,0.021,0.24,50.0
UD0001,147.0,149.0,0.036,0.14,45.0
UD0001,149.0,151.01,0.022,0.42,137.0
UD0001,151.01,153.01,0.009,0.28,49.0
UD0001,153.01,155.01,0.006,0.53,27.0
UD0001,155.01,157.01,0.011,0.71,11.0
UD0001,157.01,159.01,0.032,0.4,7.0
UD0001,159.01,161.01,0.065,0.94,48.0
UD0001,161.01,163.01,0.012,0.53,14.0
UD0001,163.01,165.01,0.005,0.78,5.0
UD0001,165.01,167.01,0.005,0.26,18.0
UD0001,167.01,169.01,0.005,0.97,8.0
UD0001,169.01,171.01,0.011,0.53,35.0
UD0001,171.01,173.01,0.005,0.14,24.0
UD0001,173.01,175.01,0.008,2.26,13.0
UD0001,175.01,177.01,0.01,1.63,24.0
UD0001,177.01,179.01,0.043,0.67,23.0
UD0001,179.01,181.01,0.045,2.08,16.0
UD0001,181.01,183.01,0.007,1.52,10.0
UD0001,183.01,185.01,0.01,0.46,18.0
UD0001,185.01,187.01,0.045,0.4,32.0
UD0001,187.01,189.01,0.011,0.34,13.0
UD0001,189.01,191.01,0.006,1.03,23.0
UD0001,191.01,193.01,0.005,0.97,15.0
UD0001,193.01,195.01,0.014,0.23,30.0
UD0001,195.01,197.01,0.045,0.26,49.0
UD0001,197.01,199.01,0.027,1.53,105.0
UD0001,199.01,201.01,0.018,0.67,37.0
UD0001,201.01,203.01,0.005,0.63,23.0
UD0001,203.01,205.01,0.06,5.18,62.0
UD0001,205.01,207.01,0.017,0.13,16.0
UD0001,207.01,209.01,0.005,0.26,20.0
UD0001,209.01,211.01,0.028,0.54,28.0
UD0001,211.01,213.01,0.005,0.22,20.0
UD0001,213.01,215.01,0.005,0.2,9.0
UD0001,215.01,217.01,0.005,0.24,6.0
UD0001,217.01,219.01,0.005,0.17,52.0
UD0001,219.01,221.01,0.016,1.84,34.0
UD0001,221.01,223.01,0.005,0.24,23.0
UD0001,223.01,225.01,0.083,1.26,24.0
UD0001,225.01,227.02,0.11,1.66,43.0
UD0001,227.02,229.02,0.005,0.25,11.0
UD0001,229.02,231.02,0.005,0.16,13.0
UD0001,231.02,233.02,0.012,0.89,27.0
UD0001,233.02,235.02,0.005,0.79,24.0
UD0001,235.02,237.02,0.043,0.73,113.0
UD0001,237.02,239.02,0.107,1.83,27.0
UD0001,239.02,241.02,0.013,0.79,26.0
UD0001,241.02,243.02,0.142,4.2,32.0
UD0001,243.02,245.02,0.056,0.91,54.0
UD0001,245.02,247.02,0.049,0.91,124.0
UD0001,247.02,249.02,0.031,0.82,10.0
UD0001,249.02,251.02,0.063,1.68,104.0
UD0001,251.02,253.02,0.077,2.93,24.0
UD0001,253.02,255.02,0.166,5.32,43.0
UD0001,255.02,257.02,0.133,2.12,175.0
UD0001,257.02,259.02,0.03,0.31,38.0
UD0001,259.02,261.02,0.061,1.55,47.0
UD0001,261.02,263.02,0.132,14.73,79.0
UD0001,263.02,265.02,0.066,1.34,29.0
UD0001,265.02,267.02,0.005,0.26,5.0
UD0001,267.02,269.02,0.01,0.11,31.0
UD0001,269.02,271.02,0.005,0.08,9.0
UD0001,271.02,273.02,0.016,0.42,16.0
UD0001,273.02,275.02,0.008,0.37,5.0
UD0001,275.02,277.02,0.056,0.22,91.0
UD0001,277.02,279.02,0.15,2.7,189.0
UD0001,279.02,281.02,0.01,0.18,20.0
UD0001,281.02,283.02,0.005,0.37,31.0
UD0001,283.02,285.02,0.013,0.27,27.0
UD0001,285.02,287.02,0.022,0.82,106.0
UD0001,287.02,289.02,0.008,0.43,58.0
UD0001,289.02,291.02,0.006,0.27,143.0
UD0001,291.02,293.02,0.005,1.24,31.0
UD0001,293.02,295.02,0.206,8.42,219.0
UD0001,295.02,297.02,0.03,0.28,73.0
UD0001,297.02,299.02,0.005,0.41,21.0
UD0001,299.02,301.03,0.007,0.26,27.0
UD0001,301.03,303.03,0.007,0.28,5.0
UD0001,303.03,305.03,0.005,0.11,23.0
UD0001,305.03,307.03,0.3,6.7,360.0
UD0001,307.03,309.03,0.082,2.8,141.0
UD0001,309.03,311.03,0.005,0.17,8.0
UD0001,311.03,313.03,0.005,0.51,15.0
UD0001,313.03,315.03,0.01,0.31,15.0
UD0001,315.03,317.03,0.006,0.27,14.0
UD0001,317.03,319.03,0.005,0.48,19.0
UD0001,319.03,321.03,0.005,0.74,5.0
UD0001,321.03,323.03,0.02,0.46,11.0
UD0001,323.03,325.03,0.015,0.69,21.0
UD0001,325.03,327.03,0.024,1.87,47.0
UD0001,327.03,329.03,0.005,0.5,26.0
UD0001,329.03,331.03,0.005,0.14,117.0
UD0001,331.03,333.03,0.022,1.36,32.0
UD0001,333.03,335.03,0.022,0.24,41.0
UD0001,335.03,337.03,0.052,0.15,70.0
UD0001,337.03,339.03,0.005,0.49,23.0
UD0001,339.03,341.03,0.005,0.4,7.0
UD0001,341.03,343.03,0.009,1.38,29.0
UD0001,343.03,345.03,0.016,0.88,30.0
UD0001,345.03,347.03,0.121,0.38,42.0
UD0001,347.03,349.03,0.01,0.24,22.0
UD0001,349.03,351.03,0.011,1.06,37.0
UD0001,351.03,353.03,0.01,0.24,147.0
UD0001,353.03,355.03,0.031,1.17,123.0
UD0001,355.03,357.03,0.005,0.39,16.0
UD0001,357.03,359.03,0.037,0.39,56.0
UD0001,359.03,361.03,0.005,0.49,40.0
UD0001,361.03,363.03,0.022,0.22,38.0
UD0001,363.03,365.03,0.005,0.16,12.0
UD0001,365.03,367.03,0.026,0.32,44.0
UD0001,367.03,369.03,0.006,0.12,39.0
UD0001,369.03,371.03,0.015,0.08,28.0
UD0001,371.03,373.03,0.006,0.44,24.0
UD0001,373.03,375.03,0.064,2.38,49.0
UD0001,375.03,377.04,0.005,0.09,8.0
UD0001,377.04,379.04,0.025,1.15,88.0
UD0001,379.04,381.04,0.03,0.59,38.0
UD0001,381.04,383.04,0.037,0.84,16.0
UD0001,383.04,385.04,0.005,1.5,11.0
UD0001,385.04,387.04,0.047,0.71,95.0
UD0001,387.04,389.04,0.005,0.25,21.0
UD0001,389.04,391.04,0.017,0.38,43.0
UD0001,391.04,393.04,0.018,0.65,9.0
UD0001,393.04,395.04,0.005,0.59,3.0
UD0002,112.0,114.01,0.005,2.6,5.0
UD0002,114.01,116.02,0.005,0.55,13.0
UD0002,116.02,118.03,0.005,0.6,66.0
UD0002,118.03,120.04,0.019,1.71,68.0
UD0002,120.04,122.05,0.005,1.17,62.0
UD0002,122.05,124.07,0.01,0.46,66.0
UD0002,124.07,126.08,0.008,0.53,60.0
UD0002,126.08,128.09,0.005,0.25,112.0
UD0002,128.09,130.1,0.005,0.88,83.0
UD0002,130.1,132.11,0.005,0.54,5.0
UD0002,132.11,134.12,0.016,0.62,38.0
UD0002,134.12,136.13,0.005,0.15,38.0
UD0002,136.13,138.14,0.005,0.06,70.0
UD0002,138.14,140.15,0.007,0.71,24.0
UD0002,140.15,142.16,0.026,0.28,44.0
UD0002,142.16,144.17,0.035,0.61,34.0
UD0002,144.17,146.18,0.016,1.11,19.0
UD0002,146.18,148.2,0.028,0.48,33.0
UD0002,148.2,150.21,0.084,1.36,99.0
UD0002,150.21,152.22,0.011,0.36,46.0
UD0002,152.22,154.23,0.005,0.52,8.0
UD0002,154.23,156.24,0.005,0.09,30.0
UD0002,156.24,158.25,0.005,0.34,36.0
UD0002,158.25,160.26,0.073,3.46,64.0
UD0002,160.26,162.27,0.005,1.08,17.0
UD0002,162.27,164.28,0.005,0.34,5.0
UD0002,164.28,166.29,0.012,0.42,11.0
UD0002,166.29,168.3,0.005,0.1,9.0
UD0002,168.3,170.32,0.029,0.69,71.0
UD0002,170.32,172.33,0.006,0.31,20.0
UD0002,172.33,174.34,0.005,0.91,70.0
UD0002,174.34,176.35,0.005,0.76,18.0
UD0002,176.35,178.36,0.005,0.11,18.0
UD0002,178.36,180.37,0.025,0.21,34.0
UD0002,180.37,182.38,0.009,0.42,28.0
UD0002,182.38,184.39,0.017,0.35,42.0
UD0002,184.39,186.4,0.029,1.71,30.0
UD0002,186.4,188.41,0.016,0.76,26.0
UD0002,188.41,190.42,0.006,0.37,29.0
UD0002,190.42,192.43,0.005,0.14,50.0
UD0002,192.43,194.45,0.025,0.19,75.0
UD0002,194.45,196.46,0.041,0.24,71.0
UD0002,196.46,198.47,0.013,1.38,36.0
UD0002,198.47,200.48,0.012,2.91,29.0
UD0002,200.48,202.49,0.013,0.37,85.0
UD0002,202.49,204.5,0.363,15.01,52.0
UD0002,204.5,206.51,0.019,0.56,36.0
UD0002,206.51,208.52,0.016,0.42,34.0
UD0002,208.52,210.53,0.006,0.39,12.0
UD0002,210.53,212.54,0.079,1.44,95.0
UD0002,212.54,214.55,0.846,47.09,36.0
UD0002,214.55,216.57,0.219,10.41,121.0
UD0002,216.57,218.58,0.05,1.07,37.0
UD0002,218.58,220.59,0.005,0.57,7.0
UD0002,220.59,222.6,0.005,0.46,16.0
UD0002,222.6,224.61,0.038,0.99,29.0
UD0002,224.61,226.62,0.013,0.48,78.0
UD0002,226.62,228.63,0.021,1.04,20.0
UD0002,228.63,230.64,0.005,0.76,25.0
UD0002,230.64,232.65,0.005,0.41,12.0
UD0002,232.65,234.66,0.005,0.47,11.0
UD0002,234.66,236.67,0.005,3.97,12.0
UD0002,236.67,238.68,0.024,0.58,43.0
UD0002,238.68,240.7,0.031,0.79,53.0
UD0002,240.7,242.71,0.005,0.22,13.0
UD0002,242.71,244.72,0.017,0.49,108.0
UD0002,244.72,246.73,0.021,0.7,92.0
UD0002,246.73,248.74,0.359,10.48,25.0
UD0002,248.74,250.75,0.005,0.45,27.0
UD0002,250.75,252.76,0.024,0.2,21.0
UD0002,252.76,254.77,0.02,0.23,32.0
UD0002,254.77,256.78,0.012,0.28,54.0
UD0002,256.78,258.79,0.023,0.64,29.0
UD0002,258.79,260.8,0.005,0.4,10.0
UD0002,260.8,262.82,0.005,0.2,6.0
UD0002,262.82,264.83,0.005,0.22,6.0
UD0002,264.83,266.84,0.018,0.69,18.0
UD0002,266.84,268.85,0.058,1.2,34.0
UD0002,268.85,270.86,0.11,4.22,58.0
UD0002,270.86,272.87,0.011,3.53,94.0
UD0002,272.87,274.88,0.005,0.37,5.0
UD0002,274.88,276.89,0.02,3.51,15.0
UD0002,276.89,278.9,0.05,1.97,83.0
UD0002,278.9,280.91,0.047,0.57,49.0
UD0002,280.91,282.92,0.096,1.4,72.0
UD0002,282.92,284.93,0.044,3.44,31.0
UD0002,284.93,286.95,0.02,0.36,42.0
UD0002,286.95,288.96,0.005,0.72,21.0
UD0002,288.96,290.97,0.005,0.49,32.0
UD0002,290.97,292.98,0.013,0.58,32.0
UD0002,292.98,294.99,0.005,0.28,9.0
UD0002,294.99,297.0,0.026,0.84,23.0
UD0002,297.0,298.0,1.735,35.65,346.0
UD0002,298.0,299.0,3.223,283.66,723.0
UD0002,299.0,300.25,1.395,14.5,392.0
UD0002,300.25,301.12,0.532,11.43,631.0
UD0002,301.12,302.0,4.052,61.88,677.0
UD0002,302.0,304.0,0.079,3.18,49.0
UD0002,304.0,306.01,0.37,5.89,19.0
UD0002,306.01,308.01,0.031,2.83,13.0
