HOLE_ID,X,Y,Z,LENGTH,TYPE
UD0001,8279.6,14625.4,905.2,395.04,DD
UD0002,8311.8,14630.2,905.9,434.32,DD
UD0003,8420.2,14640.7,906.4,605.0,DD
UD0004,8279.9,14633.8,906.2,455.12,DD
UD0005,8208.8,14616.4,902.8,310.39,DD
UD0006,8312.3,14641.7,907.4,509.31,DD
UD0007,8306.7,14656.9,909.3,398.42,DD
UD0008,8104.7,14635.3,900.3,169.21,DD
UD0009,8372.2,14700.6,914.7,512.72,DD
UD0010,8246.6,14645.5,907.2,419.35,DD
UD0011,8404.7,14682.5,912.4,582.16,DD
UD0012,8256.9,14668.2,910.0,327.66,DD
UD0013,8472.9,14721.6,918.0,652.49,DD
UD0014,8305.8,14713.8,915.6,477.55,DD
UD0015,8283.2,14708.4,914.7,435.79,DD
UD0016,8401.8,14720.5,917.1,589.58,DD
UD0017,8091.1,14661.3,902.0,159.48,DD
UD0018,8155.6,14694.7,908.7,275.18,DD
UD0019,8353.9,14759.2,920.2,543.08,DD
UD0020,8148.5,14735.6,910.9,250.85,DD
UD0021,8195.9,14712.7,912.2,298.38,DD
UD0022,8231.1,14734.6,915.3,399.08,DD
UD0023,8187.0,14764.7,914.7,337.06,DD
UD0024,8256.8,14778.7,918.8,392.32,DD
UD0025,8241.9,14772.8,918.0,445.34,DD
UD0026,8141.5,14750.0,911.1,249.71,DD
UD0027,8328.5,14793.0,921.8,469.52,DD
UD0028,8276.4,14841.7,921.3,477.88,DD
UD0029,8154.4,14804.5,913.1,325.39,DD
UD0030,8154.6,14791.2,913.0,263.91,DD
UD0031,8289.5,14822.2,921.5,528.25,DD
UD0032,8133.0,14827.8,910.9,225.86,DD
UD0033,8061.3,14841.5,902.6,142.39,DD
UD0034,8472.1,14888.7,929.2,687.94,DD
UD0035,8166.0,14849.8,913.6,321.33,DD
UD0036,8359.2,14876.2,924.8,592.76,DD
UD0037,8199.8,14839.1,916.6,420.36,DD
UD0038,8074.1,14855.3,903.4,152.63,DD
UD0039,8186.0,14875.6,914.7,371.84,DD
UD0040,8109.1,14875.9,906.5,204.23,DD
UD0041,8370.0,14936.0,924.9,548.22,DD
UD0042,8094.3,14901.5,903.1,235.09,DD
UD0043,8273.3,14965.5,919.1,466.01,DD
UD0044,8054.0,14912.4,897.0,171.17,DD
UD0045,8435.5,14990.0,926.6,655.54,DD
UD0046,8421.0,14998.5,925.9,620.87,DD
UD0047,8107.7,14952.9,901.7,235.1,DD
UD0048,8163.0,14951.9,909.0,302.44,DD
UD0049,8235.3,14972.1,915.9,442.49,DD
UD0050,8049.7,14940.7,894.3,171.81,DD
UD0051,8195.1,15003.0,910.6,424.51,DD
UD0052,8211.4,15011.1,912.1,387.02,DD
UD0053,8045.1,14994.1,890.1,141.91,DD
UD0054,8384.6,15052.5,923.7,661.9,DD
UD0055,8302.7,15027.9,919.7,572.82,DD
UD0056,8339.5,15029.4,921.9,560.06,DD
UD0057,8077.5,15024.0,893.4,194.38,DD
UD0058,8275.0,15058.9,917.1,513.41,DD
UD0059,8116.4,15032.6,898.9,282.96,DD
UD0060,8413.8,15091.4,924.5,655.3,DD
UD0061,8028.4,15021.0,886.3,175.9,DD
UD0062,8278.0,15077.8,917.1,541.27,DD
UD0063,8154.3,15100.8,902.9,389.06,DD
UD0064,8126.7,15079.0,899.2,251.67,DD
UD0065,8237.1,15097.4,913.1,552.13,DD
UD0066,8331.4,15127.7,920.7,625.65,DD
UD0067,8170.3,15086.6,905.2,357.35,DD
UD0068,8025.6,15085.2,884.4,132.09,DD
UD0069,8229.4,15155.0,912.1,518.4,DD
UD0070,8062.0,15121.0,889.6,220.85,DD
UD0071,8027.2,15097.8,884.6,161.8,DD
UD0072,8360.2,15170.8,922.4,593.53,DD
UD0073,8203.9,15147.9,909.2,417.82,DD
UD0074,8265.9,15205.5,916.0,589.0,DD
UD0075,8131.5,15171.1,900.2,341.33,DD
UD0076,8334.7,15184.3,921.1,614.53,DD
UD0077,8067.3,15161.6,891.3,269.52,DD
UD0078,8201.4,15175.1,909.1,473.99,DD
UD0079,8352.1,15236.3,922.1,652.45,DD
UD0080,8208.4,15227.8,910.4,428.36,DD
UD0081,8253.8,15238.7,915.0,573.29,DD
UD0082,8018.6,15174.8,885.7,154.51,DD
UD0083,8201.7,15215.7,909.6,416.39,DD
UD0084,8291.0,15237.5,918.1,498.69,DD
UD0085,8191.9,15213.9,908.4,518.61,DD
UD0086,8004.0,15221.7,886.9,134.97,DD
UD0087,8286.7,15278.7,917.6,502.93,DD
UD0088,8119.9,15247.4,900.9,321.35,DD
UD0089,8280.1,15265.7,917.2,584.14,DD
UD0090,8041.1,15214.0,890.3,190.21,DD
UD0091,8091.1,15236.7,897.2,251.29,DD
UD0092,8183.6,15258.9,908.2,429.23,DD
UD0093,8074.1,15278.3,897.4,252.41,DD
UD0094,8027.9,15277.6,893.0,216.41,DD
UD0095,8133.2,15286.3,903.7,344.79,DD
UD0096,8337.7,15321.5,920.1,639.39,DD
UD0097,8282.8,15362.2,915.5,516.59,DD
UD0098,8221.1,15351.7,911.7,494.44,DD
UD0099,8096.2,15314.0,901.2,299.46,DD
UD0100,7979.0,15306.2,891.1,176.75,DD
UD0101,8122.5,15325.8,903.9,394.13,DD
UD0102,8110.1,15318.8,902.6,351.89,DD
UD0103,8264.8,15385.6,913.5,555.21,DD
UD0104,8204.5,15387.1,910.0,475.6,DD
UD0105,8118.4,15345.3,904.1,306.71,DD
UD0106,8264.8,15395.8,913.1,532.13,DD
UD0107,8270.9,15384.4,913.9,556.48,DD
UD0108,8171.0,15408.4,907.9,481.64,DD
UD0109,8084.6,15405.4,903.5,300.97,DD
UD0110,8269.5,15420.6,912.1,587.84,DD
UD0111,8278.1,15437.8,911.4,573.16,DD
UD0112,8072.0,15396.3,902.6,295.0,DD
UD0113,8022.8,15381.2,899.1,235.79,DD
UD0114,7981.2,15377.7,896.4,137.68,DD
UD0115,8209.7,15451.2,908.2,559.12,DD
UD0116,8090.8,15431.9,904.4,341.5,DD
UD0117,8326.1,15490.1,909.0,592.62,DD
UD0118,7993.1,15425.7,899.8,197.93,DD
CH00001,8053.9,14765.8,840.0,3.23,CH
CH00002,8053.7,14768.8,840.0,3.26,CH
CH00003,8053.4,14771.8,840.0,4.43,CH
CH00004,8053.1,14774.8,840.0,3.27,CH
CH00005,8052.7,14777.8,840.0,3.3,CH
CH00006,8052.3,14780.8,840.0,3.43,CH
CH00007,8052.5,14783.8,840.0,4.36,CH
CH00008,8052.4,14786.9,840.0,3.87,CH
CH00009,8051.5,14789.8,840.0,4.55,CH
CH00010,8051.9,14792.9,840.0,4.06,CH
CH00011,8051.5,14795.8,840.0,3.78,CH
CH00012,8051.0,14798.8,840.0,4.59,CH
CH00013,8051.5,14801.9,840.0,4.22,CH
