HOLE_ID,FROM,TO,LITH,VEIN
UD0001,0.0,113.0,RHY,
UD0001,113.0,395.04,AND,
UD0002,0.0,112.0,RHY,
UD0002,112.0,297.0,AND,
UD0002,297.0,299.0,BX,V1
UD0002,299.0,300.25,QV,V1
UD0002,300.25,302.0,BX,V1
UD0002,302.0,434.32,AND,
UD0003,0.0,106.75,RHY,
UD0003,106.75,605.0,AND,
UD0004,0.0,99.5,RHY,
UD0004,99.5,318.25,AND,
UD0004,318.25,321.0,BX,V1
UD0004,321.0,323.0,QV,V1
UD0004,323.0,325.75,BX,V1
UD0004,325.75,455.12,AND,
UD0005,0.0,113.25,RHY,
UD0005,113.25,310.39,AND,
UD0006,0.0,100.5,RHY,
UD0006,100.5,509.31,AND,
UD0007,0.0,119.0,RHY,
UD0007,119.0,277.5,AND,
UD0007,277.5,279.25,BX,V1
UD0007,279.25,282.25,QV,V1
UD0007,282.25,284.0,BX,V1
UD0007,284.0,398.42,AND,
UD0008,0.0,95.75,RHY,
UD0008,95.75,169.21,AND,
UD0009,0.0,110.5,RHY,
UD0009,110.5,370.5,AND,
UD0009,370.5,372.5,BX,V1
UD0009,372.5,377.25,QV,V1
UD0009,377.25,379.25,BX,V1
UD0009,379.25,512.72,AND,
UD0010,0.0,96.0,RHY,
UD0010,96.0,271.25,AND,
UD0010,271.25,273.5,BX,V1
UD0010,273.5,277.5,QV,V1
UD0010,277.5,280.0,BX,V1
UD0010,280.0,419.35,AND,
UD0011,0.0,105.0,RHY,
UD0011,105.0,445.5,AND,
UD0011,445.5,447.25,BX,V1
UD0011,447.25,448.75,QV,V1
UD0011,448.75,450.5,BX,V1
UD0011,450.5,582.16,AND,
UD0012,0.0,114.25,RHY,
UD0012,114.25,224.25,AND,
UD0012,224.25,226.25,BX,V1
UD0012,226.25,228.25,QV,V1
UD0012,228.25,230.0,BX,V1
UD0012,230.0,327.66,AND,
UD0013,0.0,102.25,RHY,
UD0013,102.25,652.49,AND,
UD0014,0.0,100.5,RHY,
UD0014,100.5,315.25,AND,
UD0014,315.25,317.0,BX,V1
UD0014,317.0,320.0,QV,V1
UD0014,320.0,322.0,BX,V1
UD0014,322.0,477.55,AND,
UD0015,0.0,105.0,RHY,
UD0015,105.0,273.5,AND,
UD0015,273.5,275.25,BX,V1
UD0015,275.25,276.75,QV,V1
UD0015,276.75,278.75,BX,V1
UD0015,278.75,435.79,AND,
UD0016,0.0,101.25,RHY,
UD0016,101.25,447.5,AND,
UD0016,447.5,449.5,BX,V1
UD0016,449.5,452.0,QV,V1
UD0016,452.0,454.0,BX,V1
UD0016,454.0,589.58,AND,
UD0017,0.0,85.75,RHY,
UD0017,85.75,159.48,AND,
UD0018,0.0,86.0,RHY,
UD0018,86.0,149.25,AND,
UD0018,149.25,151.25,BX,V1
UD0018,151.25,155.25,QV,V1
UD0018,155.25,157.25,BX,V1
UD0018,157.25,275.18,AND,
UD0019,0.0,96.25,RHY,
UD0019,96.25,256.25,AND,
UD0019,256.25,258.0,BX,V3
UD0019,258.0,258.25,QV,V3
UD0019,258.25,260.0,BX,V3
UD0019,260.0,375.0,AND,
UD0019,375.0,377.0,BX,V1
UD0019,377.0,383.75,QV,V1
UD0019,383.75,385.5,BX,V1
UD0019,385.5,543.08,AND,
UD0020,0.0,78.75,RHY,
UD0020,78.75,154.25,AND,
UD0020,154.25,156.25,BX,V1
UD0020,156.25,158.5,QV,V1
UD0020,158.5,160.5,BX,V1
UD0020,160.5,250.85,AND,
UD0021,0.0,87.0,RHY,
UD0021,87.0,202.5,AND,
UD0021,202.5,204.75,BX,V1
UD0021,204.75,206.75,QV,V1
UD0021,206.75,209.0,BX,V1
UD0021,209.0,298.38,AND,
UD0022,0.0,81.25,RHY,
UD0022,81.25,278.0,AND,
UD0022,278.0,280.0,BX,V1
UD0022,280.0,282.75,QV,V1
UD0022,282.75,285.0,BX,V1
UD0022,285.0,399.08,AND,
UD0023,0.0,75.5,RHY,
UD0023,75.5,203.5,AND,
UD0023,203.5,205.75,BX,V1
UD0023,205.75,207.75,QV,V1
UD0023,207.75,209.75,BX,V1
UD0023,209.75,337.06,AND,
UD0024,0.0,82.25,RHY,
UD0024,82.25,157.5,AND,
UD0024,157.5,159.25,BX,V3
UD0024,159.25,159.75,QV,V3
UD0024,159.75,161.5,BX,V3
UD0024,161.5,270.0,AND,
UD0024,270.0,271.75,BX,V1
UD0024,271.75,273.0,QV,V1
UD0024,273.0,274.75,BX,V1
UD0024,274.75,346.75,AND,
UD0024,346.75,348.75,BX,V2
UD0024,348.75,349.0,QV,V2
UD0024,349.0,350.0,BX,V2
UD0024,350.0,392.32,AND,
UD0025,0.0,71.75,RHY,
UD0025,71.75,173.25,AND,
UD0025,173.25,175.5,BX,V3
UD0025,175.5,176.25,QV,V3
UD0025,176.25,178.5,BX,V3
UD0025,178.5,322.75,AND,
UD0025,322.75,325.5,BX,V1
UD0025,325.5,332.5,QV,V1
UD0025,332.5,334.75,BX,V1
UD0025,334.75,445.34,AND,
UD0026,0.0,74.25,RHY,
UD0026,74.25,151.75,AND,
UD0026,151.75,153.75,BX,V1
UD0026,153.75,156.5,QV,V1
UD0026,156.5,158.5,BX,V1
UD0026,158.5,249.71,AND,
UD0027,0.0,90.75,RHY,
UD0027,90.75,229.5,AND,
UD0027,229.5,231.25,BX,V3
UD0027,231.25,231.75,QV,V3
UD0027,231.75,233.5,BX,V3
UD0027,233.5,338.0,AND,
UD0027,338.0,339.75,BX,V1
UD0027,339.75,343.25,QV,V1
UD0027,343.25,345.0,BX,V1
UD0027,345.0,469.52,AND,
UD0028,0.0,63.5,RHY,
UD0028,63.5,214.75,AND,
UD0028,214.75,216.75,BX,V3
UD0028,216.75,217.75,QV,V3
UD0028,217.75,219.75,BX,V3
UD0028,219.75,327.25,AND,
UD0028,327.25,329.25,BX,V1
UD0028,329.25,332.5,QV,V1
UD0028,332.5,334.5,BX,V1
UD0028,334.5,477.88,AND,
UD0029,0.0,60.25,RHY,
UD0029,60.25,190.25,AND,
UD0029,190.25,192.5,BX,V1
UD0029,192.5,196.25,QV,V1
UD0029,196.25,198.75,BX,V1
UD0029,198.75,290.5,AND,
UD0029,290.5,293.25,BX,V2
UD0029,293.25,295.0,QV,V2
UD0029,295.0,297.5,BX,V2
UD0029,297.5,325.39,AND,
UD0030,0.0,70.5,RHY,
UD0030,70.5,158.25,AND,
UD0030,158.25,160.25,BX,V1
UD0030,160.25,163.25,QV,V1
UD0030,163.25,165.25,BX,V1
UD0030,165.25,231.25,AND,
UD0030,231.25,233.25,BX,V2
UD0030,233.25,234.25,QV,V2
UD0030,234.25,236.25,BX,V2
UD0030,236.25,263.91,AND,
UD0031,0.0,67.0,RHY,
UD0031,67.0,240.75,AND,
UD0031,240.75,243.0,BX,V3
UD0031,243.0,243.75,QV,V3
UD0031,243.75,246.0,BX,V3
UD0031,246.0,371.0,AND,
UD0031,371.0,373.25,BX,V1
UD0031,373.25,375.5,QV,V1
UD0031,375.5,377.75,BX,V1
UD0031,377.75,528.25,AND,
UD0032,0.0,70.75,RHY,
UD0032,70.75,121.25,AND,
UD0032,121.25,123.25,BX,V1
UD0032,123.25,125.0,QV,V1
UD0032,125.0,126.75,BX,V1
UD0032,126.75,181.5,AND,
UD0032,181.5,183.25,BX,V2
UD0032,183.25,184.0,QV,V2
UD0032,184.0,185.75,BX,V2
UD0032,185.75,225.86,AND,
UD0033,0.0,55.0,RHY,
UD0033,55.0,128.75,AND,
UD0033,128.75,131.0,BX,V2
UD0033,131.0,131.5,QV,V2
UD0033,131.5,133.75,BX,V2
UD0033,133.75,142.39,AND,
UD0034,0.0,73.0,RHY,
UD0034,73.0,427.0,AND,
UD0034,427.0,428.75,BX,V3
UD0034,428.75,429.5,QV,V3
UD0034,429.5,431.0,BX,V3
UD0034,431.0,550.75,AND,
UD0034,550.75,552.5,BX,V1
UD0034,552.5,554.75,QV,V1
UD0034,554.75,556.5,BX,V1
UD0034,556.5,687.94,AND,
UD0035,0.0,53.0,RHY,
UD0035,53.0,82.25,AND,
UD0035,82.25,84.5,BX,V3
UD0035,84.5,86.5,QV,V3
UD0035,86.5,88.75,BX,V3
UD0035,88.75,203.75,AND,
UD0035,203.75,205.75,BX,V1
UD0035,205.75,208.75,QV,V1
UD0035,208.75,210.75,BX,V1
UD0035,210.75,280.0,AND,
UD0035,280.0,282.5,BX,V2
UD0035,282.5,284.25,QV,V2
UD0035,284.25,286.75,BX,V2
UD0035,286.75,321.33,AND,
UD0036,0.0,62.5,RHY,
UD0036,62.5,330.0,AND,
UD0036,330.0,332.0,BX,V3
UD0036,332.0,333.0,QV,V3
UD0036,333.0,335.0,BX,V3
UD0036,335.0,454.5,AND,
UD0036,454.5,457.0,BX,V1
UD0036,457.0,458.75,QV,V1
UD0036,458.75,461.0,BX,V1
UD0036,461.0,592.76,AND,
UD0037,0.0,54.0,RHY,
UD0037,54.0,139.0,AND,
UD0037,139.0,141.0,BX,V3
UD0037,141.0,142.75,QV,V3
UD0037,142.75,144.75,BX,V3
UD0037,144.75,265.5,AND,
UD0037,265.5,267.5,BX,V1
UD0037,267.5,271.75,QV,V1
UD0037,271.75,274.0,BX,V1
UD0037,274.0,420.36,AND,
UD0038,0.0,64.0,RHY,
UD0038,64.0,115.25,AND,
UD0038,115.25,117.25,BX,V2
UD0038,117.25,118.0,QV,V2
UD0038,118.0,119.75,BX,V2
UD0038,119.75,152.63,AND,
UD0039,0.0,47.0,RHY,
UD0039,47.0,122.5,AND,
UD0039,122.5,124.75,BX,V3
UD0039,124.75,126.5,QV,V3
UD0039,126.5,128.5,BX,V3
UD0039,128.5,242.25,AND,
UD0039,242.25,244.25,BX,V1
UD0039,244.25,248.0,QV,V1
UD0039,248.0,250.0,BX,V1
UD0039,250.0,335.75,AND,
UD0039,335.75,338.5,BX,V2
UD0039,338.5,339.75,QV,V2
UD0039,339.75,342.25,BX,V2
UD0039,342.25,371.84,AND,
UD0040,0.0,53.5,RHY,
UD0040,53.5,109.0,AND,
UD0040,109.0,111.0,BX,V1
UD0040,111.0,112.5,QV,V1
UD0040,112.5,114.5,BX,V1
