HOLE_ID,DEPTH,DIP,AZIMUTH
UD0001,0.0,55.09,260.38
UD0001,30.0,54.86,259.88
UD0001,60.0,54.48,260.34
UD0001,90.0,53.65,260.79
UD0001,120.0,52.72,260.23
UD0001,150.0,52.45,260.54
UD0001,180.0,52.24,261.33
UD0001,210.0,51.99,262.01
UD0001,240.0,51.77,262.44
UD0001,270.0,51.11,261.3
UD0001,300.0,50.78,262.24
UD0001,330.0,50.38,262.66
UD0001,360.0,50.15,263.39
UD0001,390.0,49.82,263.39
UD0001,395.04,49.33,263.42
UD0002,0.0,56.99,259.68
UD0002,30.0,56.15,259.71
UD0002,60.0,55.49,259.25
UD0002,90.0,55.3,259.74
UD0002,120.0,54.98,260.27
UD0002,150.0,54.72,259.71
UD0002,180.0,54.01,260.8
UD0002,210.0,53.19,260.81
UD0002,240.0,53.05,260.75
UD0002,270.0,52.35,261.08
UD0002,300.0,52.38,261.49
UD0002,330.0,52.41,261.99
UD0002,360.0,52.37,262.4
UD0002,390.0,52.09,263.52
UD0002,420.0,51.96,263.21
UD0002,434.32,51.1,263.23
UD0003,0.0,58.26,260.51
UD0003,30.0,57.89,260.74
UD0003,60.0,57.34,260.14
UD0003,90.0,56.66,260.57
UD0003,120.0,56.03,260.69
UD0003,150.0,55.36,260.78
UD0003,180.0,55.09,260.33
UD0003,210.0,54.98,260.92
UD0003,240.0,54.23,260.19
UD0003,270.0,53.78,260.47
UD0003,300.0,52.91,261.42
UD0003,330.0,52.23,262.44
UD0003,360.0,51.78,262.17
UD0003,390.0,51.61,262.46
UD0003,420.0,51.24,263.04
UD0003,450.0,50.57,263.83
UD0003,480.0,50.79,265.01
UD0003,510.0,50.62,264.41
UD0003,540.0,50.44,265.0
UD0003,570.0,50.2,265.14
UD0003,600.0,49.39,265.7
UD0003,605.0,48.96,265.05
UD0004,0.0,67.06,260.54
UD0004,30.0,66.67,261.91
UD0004,60.0,65.92,261.97
UD0004,90.0,65.69,262.45
UD0004,120.0,65.98,262.65
UD0004,150.0,65.75,263.54
UD0004,180.0,65.43,263.99
UD0004,210.0,65.36,263.52
UD0004,240.0,64.79,264.27
UD0004,270.0,64.61,265.35
UD0004,300.0,64.7,265.6
UD0004,330.0,64.59,266.28
UD0004,360.0,64.88,264.85
UD0004,390.0,64.56,265.89
UD0004,420.0,63.89,266.1
UD0004,450.0,63.77,266.88
UD0004,455.12,63.3,267.23
UD0005,0.0,52.68,259.12
UD0005,30.0,52.43,258.68
UD0005,60.0,52.08,257.82
UD0005,90.0,51.83,257.89
UD0005,120.0,51.43,257.61
UD0005,150.0,51.09,257.72
UD0005,180.0,50.57,258.62
UD0005,210.0,49.98,259.06
UD0005,240.0,49.85,260.02
UD0005,270.0,49.71,259.48
UD0005,300.0,49.08,259.59
UD0005,310.39,49.23,259.74
UD0006,0.0,66.53,259.65
