X,Y,Z
7300.0,14300.0,881.0
7320.0,14300.0,880.7
7340.0,14300.0,880.5
7360.0,14300.0,880.3
7380.0,14300.0,880.1
7400.0,14300.0,879.9
7420.0,14300.0,879.8
7440.0,14300.0,879.6
7460.0,14300.0,879.5
7480.0,14300.0,879.4
7500.0,14300.0,879.4
7520.0,14300.0,879.4
7540.0,14300.0,879.4
7560.0,14300.0,879.4
7580.0,14300.0,879.4
7600.0,14300.0,879.4
7620.0,14300.0,879.5
7640.0,14300.0,879.6
7660.0,14300.0,879.6
7680.0,14300.0,879.7
7700.0,14300.0,879.7
7720.0,14300.0,879.8
7740.0,14300.0,879.8
7760.0,14300.0,879.8
7780.0,14300.0,879.9
7800.0,14300.0,879.9
7820.0,14300.0,879.9
7840.0,14300.0,880.0
7860.0,14300.0,880.0
7880.0,14300.0,880.1
7900.0,14300.0,880.1
7920.0,14300.0,880.2
7940.0,14300.0,880.3
7960.0,14300.0,880.3
7980.0,14300.0,880.4
8000.0,14300.0,880.4
8020.0,14300.0,880.4
8040.0,14300.0,880.4
8060.0,14300.0,880.3
8080.0,14300.0,880.2
8100.0,14300.0,880.1
8120.0,14300.0,879.8
8140.0,14300.0,879.5
8160.0,14300.0,879.1
8180.0,14300.0,878.6
8200.0,14300.0,878.1
8220.0,14300.0,877.5
8240.0,14300.0,876.8
8260.0,14300.0,876.1
8280.0,14300.0,875.3
8300.0,14300.0,874.6
8320.0,14300.0,873.9
8340.0,14300.0,873.2
8360.0,14300.0,872.5
8380.0,14300.0,872.0
8400.0,14300.0,871.6
8420.0,14300.0,871.3
8440.0,14300.0,871.2
8460.0,14300.0,871.2
8480.0,14300.0,871.4
8500.0,14300.0,871.9
8520.0,14300.0,872.5
8540.0,14300.0,873.3
8560.0,14300.0,874.2
8580.0,14300.0,875.3
8600.0,14300.0,876.5
8620.0,14300.0,877.8
8640.0,14300.0,879.1
8660.0,14300.0,880.4
8680.0,14300.0,881.7
8700.0,14300.0,882.9
7300.0,14320.0,881.4
7320.0,14320.0,881.1
7340.0,14320.0,880.8
7360.0,14320.0,880.5
7380.0,14320.0,880.2
7400.0,14320.0,879.9
7420.0,14320.0,879.7
7440.0,14320.0,879.4
7460.0,14320.0,879.2
7480.0,14320.0,879.1
7500.0,14320.0,878.9
7520.0,14320.0,878.8
7540.0,14320.0,878.7
7560.0,14320.0,878.7
7580.0,14320.0,878.6
7600.0,14320.0,878.6
7620.0,14320.0,878.6
7640.0,14320.0,878.5
7660.0,14320.0,878.5
7680.0,14320.0,878.5
7700.0,14320.0,878.4
7720.0,14320.0,878.4
7740.0,14320.0,878.3
7760.0,14320.0,878.3
7780.0,14320.0,878.3
7800.0,14320.0,878.2
7820.0,14320.0,878.2
7840.0,14320.0,878.2
7860.0,14320.0,878.2
7880.0,14320.0,878.3
7900.0,14320.0,878.3
7920.0,14320.0,878.4
7940.0,14320.0,878.5
7960.0,14320.0,878.7
7980.0,14320.0,878.8
8000.0,14320.0,879.0
8020.0,14320.0,879.1
8040.0,14320.0,879.2
8060.0,14320.0,879.3
8080.0,14320.0,879.4
8100.0,14320.0,879.4
8120.0,14320.0,879.3
8140.0,14320.0,879.2
8160.0,14320.0,879.0
8180.0,14320.0,878.7
8200.0,14320.0,878.3
8220.0,14320.0,877.9
8240.0,14320.0,877.3
8260.0,14320.0,876.7
8280.0,14320.0,876.1
8300.0,14320.0,875.4
8320.0,14320.0,874.8
8340.0,14320.0,874.1
8360.0,14320.0,873.5
8380.0,14320.0,873.0
8400.0,14320.0,872.5
8420.0,14320.0,872.2
8440.0,14320.0,872.1
8460.0,14320.0,872.1
8480.0,14320.0,872.3
8500.0,14320.0,872.6
8520.0,14320.0,873.2
8540.0,14320.0,873.9
8560.0,14320.0,874.8
8580.0,14320.0,875.9
8600.0,14320.0,877.1
8620.0,14320.0,878.3
8640.0,14320.0,879.6
8660.0,14320.0,881.0
8680.0,14320.0,882.2
8700.0,14320.0,883.4
7300.0,14340.0,882.2
7320.0,14340.0,881.8
7340.0,14340.0,881.4
7360.0,14340.0,881.1
7380.0,14340.0,880.7
7400.0,14340.0,880.3
7420.0,14340.0,880.0
7440.0,14340.0,879.6
7460.0,14340.0,879.4
7480.0,14340.0,879.1
7500.0,14340.0,878.9
7520.0,14340.0,878.7
7540.0,14340.0,878.5
7560.0,14340.0,878.4
7580.0,14340.0,878.2
7600.0,14340.0,878.1
7620.0,14340.0,878.0
7640.0,14340.0,877.9
7660.0,14340.0,877.7
7680.0,14340.0,877.6
7700.0,14340.0,877.5
7720.0,14340.0,877.4
7740.0,14340.0,877.3
7760.0,14340.0,877.1
7780.0,14340.0,877.0
7800.0,14340.0,876.9
7820.0,14340.0,876.9
7840.0,14340.0,876.8
