WELL,X,Y,TOP_DEPTH_M,TWT_MS,THICKNESS_M,POROSITY_PCT,AI_NORM,PHIH_M
W01,5645.0,5103.0,-4014.9,3423.7,69.8,10.99,-0.156,7.671
W02,5756.0,4224.0,-4018.8,3414.4,67.8,7.42,-0.098,5.031
W03,6502.0,4592.0,-4019.1,3416.1,71.8,10.42,0.54,7.482
W04,5533.0,3789.0,-4039.0,3424.2,71.0,,0.244,
W05,5918.0,5045.0,-4012.5,3418.2,71.0,10.84,-0.858,7.696
W06,5612.0,4770.0,-4013.3,3416.8,70.0,10.48,-0.223,7.336
W07,6632.0,4854.0,-4020.6,3420.7,71.2,,0.687,
W08,5012.0,4455.0,-4023.5,3429.7,67.1,9.36,-0.06,6.281
W09,6142.0,5529.0,-4031.1,3438.2,70.1,9.66,-0.643,6.772
W10,6806.0,4594.0,-4027.6,3423.1,67.6,7.02,1.114,4.746
W11,6147.0,5096.0,-4015.9,3422.9,70.4,9.24,-0.375,6.505
W12,5450.0,4908.0,-4015.1,3425.3,72.2,13.02,-0.089,9.4
W13,7273.0,4525.0,-4042.4,3435.4,63.0,,1.217,
W14,5989.0,4456.0,-4014.2,3413.0,67.9,7.61,-0.32,5.167
W15,7261.0,4623.0,-4041.4,3441.3,65.8,6.48,1.395,4.264
W16,5978.0,3585.0,-4046.8,3430.8,67.0,6.66,0.561,4.462
W17,6529.0,5248.0,-4023.6,3426.5,73.1,9.22,-0.273,6.74
W18,5750.0,5299.0,-4020.8,3431.0,71.1,12.21,-0.383,8.681
W19,6073.0,5154.0,-4016.5,3426.1,70.5,9.77,-0.728,6.888
W20,4970.0,4845.0,-4024.1,3436.0,68.5,10.68,0.132,7.316
W21,5431.0,4566.0,-4014.0,3419.5,70.8,11.11,0.235,7.866
W22,7122.0,4844.0,-4034.5,3434.1,70.4,7.93,1.156,5.583
W23,5842.0,4766.0,-4010.7,3416.0,71.5,11.13,-0.151,7.958
W24,6034.0,5232.0,-4017.7,3426.0,70.6,10.21,-0.65,7.208
W25,7120.0,4603.0,-4036.7,3432.6,65.0,5.47,1.807,3.556
W26,5724.0,5583.0,-4033.7,3445.6,67.6,10.26,-0.23,6.936
W27,6403.0,4900.0,-4015.3,3414.8,70.8,8.65,-0.117,6.124
W28,5756.0,4662.0,-4010.2,3417.5,70.9,10.69,-0.22,7.579
W29,5822.0,4522.0,-4012.6,3415.7,70.0,9.63,0.209,6.741
W30,5546.0,4498.0,-4013.8,3418.8,70.3,10.31,0.027,7.248
W31,6987.0,5056.0,-4032.3,3432.0,73.0,8.39,0.753,6.125
W32,6045.0,4244.0,-4020.4,3410.2,67.2,7.12,0.026,4.785
W33,5416.0,4547.0,-4015.6,3418.4,70.4,10.8,0.232,7.603
W34,4522.0,5160.0,-4045.2,3462.6,68.5,,0.024,
W35,5899.0,4408.0,-4015.0,3413.1,67.7,7.5,0.306,5.078
W36,7170.0,4241.0,-4046.3,3434.8,62.1,6.54,1.175,4.061
W37,6385.0,5280.0,-4022.6,3429.2,73.7,10.63,-0.355,7.834
W38,5714.0,5081.0,-4015.9,3423.5,70.8,,-0.116,
W39,2437.0,2734.0,-4101.3,3465.9,61.4,5.95,1.542,3.653
W40,1954.0,1999.0,-4098.4,3447.1,65.9,3.59,1.538,2.366
W41,5594.0,3911.0,-4030.6,3423.5,71.2,9.74,0.385,6.935
W42,9218.0,654.0,-4107.5,3522.1,48.7,9.47,0.16,4.612
W43,5101.0,6865.0,-4099.6,3507.3,64.8,10.4,-0.937,6.739
W44,3095.0,8699.0,-4110.5,3509.6,62.0,9.22,0.223,5.716
W45,6396.0,3746.0,-4041.1,3427.5,63.9,6.67,0.618,4.262
W46,1808.0,8065.0,-4140.8,3531.3,63.6,10.92,-0.486,6.945
W47,3071.0,2328.0,-4112.0,3478.3,60.6,7.05,0.522,4.272
W48,8513.0,6859.0,-4141.7,3533.0,66.2,,-0.172,
W49,4304.0,2961.0,-4091.9,3467.0,57.0,8.54,-0.504,4.868
W50,5379.0,9509.0,-4106.7,3490.2,66.1,9.85,2.04,6.511
W51,3867.0,5322.0,-4074.5,3490.4,68.7,10.35,-0.099,7.11
W52,3091.0,7022.0,-4111.5,3526.7,66.3,8.93,0.295,5.921
W53,2920.0,5857.0,-4112.9,3525.8,66.8,8.94,-0.381,5.972
W54,4925.0,2106.0,-4115.1,3493.5,61.8,,-0.544,
W55,7408.0,2130.0,-4100.2,3475.6,51.7,7.41,0.876,3.831
