WELL,MD,X,Y,Z,GR,RHOB,NPHI,DT,RT,PHIE,SW,VSH,ZONE
WELL-01,1737.0,9915.22,9904.26,-1711.91,109.4,2.529,,,2.154,,,,OVERBURDEN
WELL-01,1737.5,9915.22,9904.26,-1712.41,109.1,2.54,,,2.32,,,,OVERBURDEN
WELL-01,1738.0,9915.21,9904.25,-1712.91,104.5,2.528,,,2.45,,,,OVERBURDEN
WELL-01,1738.5,9915.21,9904.25,-1713.41,116.2,2.547,,,2.075,,,,OVERBURDEN
WELL-01,1739.0,9915.21,9904.24,-1713.91,106.5,2.539,,,2.441,,,,OVERBURDEN
WELL-01,1739.5,9915.21,9904.24,-1714.41,109.7,2.556,,,2.232,,,,OVERBURDEN
WELL-01,1740.0,9915.21,9904.23,-1714.91,123.6,2.542,,,2.291,,,,OVERBURDEN
WELL-01,1740.5,9915.2,9904.23,-1715.41,111.6,2.531,,,2.002,,,,OVERBURDEN
WELL-01,1741.0,9915.2,9904.22,-1715.91,116.2,2.527,,,2.241,,,,OVERBURDEN
WELL-01,1741.5,9915.2,9904.22,-1716.41,104.9,2.547,,,2.476,,,,OVERBURDEN
WELL-01,1742.0,9915.2,9904.21,-1716.91,107.7,2.546,,,2.429,,,,OVERBURDEN
WELL-01,1742.5,9915.2,9904.21,-1717.41,104.1,2.56,,,2.4,,,,OVERBURDEN
WELL-01,1743.0,9915.19,9904.2,-1717.91,102.3,2.544,,,2.328,,,,OVERBURDEN
WELL-01,1743.5,9915.19,9904.2,-1718.41,96.4,2.549,,,2.278,,,,OVERBURDEN
WELL-01,1744.0,9915.19,9904.19,-1718.9,103.8,2.521,,,2.337,,,,OVERBURDEN
WELL-01,1744.5,9915.19,9904.19,-1719.4,109.7,2.55,,,2.481,,,,OVERBURDEN
WELL-01,1745.0,9915.19,9904.18,-1719.9,105.5,2.539,,,2.231,,,,OVERBURDEN
WELL-01,1745.5,9915.18,9904.18,-1720.4,103.1,2.548,,,2.478,,,,OVERBURDEN
WELL-01,1746.0,9915.18,9904.17,-1720.9,98.6,2.526,,,2.386,,,,OVERBURDEN
WELL-01,1746.5,9915.18,9904.17,-1721.4,104.0,2.529,,,2.432,,,,OVERBURDEN
WELL-01,1747.0,9915.18,9904.17,-1721.9,100.7,2.531,,,2.207,,,,OVERBURDEN
WELL-01,1747.5,9915.18,9904.16,-1722.4,105.4,2.555,,,2.442,,,,OVERBURDEN
WELL-01,1748.0,9915.17,9904.16,-1722.9,103.3,2.552,,,2.382,,,,OVERBURDEN
WELL-01,1748.5,9915.17,9904.15,-1723.4,109.0,2.515,,,2.397,,,,OVERBURDEN
WELL-01,1749.0,9915.17,9904.15,-1723.9,113.8,2.546,,,2.264,,,,OVERBURDEN
WELL-01,1749.5,9915.17,9904.14,-1724.4,118.1,2.551,,,2.312,,,,OVERBURDEN
WELL-01,1750.0,9915.17,9904.14,-1724.9,114.7,2.526,,,2.104,,,,OVERBURDEN
WELL-01,1750.5,9915.16,9904.13,-1725.4,111.3,2.544,,,2.313,,,,OVERBURDEN
WELL-01,1751.0,9915.16,9904.13,-1725.9,105.2,2.551,,,2.332,,,,OVERBURDEN
WELL-01,1751.5,9915.16,9904.12,-1726.4,110.9,2.541,,,2.533,,,,OVERBURDEN
WELL-01,1752.0,9915.16,9904.12,-1726.9,116.5,2.55,,,2.213,,,,OVERBURDEN
WELL-01,1752.5,9915.16,9904.11,-1727.4,109.8,2.507,,,2.295,,,,OVERBURDEN
WELL-01,1753.0,9915.15,9904.11,-1727.9,117.9,2.528,,,2.159,,,,OVERBURDEN
WELL-01,1753.5,9915.15,9904.1,-1728.4,120.2,2.537,,,1.95,,,,OVERBURDEN
WELL-01,1754.0,9915.15,9904.1,-1728.9,116.2,2.537,,,2.292,,,,OVERBURDEN
WELL-01,1754.5,9915.15,9904.09,-1729.4,120.7,2.557,,,2.129,,,,OVERBURDEN
