X,Y,Z
0.0,0.0,-2727.4
100.0,0.0,-2739.2
200.0,0.0,-2743.3
300.0,0.0,-2737.4
400.0,0.0,-2743.6
500.0,0.0,-2747.5
600.0,0.0,-2744.9
700.0,0.0,-2752.1
800.0,0.0,-2755.3
900.0,0.0,-2750.4
1000.0,0.0,-2750.5
1100.0,0.0,-2749.1
1200.0,0.0,-2753.5
1300.0,0.0,-2755.2
1400.0,0.0,-2748.7
1500.0,0.0,-2749.8
1600.0,0.0,-2752.1
1700.0,0.0,-2743.4
1800.0,0.0,-2748.1
1900.0,0.0,-2740.2
2000.0,0.0,-2732.7
2100.0,0.0,-2729.6
2200.0,0.0,-2725.0
2300.0,0.0,-2723.5
2400.0,0.0,-2717.3
2500.0,0.0,-2706.4
2600.0,0.0,-2706.5
2700.0,0.0,-2700.5
2800.0,0.0,-2696.7
2900.0,0.0,-2691.0
3000.0,0.0,-2683.4
3100.0,0.0,-2672.2
3200.0,0.0,-2667.2
3300.0,0.0,-2657.1
3400.0,0.0,-2654.8
3500.0,0.0,-2649.6
3600.0,0.0,-2646.0
3700.0,0.0,-2639.4
3800.0,0.0,-2634.3
3900.0,0.0,-2634.1
4000.0,0.0,-2630.6
4100.0,0.0,-2632.7
4200.0,0.0,-2629.1
4300.0,0.0,-2624.3
4400.0,0.0,-2628.0
4500.0,0.0,-2622.9
4600.0,0.0,-2630.6
4700.0,0.0,-2623.9
4800.0,0.0,-2630.9
4900.0,0.0,-2627.5
5000.0,0.0,-2630.2
5100.0,0.0,-2633.8
5200.0,0.0,-2637.8
5300.0,0.0,-2639.1
5400.0,0.0,-2641.4
5500.0,0.0,-2648.6
5600.0,0.0,-2648.5
5700.0,0.0,-2658.5
5800.0,0.0,-2657.2
5900.0,0.0,-2658.4
6000.0,0.0,-2662.7
6100.0,0.0,-2663.1
6200.0,0.0,-2663.3
6300.0,0.0,-2668.3
6400.0,0.0,-2670.8
6500.0,0.0,-2669.5
6600.0,0.0,-2670.1
6700.0,0.0,-2668.6
6800.0,0.0,-2675.4
6900.0,0.0,-2675.0
7000.0,0.0,-2667.2
7100.0,0.0,-2666.7
7200.0,0.0,-2672.0
7300.0,0.0,-2670.3
7400.0,0.0,-2660.5
7500.0,0.0,-2663.7
7600.0,0.0,-2655.8
7700.0,0.0,-2657.3
7800.0,0.0,-2649.2
7900.0,0.0,-2649.0
8000.0,0.0,-2646.6
8100.0,0.0,-2646.3
8200.0,0.0,-2643.0
8300.0,0.0,-2638.8
8400.0,0.0,-2640.7
8500.0,0.0,-2639.3
8600.0,0.0,-2640.7
8700.0,0.0,-2638.2
8800.0,0.0,-2637.9
8900.0,0.0,-2642.6
9000.0,0.0,-2638.8
9100.0,0.0,-2635.1
9200.0,0.0,-2641.8
9300.0,0.0,-2639.2
9400.0,0.0,-2646.8
9500.0,0.0,-2647.3
9600.0,0.0,-2650.6
9700.0,0.0,-2648.5
9800.0,0.0,-2652.4
9900.0,0.0,-2659.8
10000.0,0.0,-2661.1
10100.0,0.0,-2667.4
10200.0,0.0,-2667.0
10300.0,0.0,-2669.0
10400.0,0.0,-2676.3
10500.0,0.0,-2675.7
10600.0,0.0,-2675.1
10700.0,0.0,-2668.5
10800.0,0.0,-2680.8
10900.0,0.0,-2679.5
11000.0,0.0,-2682.0
11100.0,0.0,-2688.8
11200.0,0.0,-2678.9
11300.0,0.0,-2685.8
11400.0,0.0,-2678.7
11500.0,0.0,-2683.0
11600.0,0.0,-2685.7
11700.0,0.0,-2686.3
11800.0,0.0,-2686.6
11900.0,0.0,-2680.8
12000.0,0.0,-2691.2
12100.0,0.0,-2689.0
12200.0,0.0,-2682.1
12300.0,0.0,-2678.9
12400.0,0.0,-2688.8
12500.0,0.0,-2674.3
12600.0,0.0,-2680.0
12700.0,0.0,-2680.1
12800.0,0.0,-2682.8
12900.0,0.0,-2680.5
13000.0,0.0,-2679.3
13100.0,0.0,-2680.4
13200.0,0.0,-2674.1
13300.0,0.0,-2678.7
13400.0,0.0,-2673.3
13500.0,0.0,-2676.0
13600.0,0.0,-2673.2
13700.0,0.0,-2666.3
13800.0,0.0,-2666.0
13900.0,0.0,-2670.2
14000.0,0.0,-2669.3
14100.0,0.0,-2664.2
14200.0,0.0,-2665.0
14300.0,0.0,-2662.1
14400.0,0.0,-2660.2
14500.0,0.0,-2659.4
14600.0,0.0,-2658.0
14700.0,0.0,-2647.3
14800.0,0.0,-2648.6
14900.0,0.0,-2643.4
15000.0,0.0,-2636.9
15100.0,0.0,-2631.8
15200.0,0.0,-2633.3
15300.0,0.0,-2628.6
15400.0,0.0,-2631.3
15500.0,0.0,-2619.3
15600.0,0.0,-2621.4
15700.0,0.0,-2616.8
15800.0,0.0,-2613.3
15900.0,0.0,-2609.1
16000.0,0.0,-2605.7
16100.0,0.0,-2604.2
16200.0,0.0,-2602.7
16300.0,0.0,-2605.6
16400.0,0.0,-2601.7
16500.0,0.0,-2596.1
16600.0,0.0,-2591.8
16700.0,0.0,-2596.0
16800.0,0.0,-2591.9
16900.0,0.0,-2587.3
17000.0,0.0,-2586.7
17100.0,0.0,-2586.9
17200.0,0.0,-2591.1
17300.0,0.0,-2582.5
17400.0,0.0,-2582.1
17500.0,0.0,-2578.6
17600.0,0.0,-2578.7
17700.0,0.0,-2583.9
17800.0,0.0,-2576.0
17900.0,0.0,-2571.3
18000.0,0.0,-2572.3
18100.0,0.0,-2569.6
18200.0,0.0,-2566.7
18300.0,0.0,-2562.0
18400.0,0.0,-2560.6
18500.0,0.0,-2559.8
18600.0,0.0,-2557.1
18700.0,0.0,-2557.7
18800.0,0.0,-2549.9
18900.0,0.0,-2549.7
19000.0,0.0,-2550.6
19100.0,0.0,-2546.0
19200.0,0.0,-2542.2
19300.0,0.0,-2545.3
19400.0,0.0,-2541.5
19500.0,0.0,-2541.2
19600.0,0.0,-2539.8
19700.0,0.0,-2545.1
19800.0,0.0,-2544.3
19900.0,0.0,-2550.3
20000.0,0.0,-2563.2
0.0,100.0,-2732.8
100.0,100.0,-2733.6
200.0,100.0,-2744.8
300.0,100.0,-2740.0
400.0,100.0,-2743.3
500.0,100.0,-2746.7
600.0,100.0,-2752.1
700.0,100.0,-2748.2
800.0,100.0,-2751.7
900.0,100.0,-2754.7
1000.0,100.0,-2755.7
1100.0,100.0,-2759.4
1200.0,100.0,-2754.4
1300.0,100.0,-2750.1
1400.0,100.0,-2751.1
1500.0,100.0,-2748.1
1600.0,100.0,-2753.9
1700.0,100.0,-2744.8
1800.0,100.0,-2743.3
1900.0,100.0,-2747.5
2000.0,100.0,-2741.8
2100.0,100.0,-2731.3
2200.0,100.0,-2728.2
2300.0,100.0,-2720.7
2400.0,100.0,-2717.9
2500.0,100.0,-2713.9
2600.0,100.0,-2707.5
2700.0,100.0,-2701.8
2800.0,100.0,-2699.7
2900.0,100.0,-2692.7
3000.0,100.0,-2684.9
3100.0,100.0,-2675.0
3200.0,100.0,-2667.3
3300.0,100.0,-2662.8
3400.0,100.0,-2660.9
3500.0,100.0,-2655.3
3600.0,100.0,-2647.6
3700.0,100.0,-2649.6
3800.0,100.0,-2643.0
