WELL,SURFACE,MD,X,Y,Z
WELL-01,TOP_CHALK,1855.0,9914.74,9903.12,-1829.9
WELL-01,TOP_SEAL_SHALE,2227.3,9913.31,9899.78,-2202.18
WELL-01,TOP_SAND_A,2400.9,9912.74,9898.52,-2375.78
WELL-01,TOP_INTRA_SHALE,2457.1,9912.58,9898.18,-2431.97
WELL-01,TOP_SAND_B,2499.7,9912.43,9897.87,-2474.57
WELL-01,TOP_BASE_SHALE,2564.9,9912.21,9897.39,-2539.77
WELL-02,TOP_CHALK,2327.9,5332.0,8186.75,-1991.48
WELL-02,TOP_SEAL_SHALE,2909.1,5117.9,8530.11,-2408.67
WELL-02,TOP_SAND_A,3139.4,5031.09,8665.17,-2573.78
WELL-02,TOP_INTRA_SHALE,3217.5,5001.21,8710.77,-2629.7
WELL-02,TOP_SAND_B,3241.1,4992.08,8724.48,-2646.6
WELL-02,TOP_BASE_SHALE,3375.4,4938.96,8801.71,-2742.77
WELL-03,TOP_CHALK,1965.1,9591.85,9684.98,-1840.09
WELL-03,TOP_SEAL_SHALE,2447.9,9904.45,9724.82,-2205.86
WELL-03,TOP_SAND_A,2674.9,10052.33,9742.2,-2377.2
WELL-03,TOP_INTRA_SHALE,2749.1,10100.77,9748.02,-2433.11
WELL-03,TOP_SAND_B,2810.3,10140.76,9753.05,-2479.16
WELL-03,TOP_BASE_SHALE,2898.0,10198.07,9759.96,-2545.19
WELL-04,TOP_CHALK,2029.2,4755.28,11619.94,-2004.19
WELL-04,TOP_SEAL_SHALE,2409.0,4751.9,11618.93,-2383.97
WELL-04,TOP_SAND_A,2562.7,4750.02,11618.37,-2537.66
WELL-04,TOP_INTRA_SHALE,2624.6,4749.34,11618.16,-2599.56
WELL-04,TOP_SAND_B,2631.4,4749.27,11618.14,-2606.36
WELL-04,TOP_BASE_SHALE,2730.2,4748.29,11617.84,-2705.15
WELL-05,TOP_CHALK,2205.9,9521.8,6052.06,-2018.51
WELL-05,TOP_SEAL_SHALE,2616.0,9390.42,6116.22,-2397.47
WELL-05,TOP_SAND_A,2758.9,9377.3,6122.57,-2539.62
WELL-05,TOP_INTRA_SHALE,2838.7,9370.42,6125.91,-2619.05
WELL-05,TOP_SAND_B,2895.2,9365.54,6128.3,-2675.29
WELL-05,TOP_BASE_SHALE,2947.2,9361.0,6130.53,-2727.04
WELL-06,TOP_CHALK,1987.2,14304.61,6744.01,-1962.17
WELL-06,TOP_SEAL_SHALE,2456.9,14307.67,6743.58,-2431.86
WELL-06,TOP_SAND_A,2590.9,14309.32,6743.35,-2565.85
WELL-06,TOP_INTRA_SHALE,2657.4,14310.11,6743.24,-2632.34
WELL-06,TOP_SAND_B,2686.4,14310.45,6743.2,-2661.34
WELL-06,TOP_BASE_SHALE,2757.5,14311.28,6743.08,-2732.44
WELL-07,TOP_CHALK,2008.0,7603.03,14469.39,-1982.99
WELL-07,TOP_SEAL_SHALE,2389.0,7603.31,14468.55,-2363.99
WELL-07,TOP_SAND_A,2544.1,7603.37,14468.37,-2519.09
WELL-07,TOP_INTRA_SHALE,2588.4,7603.39,14468.31,-2563.39
WELL-07,TOP_SAND_B,2615.0,7603.4,14468.28,-2589.99
WELL-07,TOP_BASE_SHALE,2718.0,7603.41,14468.22,-2692.99
WELL-08,TOP_CHALK,2147.5,10242.24,15680.15,-1977.72
WELL-08,TOP_SEAL_SHALE,2887.9,10642.51,16047.6,-2480.63
WELL-08,TOP_SAND_A,3125.9,10771.91,16165.31,-2642.0
WELL-08,TOP_INTRA_SHALE,3209.8,10818.18,16206.23,-2698.78
WELL-08,TOP_SAND_B,3242.6,10836.27,16222.19,-2721.0
WELL-08,TOP_BASE_SHALE,3395.9,10921.08,16296.69,-2824.73
WELL-09,TOP_CHALK,2214.1,5882.44,4497.42,-2111.21
WELL-09,TOP_SEAL_SHALE,2685.1,5759.26,4555.2,-2556.77
WELL-09,TOP_SAND_A,2843.1,5745.85,4561.61,-2714.07
WELL-09,TOP_INTRA_SHALE,2910.6,5740.21,4564.26,-2781.28
WELL-09,TOP_SAND_B,2962.4,5735.91,4566.26,-2832.86
WELL-09,TOP_BASE_SHALE,3042.8,5729.25,4569.25,-2912.93
WELL-10,TOP_CHALK,2213.3,5706.98,10166.58,-1951.83
WELL-10,TOP_SEAL_SHALE,2629.3,5663.93,10149.63,-2364.9
WELL-10,TOP_SAND_A,2781.6,5651.43,10144.74,-2516.61
WELL-10,TOP_INTRA_SHALE,2839.6,5646.61,10142.86,-2574.37
WELL-10,TOP_SAND_B,2851.8,5645.59,10142.46,-2586.53
WELL-10,TOP_BASE_SHALE,2948.5,5637.45,10139.32,-2682.83
WELL-11,TOP_CHALK,2135.2,6770.92,14941.88,-2026.57
WELL-11,TOP_SEAL_SHALE,2557.7,6893.42,14767.22,-2391.23
WELL-11,TOP_SAND_A,2722.1,6943.92,14700.92,-2532.94
WELL-11,TOP_INTRA_SHALE,2769.0,6958.34,14682.09,-2573.4
WELL-11,TOP_SAND_B,2800.6,6968.04,14669.39,-2600.66
WELL-11,TOP_BASE_SHALE,2927.5,7006.75,14618.11,-2710.09
WELL-12,TOP_CHALK,2038.0,15995.0,14582.88,-2012.98
WELL-12,TOP_SEAL_SHALE,2424.7,15997.1,14585.59,-2399.67
WELL-12,TOP_SAND_A,2578.3,15997.95,14586.67,-2553.26
WELL-12,TOP_INTRA_SHALE,2632.4,15998.22,14587.0,-2607.36
WELL-12,TOP_SAND_B,2674.5,15998.44,14587.27,-2649.46
WELL-12,TOP_BASE_SHALE,2760.4,15998.86,14587.81,-2735.36
WELL-13,TOP_CHALK,2306.2,13098.03,15437.5,-2003.74
WELL-13,TOP_SEAL_SHALE,2931.6,13479.41,15610.58,-2468.18
WELL-13,TOP_SAND_A,3113.7,13590.63,15661.51,-2603.07
WELL-13,TOP_INTRA_SHALE,3199.1,13642.58,15685.83,-2666.34
