WELL,MD,INCLINATION,AZIMUTH
WELL-01,0.0,0.05,199.07
WELL-01,30.0,0.15,198.85
WELL-01,60.0,0.21,199.04
WELL-01,90.0,0.27,199.32
WELL-01,120.0,0.34,199.15
WELL-01,150.0,0.33,199.07
WELL-01,180.0,0.39,199.02
WELL-01,210.0,0.37,199.22
WELL-01,240.0,0.44,198.98
WELL-01,270.0,0.45,199.28
WELL-01,300.0,0.48,199.73
WELL-01,330.0,0.51,200.13
WELL-01,360.0,0.51,200.05
WELL-01,390.0,0.54,200.18
WELL-01,420.0,0.56,200.32
WELL-01,450.0,0.51,200.14
WELL-01,480.0,0.53,200.0
WELL-01,510.0,0.55,200.12
WELL-01,540.0,0.55,200.44
WELL-01,570.0,0.54,200.2
WELL-01,600.0,0.59,199.98
WELL-01,630.0,0.54,200.23
WELL-01,660.0,0.58,200.26
WELL-01,690.0,0.58,200.15
WELL-01,720.0,0.59,200.11
WELL-01,750.0,0.53,200.68
WELL-01,780.0,0.51,200.61
WELL-01,810.0,0.6,200.01
WELL-01,840.0,0.68,199.97
WELL-01,870.0,0.7,199.29
WELL-01,900.0,0.73,199.02
WELL-01,930.0,0.68,199.32
WELL-01,960.0,0.71,199.76
WELL-01,990.0,0.72,199.56
WELL-01,1020.0,0.81,199.84
WELL-01,1050.0,0.75,200.31
WELL-01,1080.0,0.71,200.47
WELL-01,1110.0,0.63,200.69
WELL-01,1140.0,0.58,200.82
WELL-01,1170.0,0.65,201.36
WELL-01,1200.0,0.64,201.17
WELL-01,1230.0,0.66,201.5
WELL-01,1260.0,0.63,201.97
WELL-01,1290.0,0.64,201.94
WELL-01,1320.0,0.67,202.34
WELL-01,1350.0,0.6,202.62
WELL-01,1380.0,0.63,202.15
WELL-01,1410.0,0.74,202.58
WELL-01,1440.0,0.73,202.68
WELL-01,1470.0,0.72,202.49
WELL-01,1500.0,0.76,202.19
WELL-01,1530.0,0.73,202.27
WELL-01,1560.0,0.64,202.62
WELL-01,1590.0,0.65,202.53
WELL-01,1620.0,0.67,202.57
WELL-01,1650.0,0.73,202.5
WELL-01,1680.0,0.72,202.81
WELL-01,1710.0,0.67,202.59
WELL-01,1740.0,0.58,202.92
WELL-01,1770.0,0.62,202.55
WELL-01,1800.0,0.61,202.65
WELL-01,1830.0,0.58,202.85
WELL-01,1860.0,0.63,202.99
WELL-01,1890.0,0.68,202.95
WELL-01,1920.0,0.61,202.75
WELL-01,1950.0,0.55,202.55
WELL-01,1980.0,0.55,202.33
WELL-01,2010.0,0.56,202.63
WELL-01,2040.0,0.52,202.73
WELL-01,2070.0,0.54,203.16
WELL-01,2100.0,0.54,203.45
WELL-01,2130.0,0.5,203.37
WELL-01,2160.0,0.52,203.53
WELL-01,2190.0,0.55,203.94
WELL-01,2220.0,0.54,204.16
WELL-01,2250.0,0.55,204.38
WELL-01,2280.0,0.54,204.4
WELL-01,2310.0,0.5,204.87
WELL-01,2340.0,0.4,204.88
WELL-01,2370.0,0.33,204.96
WELL-01,2400.0,0.35,205.02
WELL-01,2430.0,0.38,205.61
WELL-01,2460.0,0.45,204.98
WELL-01,2490.0,0.46,205.04
WELL-01,2520.0,0.49,205.24
WELL-01,2550.0,0.44,205.36
WELL-01,2580.0,0.47,204.79
WELL-01,2610.0,0.47,204.96
WELL-01,2640.0,0.48,204.64
WELL-01,2670.0,0.42,205.08
WELL-02,0.0,0.01,330.47
WELL-02,30.0,0.02,330.34
WELL-02,60.0,0.05,330.01
WELL-02,90.0,0.03,329.75
WELL-02,120.0,0.07,330.23
WELL-02,150.0,0.03,330.23
WELL-02,180.0,0.08,330.51
WELL-02,210.0,0.07,330.39
WELL-02,240.0,0.09,330.41
WELL-02,270.0,0.17,330.09
WELL-02,300.0,0.19,330.3
WELL-02,330.0,0.18,329.89
WELL-02,360.0,0.18,329.65
WELL-02,390.0,0.2,329.69
WELL-02,420.0,0.06,329.18
WELL-02,450.0,0.14,328.96
WELL-02,480.0,0.07,328.6
WELL-02,510.0,0.09,328.54
WELL-02,540.0,0.1,328.27
WELL-02,570.0,0.24,328.4
WELL-02,600.0,0.16,328.72
WELL-02,630.0,0.24,328.79
WELL-02,660.0,0.14,328.44
WELL-02,690.0,0.23,328.61
WELL-02,720.0,0.28,328.22
WELL-02,750.0,0.19,327.93
WELL-02,780.0,0.18,328.25
WELL-02,810.0,0.14,328.21
WELL-02,840.0,1.42,328.44
WELL-02,870.0,3.57,328.31
WELL-02,900.0,5.65,328.06
