WELL,X,Y,KB,TD_MD,PROFILE
WELL-01,9921.47,9920.69,25.0,2670.0,VERTICAL
WELL-02,5778.84,7464.08,25.0,3630.0,J
WELL-03,9266.97,9639.62,25.0,3120.0,J
WELL-04,4759.39,11621.44,25.0,2880.0,VERTICAL
WELL-05,9977.42,5841.49,25.0,3090.0,S
WELL-06,14295.16,6745.47,25.0,2910.0,VERTICAL
WELL-07,7601.43,14474.66,25.0,2880.0,VERTICAL
WELL-08,9944.43,15397.04,25.0,3450.0,J
WELL-09,6183.41,4359.36,25.0,3180.0,S
WELL-10,6363.37,10430.48,25.0,3090.0,S
WELL-11,6579.79,15232.05,25.0,3180.0,J
WELL-12,15991.18,14577.58,25.0,2910.0,VERTICAL
WELL-13,12367.82,15112.94,25.0,3540.0,J
WELL-14,7118.7,4881.11,25.0,3540.0,J
WELL-15,12741.28,4431.14,25.0,3000.0,VERTICAL
WELL-16,15513.66,8056.64,25.0,3180.0,J
WELL-17,13093.72,13590.07,25.0,3300.0,J
WELL-18,13540.86,4537.11,25.0,3330.0,J
WELL-19,13005.22,9101.78,25.0,2760.0,VERTICAL
WELL-20,7218.86,8176.07,25.0,3360.0,J
WELL-21,4571.08,5097.8,25.0,3090.0,S
WELL-22,12259.1,10135.92,25.0,2730.0,VERTICAL
