WELL,MD_FROM,MD_TO,X,Y,Z,UNIT,FACIES,FACIES_NAME
F01,1494.4,1494.6,784.52,1893.88,-1482.06,UPPER,2,SAND_SHALY
F01,1494.6,1494.8,784.52,1893.85,-1482.25,UPPER,2,SAND_SHALY
F01,1494.8,1495.0,784.53,1893.82,-1482.45,UPPER,1,SAND_CLEAN
F01,1495.0,1495.2,784.54,1893.78,-1482.65,UPPER,1,SAND_CLEAN
F01,1495.2,1495.4,784.55,1893.75,-1482.85,UPPER,5,CEMENTED
F01,1495.4,1495.6,784.55,1893.72,-1483.04,UPPER,5,CEMENTED
F01,1495.6,1495.8,784.56,1893.69,-1483.24,UPPER,1,SAND_CLEAN
F01,1495.8,1496.0,784.57,1893.66,-1483.44,UPPER,1,SAND_CLEAN
F01,1496.0,1496.2,784.57,1893.63,-1483.64,UPPER,1,SAND_CLEAN
F01,1496.2,1496.4,784.58,1893.6,-1483.83,UPPER,1,SAND_CLEAN
F01,1496.4,1496.6,784.59,1893.57,-1484.03,UPPER,1,SAND_CLEAN
F01,1496.6,1496.8,784.59,1893.54,-1484.23,UPPER,1,SAND_CLEAN
F01,1496.8,1497.0,784.6,1893.51,-1484.43,UPPER,1,SAND_CLEAN
F01,1497.0,1497.2,784.61,1893.47,-1484.62,UPPER,1,SAND_CLEAN
F01,1497.2,1497.4,784.61,1893.44,-1484.82,UPPER,1,SAND_CLEAN
F01,1497.4,1497.6,784.62,1893.41,-1485.02,UPPER,1,SAND_CLEAN
F01,1497.6,1497.8,784.63,1893.38,-1485.22,UPPER,1,SAND_CLEAN
F01,1497.8,1498.0,784.63,1893.35,-1485.41,UPPER,1,SAND_CLEAN
F01,1498.0,1498.2,784.64,1893.32,-1485.61,UPPER,1,SAND_CLEAN
F01,1498.2,1498.4,784.65,1893.29,-1485.81,UPPER,1,SAND_CLEAN
F01,1498.4,1498.6,784.66,1893.26,-1486.01,UPPER,1,SAND_CLEAN
F01,1498.6,1498.8,784.66,1893.23,-1486.2,UPPER,2,SAND_SHALY
F01,1498.8,1499.0,784.67,1893.2,-1486.4,UPPER,1,SAND_CLEAN
F01,1499.0,1499.2,784.68,1893.16,-1486.6,UPPER,1,SAND_CLEAN
F01,1499.2,1499.4,784.68,1893.13,-1486.8,UPPER,1,SAND_CLEAN
F01,1499.4,1499.6,784.69,1893.1,-1486.99,UPPER,1,SAND_CLEAN
F01,1499.6,1499.8,784.7,1893.07,-1487.19,UPPER,1,SAND_CLEAN
F01,1499.8,1500.0,784.7,1893.04,-1487.39,UPPER,1,SAND_CLEAN
F01,1500.0,1500.2,784.71,1893.01,-1487.59,UPPER,1,SAND_CLEAN
F01,1500.2,1500.4,784.72,1892.98,-1487.78,UPPER,2,SAND_SHALY
F01,1500.4,1500.6,784.72,1892.95,-1487.98,UPPER,2,SAND_SHALY
F01,1500.6,1500.8,784.73,1892.92,-1488.18,UPPER,2,SAND_SHALY
F01,1500.8,1501.0,784.74,1892.89,-1488.38,UPPER,2,SAND_SHALY
F01,1501.0,1501.2,784.74,1892.85,-1488.57,UPPER,2,SAND_SHALY
F01,1501.2,1501.4,784.75,1892.82,-1488.77,LOWER,2,SAND_SHALY
F01,1501.4,1501.6,784.76,1892.79,-1488.97,LOWER,2,SAND_SHALY
F01,1501.6,1501.8,784.77,1892.76,-1489.16,LOWER,1,SAND_CLEAN
F01,1501.8,1502.0,784.77,1892.73,-1489.36,LOWER,2,SAND_SHALY
F01,1502.0,1502.2,784.78,1892.7,-1489.56,LOWER,2,SAND_SHALY
F01,1502.2,1502.4,784.79,1892.67,-1489.76,LOWER,3,HETEROLITHIC
F01,1502.4,1502.6,784.79,1892.64,-1489.95,LOWER,4,SHALE
F01,1502.6,1502.8,784.8,1892.61,-1490.15,LOWER,4,SHALE
F01,1502.8,1503.0,784.81,1892.58,-1490.35,LOWER,4,SHALE
F01,1503.0,1503.2,784.81,1892.54,-1490.55,LOWER,3,HETEROLITHIC
F01,1503.2,1503.4,784.82,1892.51,-1490.74,LOWER,3,HETEROLITHIC
F01,1503.4,1503.6,784.83,1892.48,-1490.94,LOWER,3,HETEROLITHIC
F01,1503.6,1503.8,784.83,1892.45,-1491.14,LOWER,2,SAND_SHALY
F01,1503.8,1504.0,784.84,1892.42,-1491.34,LOWER,2,SAND_SHALY
F01,1504.0,1504.2,784.85,1892.39,-1491.53,LOWER,2,SAND_SHALY
F01,1504.2,1504.4,784.85,1892.36,-1491.73,LOWER,1,SAND_CLEAN
F01,1504.4,1504.6,784.86,1892.33,-1491.93,LOWER,1,SAND_CLEAN
F01,1504.6,1504.8,784.87,1892.3,-1492.13,LOWER,1,SAND_CLEAN
F01,1504.8,1505.0,784.87,1892.27,-1492.32,LOWER,1,SAND_CLEAN
F01,1505.0,1505.2,784.88,1892.23,-1492.52,LOWER,1,SAND_CLEAN
F01,1505.2,1505.4,784.89,1892.2,-1492.72,LOWER,1,SAND_CLEAN
F01,1505.4,1505.6,784.9,1892.17,-1492.92,LOWER,1,SAND_CLEAN
F01,1505.6,1505.8,784.9,1892.14,-1493.11,LOWER,1,SAND_CLEAN
F01,1505.8,1506.0,784.91,1892.11,-1493.31,LOWER,1,SAND_CLEAN
F01,1506.0,1506.2,784.92,1892.08,-1493.51,LOWER,1,SAND_CLEAN
F01,1506.2,1506.4,784.92,1892.05,-1493.71,LOWER,1,SAND_CLEAN
F01,1506.4,1506.6,784.93,1892.02,-1493.9,LOWER,1,SAND_CLEAN
F01,1506.6,1506.8,784.94,1891.99,-1494.1,LOWER,2,SAND_SHALY
F01,1506.8,1507.0,784.94,1891.96,-1494.3,LOWER,3,HETEROLITHIC
F01,1507.0,1507.2,784.95,1891.92,-1494.5,LOWER,3,HETEROLITHIC
F01,1507.2,1507.4,784.96,1891.89,-1494.69,LOWER,3,HETEROLITHIC
F01,1507.4,1507.6,784.96,1891.86,-1494.89,LOWER,2,SAND_SHALY
F01,1507.6,1507.8,784.97,1891.83,-1495.09,LOWER,1,SAND_CLEAN
F01,1507.8,1508.0,784.98,1891.8,-1495.29,LOWER,1,SAND_CLEAN
F01,1508.0,1508.2,784.98,1891.77,-1495.48,LOWER,1,SAND_CLEAN
F01,1508.2,1508.4,784.99,1891.74,-1495.68,LOWER,1,SAND_CLEAN
F01,1508.4,1508.6,785.0,1891.71,-1495.88,LOWER,1,SAND_CLEAN
F01,1508.6,1508.8,785.01,1891.68,-1496.08,LOWER,1,SAND_CLEAN
F01,1508.8,1509.0,785.01,1891.65,-1496.27,LOWER,1,SAND_CLEAN
F01,1509.0,1509.2,785.02,1891.61,-1496.47,LOWER,1,SAND_CLEAN
F01,1509.2,1509.4,785.03,1891.58,-1496.67,LOWER,1,SAND_CLEAN
F01,1509.4,1509.6,785.03,1891.55,-1496.87,LOWER,1,SAND_CLEAN
F01,1509.6,1509.8,785.04,1891.52,-1497.06,LOWER,1,SAND_CLEAN
F01,1509.8,1510.0,785.05,1891.49,-1497.26,LOWER,1,SAND_CLEAN
F01,1510.0,1510.2,785.05,1891.46,-1497.46,LOWER,1,SAND_CLEAN
F02,1504.4,1504.6,3782.51,1830.6,-1494.5,UPPER,1,SAND_CLEAN
F02,1504.6,1504.8,3782.51,1830.6,-1494.7,UPPER,1,SAND_CLEAN
F02,1504.8,1505.0,3782.51,1830.6,-1494.9,UPPER,1,SAND_CLEAN
F02,1505.0,1505.2,3782.51,1830.6,-1495.1,UPPER,1,SAND_CLEAN
F02,1505.2,1505.4,3782.51,1830.6,-1495.3,UPPER,1,SAND_CLEAN
F02,1505.4,1505.6,3782.51,1830.6,-1495.5,UPPER,1,SAND_CLEAN
F02,1505.6,1505.8,3782.51,1830.6,-1495.7,UPPER,1,SAND_CLEAN
F02,1505.8,1506.0,3782.51,1830.6,-1495.9,UPPER,1,SAND_CLEAN
F02,1506.0,1506.2,3782.51,1830.6,-1496.1,UPPER,1,SAND_CLEAN
F02,1506.2,1506.4,3782.51,1830.6,-1496.3,UPPER,1,SAND_CLEAN
F02,1506.4,1506.6,3782.51,1830.6,-1496.5,UPPER,2,SAND_SHALY
F02,1506.6,1506.8,3782.51,1830.6,-1496.7,UPPER,2,SAND_SHALY
