X,Y,TOP_Z,MID_Z,BASE_Z
0.0,0.0,-1474.5,-1483.09,-1490.72
50.0,0.0,-1475.43,-1483.82,-1491.58
100.0,0.0,-1476.38,-1484.58,-1492.46
150.0,0.0,-1477.35,-1485.37,-1493.38
200.0,0.0,-1478.34,-1486.21,-1494.32
250.0,0.0,-1479.34,-1487.09,-1495.3
300.0,0.0,-1480.36,-1488.01,-1496.31
350.0,0.0,-1481.4,-1488.97,-1497.35
400.0,0.0,-1482.44,-1489.99,-1498.42
450.0,0.0,-1483.49,-1491.04,-1499.52
500.0,0.0,-1484.54,-1492.14,-1500.64
550.0,0.0,-1485.6,-1493.28,-1501.79
600.0,0.0,-1486.65,-1494.44,-1502.95
650.0,0.0,-1487.69,-1495.64,-1504.13
700.0,0.0,-1488.72,-1496.84,-1505.31
750.0,0.0,-1489.73,-1498.06,-1506.49
800.0,0.0,-1490.72,-1499.27,-1507.66
850.0,0.0,-1491.68,-1500.47,-1508.81
900.0,0.0,-1492.6,-1501.65,-1509.93
950.0,0.0,-1493.49,-1502.78,-1511.02
1000.0,0.0,-1494.34,-1503.87,-1512.06
1050.0,0.0,-1495.13,-1504.91,-1513.05
1100.0,0.0,-1495.88,-1505.88,-1513.98
1150.0,0.0,-1496.58,-1506.77,-1514.85
1200.0,0.0,-1497.21,-1507.59,-1515.65
1250.0,0.0,-1497.79,-1508.33,-1516.37
1300.0,0.0,-1498.31,-1508.99,-1517.03
1350.0,0.0,-1498.76,-1509.56,-1517.61
1400.0,0.0,-1499.15,-1510.05,-1518.11
1450.0,0.0,-1499.48,-1510.47,-1518.55
1500.0,0.0,-1499.75,-1510.81,-1518.92
1550.0,0.0,-1499.96,-1511.07,-1519.22
1600.0,0.0,-1500.11,-1511.27,-1519.46
1650.0,0.0,-1500.2,-1511.41,-1519.64
1700.0,0.0,-1500.24,-1511.49,-1519.76
1750.0,0.0,-1500.23,-1511.51,-1519.83
1800.0,0.0,-1500.18,-1511.48,-1519.84
1850.0,0.0,-1500.09,-1511.4,-1519.8
1900.0,0.0,-1499.95,-1511.28,-1519.7
1950.0,0.0,-1499.78,-1511.11,-1519.56
2000.0,0.0,-1499.59,-1510.89,-1519.37
2050.0,0.0,-1499.36,-1510.64,-1519.12
2100.0,0.0,-1499.11,-1510.34,-1518.83
2150.0,0.0,-1498.85,-1510.0,-1518.48
2200.0,0.0,-1498.56,-1509.62,-1518.1
2250.0,0.0,-1498.26,-1509.2,-1517.66
