WELL,MD,INCLINATION,AZIMUTH
F01,0.0,0.0,167.51
F01,25.0,0.0,167.51
F01,50.0,0.0,167.51
F01,75.0,0.0,167.51
F01,100.0,0.0,167.51
F01,125.0,0.0,167.51
F01,150.0,0.0,167.51
F01,175.0,0.0,167.51
F01,200.0,0.0,167.51
F01,225.0,0.0,167.51
F01,250.0,0.0,167.51
F01,275.0,0.0,167.51
F01,300.0,0.0,167.51
F01,325.0,0.0,167.51
F01,350.0,0.0,167.51
F01,375.0,0.0,167.51
F01,400.0,0.0,167.51
F01,425.0,0.0,167.51
F01,450.0,0.0,167.51
F01,475.0,0.0,167.51
F01,500.0,0.0,167.51
F01,525.0,0.0,167.51
F01,550.0,0.0,167.51
F01,575.0,0.0,167.51
F01,600.0,0.0,167.51
F01,625.0,0.0,167.51
F01,650.0,0.0,167.51
F01,675.0,0.0,167.51
F01,700.0,0.0,167.51
F01,725.0,0.0,167.51
F01,750.0,0.0,167.51
F01,775.0,0.0,167.51
F01,800.0,0.0,167.51
F01,825.0,0.0,167.51
F01,850.0,0.0,167.51
F01,875.0,0.0,167.51
F01,900.0,0.0,167.51
F01,925.0,0.0,167.51
F01,950.0,0.0,167.51
F01,975.0,0.0,167.51
F01,1000.0,0.0,167.51
F01,1025.0,0.0,167.51
F01,1050.0,0.0,167.51
F01,1075.0,0.0,167.51
F01,1100.0,0.0,167.51
F01,1125.0,0.0,167.51
F01,1150.0,0.0,167.51
F01,1175.0,0.0,167.51
F01,1200.0,0.0,167.51
F01,1225.0,1.5,167.51
F01,1250.0,3.0,167.51
F01,1275.0,4.5,167.51
F01,1300.0,6.0,167.51
F01,1325.0,7.5,167.51
F01,1350.0,9.0,167.51
F01,1375.0,9.13,167.51
F01,1400.0,9.13,167.51
F01,1425.0,9.13,167.51
F01,1450.0,9.13,167.51
F01,1475.0,9.13,167.51
F01,1500.0,9.13,167.51
F01,1525.0,9.13,167.51
F01,1547.31,9.13,167.51
F02,0.0,0.0,255.63
F02,25.0,0.0,255.63
F02,50.0,0.0,255.63
F02,75.0,0.0,255.63
F02,100.0,0.0,255.63
F02,125.0,0.0,255.63
F02,150.0,0.0,255.63
F02,175.0,0.0,255.63
F02,200.0,0.0,255.63
F02,225.0,0.0,255.63
F02,250.0,0.0,255.63
F02,275.0,0.0,255.63
F02,300.0,0.0,255.63
F02,325.0,0.0,255.63
F02,350.0,0.0,255.63
F02,375.0,0.0,255.63
F02,400.0,0.0,255.63
F02,425.0,0.0,255.63
F02,450.0,0.0,255.63
F02,475.0,0.0,255.63
F02,500.0,0.0,255.63
F02,525.0,0.0,255.63
F02,550.0,0.0,255.63
F02,575.0,0.0,255.63
F02,600.0,0.0,255.63
F02,625.0,0.0,255.63
F02,650.0,0.0,255.63
F02,675.0,0.0,255.63
F02,700.0,0.0,255.63
F02,725.0,0.0,255.63
F02,750.0,0.0,255.63
F02,775.0,0.0,255.63
F02,800.0,0.0,255.63
F02,825.0,0.0,255.63
F02,850.0,0.0,255.63
F02,875.0,0.0,255.63
F02,900.0,0.0,255.63
F02,925.0,0.0,255.63
F02,950.0,0.0,255.63
F02,975.0,0.0,255.63
F02,1000.0,0.0,255.63
F02,1025.0,0.0,255.63
F02,1050.0,0.0,255.63
F02,1075.0,0.0,255.63
F02,1100.0,0.0,255.63
F02,1125.0,0.0,255.63
F02,1150.0,0.0,255.63
F02,1175.0,0.0,255.63
F02,1200.0,0.0,255.63
F02,1225.0,0.0,255.63
F02,1250.0,0.0,255.63
F02,1275.0,0.0,255.63
F02,1300.0,0.0,255.63
F02,1325.0,0.0,255.63
F02,1350.0,0.0,255.63
F02,1375.0,0.0,255.63
F02,1400.0,0.0,255.63
F02,1425.0,0.0,255.63
F02,1450.0,0.0,255.63
F02,1475.0,0.0,255.63
F02,1500.0,0.0,255.63
F02,1525.0,0.0,255.63
F02,1550.0,0.0,255.63
F03,0.0,0.0,31.14
F03,25.0,0.0,31.14
