WELL,X,Y,KB,TD_MD
F01,777.02,1927.72,10.0,1547.31
F02,3782.51,1830.6,10.0,1550.0
F03,715.4,2949.98,10.0,1525.0
F04,3327.44,3571.29,10.0,1550.0
F05,3068.81,3770.56,10.0,1550.0
F06,4685.29,1584.54,10.0,1550.0
F07,3022.28,2513.15,10.0,1550.0
F08,4624.02,1274.0,10.0,1550.0
F09,2502.05,3190.12,10.0,1550.0
F10,285.48,1190.15,10.0,1525.0
F11,3623.82,1630.46,10.0,1550.0
F12,1068.29,2322.82,10.0,1525.0
F13,3909.06,3309.12,10.0,1550.0
F14,1853.62,2580.73,10.0,1550.0
F15,552.45,3340.24,10.0,1525.0
F16,4207.76,1312.57,10.0,1550.0
F17,3728.92,1209.34,10.0,1550.0
F18,4465.46,2082.84,10.0,1550.0
F19,4088.99,3350.94,10.0,1550.0
F20,3273.28,2500.51,10.0,1550.0
F21,741.19,3154.15,10.0,1525.0
F22,1141.31,1465.93,10.0,1550.0
F23,1053.07,3720.5,10.0,1550.0
F24,459.12,1535.94,10.0,1525.0
F25,4420.36,2886.24,10.0,1550.0
F26,4116.93,2206.04,10.0,1550.0
F27,1000.0,1000.0,10.0,1550.0
F28,2500.0,2000.0,10.0,1550.0
F29,4000.0,3000.0,10.0,1550.0
F30,1500.0,3200.0,10.0,1550.0
