X,Y,Z,FACIES,POROSITY,PERM_MD,AI_SEISMIC
25.0,25.0,0.5,0,0.044,0.016,9.858
25.0,25.0,1.5,0,0.0568,0.008,9.717
25.0,25.0,2.5,0,0.0888,0.037,9.472
25.0,25.0,3.5,0,0.0725,0.047,9.192
25.0,25.0,4.5,1,0.2409,253.943,8.957
25.0,25.0,5.5,1,0.3051,3772.328,8.836
25.0,25.0,6.5,1,0.2789,2159.299,8.865
25.0,25.0,7.5,1,0.23,212.014,9.032
25.0,25.0,8.5,0,0.0714,0.039,9.286
25.0,25.0,9.5,0,0.0524,0.016,9.551
25.0,25.0,10.5,0,0.0485,0.013,9.763
25.0,25.0,11.5,0,0.0637,0.022,9.882
25.0,25.0,12.5,0,0.0739,0.04,9.905
25.0,25.0,13.5,0,0.0951,0.183,9.852
25.0,25.0,14.5,2,0.1999,28.602,9.755
25.0,25.0,15.5,0,0.0666,0.034,9.645
25.0,25.0,16.5,0,0.0845,0.047,9.546
25.0,25.0,17.5,0,0.0834,0.039,9.48
25.0,25.0,18.5,3,0.21,53.49,9.464
25.0,25.0,19.5,2,0.1773,2.285,9.507
25.0,25.0,20.5,2,0.1845,5.854,9.601
25.0,25.0,21.5,0,0.0489,0.014,9.72
25.0,25.0,22.5,2,0.1457,1.267,9.825
25.0,25.0,23.5,0,0.0254,0.004,9.879
25.0,25.0,24.5,0,0.0579,0.024,9.861
25.0,25.0,25.5,0,0.0568,0.019,9.776
25.0,25.0,26.5,0,0.0651,0.045,9.648
25.0,25.0,27.5,1,0.2115,183.814,9.515
25.0,25.0,28.5,1,0.2455,298.552,9.408
25.0,25.0,29.5,0,0.0527,0.036,9.35
25.0,75.0,0.5,0,0.0556,0.058,9.848
25.0,75.0,1.5,0,0.0644,0.083,9.708
25.0,75.0,2.5,0,0.0826,0.05,9.465
25.0,75.0,3.5,1,0.264,416.588,9.187
25.0,75.0,4.5,1,0.2365,363.287,8.952
25.0,75.0,5.5,1,0.3003,1423.605,8.831
25.0,75.0,6.5,1,0.2631,661.882,8.858
25.0,75.0,7.5,1,0.2014,68.498,9.025
25.0,75.0,8.5,0,0.062,0.025,9.278
25.0,75.0,9.5,0,0.0441,0.041,9.546
25.0,75.0,10.5,0,0.0496,0.031,9.762
25.0,75.0,11.5,0,0.0628,0.022,9.889
25.0,75.0,12.5,0,0.0779,0.071,9.921
25.0,75.0,13.5,0,0.0872,0.087,9.878
25.0,75.0,14.5,2,0.1815,6.304,9.791
25.0,75.0,15.5,0,0.0593,0.013,9.689
25.0,75.0,16.5,0,0.0749,0.014,9.597
25.0,75.0,17.5,0,0.0812,0.032,9.537
25.0,75.0,18.5,3,0.2247,35.427,9.524
25.0,75.0,19.5,3,0.2257,43.664,9.564
25.0,75.0,20.5,0,0.082,0.039,9.645
25.0,75.0,21.5,0,0.06,0.016,9.735
25.0,75.0,22.5,2,0.1592,2.349,9.796
25.0,75.0,23.5,0,0.0309,0.026,9.794
25.0,75.0,24.5,0,0.0551,0.008,9.718
25.0,75.0,25.5,0,0.0599,0.015,9.582
25.0,75.0,26.5,1,0.2295,69.787,9.421
25.0,75.0,27.5,1,0.2408,290.545,9.271
25.0,75.0,28.5,1,0.2649,723.119,9.161
25.0,75.0,29.5,0,0.0453,0.017,9.104
25.0,125.0,0.5,0,0.0483,0.013,9.863
25.0,125.0,1.5,0,0.0763,0.064,9.726
25.0,125.0,2.5,0,0.0807,0.096,9.486
25.0,125.0,3.5,0,0.0879,0.068,9.208
25.0,125.0,4.5,1,0.2523,491.053,8.971
25.0,125.0,5.5,1,0.3011,3421.209,8.844
25.0,125.0,6.5,1,0.2546,649.487,8.865
25.0,125.0,7.5,1,0.2098,110.596,9.028
25.0,125.0,8.5,0,0.069,0.038,9.283
25.0,125.0,9.5,0,0.0439,0.009,9.558
25.0,125.0,10.5,0,0.0592,0.021,9.787
25.0,125.0,11.5,0,0.0512,0.018,9.931
25.0,125.0,12.5,0,0.07,0.057,9.982
25.0,125.0,13.5,0,0.0826,0.022,9.959
25.0,125.0,14.5,2,0.2181,10.087,9.889
25.0,125.0,15.5,0,0.0526,0.072,9.802
25.0,125.0,16.5,0,0.0648,0.017,9.722
25.0,125.0,17.5,0,0.0883,0.053,9.67
25.0,125.0,18.5,3,0.204,64.478,9.66
25.0,125.0,19.5,3,0.2308,135.316,9.694
25.0,125.0,20.5,0,0.0786,0.046,9.755
25.0,125.0,21.5,0,0.0406,0.006,9.807
25.0,125.0,22.5,0,0.0632,0.029,9.811
25.0,125.0,23.5,0,0.0256,0.003,9.738
25.0,125.0,24.5,0,0.0489,0.01,9.587
25.0,125.0,25.5,0,0.0541,0.014,9.387
25.0,125.0,26.5,1,0.2432,273.011,9.179
25.0,125.0,27.5,1,0.2592,246.994,9.005
