WELL,X,Y,Z,FACIES,POROSITY,PERM_MD,AI_SEISMIC
R01,425.0,1575.0,0.5,0,0.0618,0.015,10.043
R01,425.0,1575.0,1.5,0,0.0265,0.008,9.938
R01,425.0,1575.0,2.5,0,0.072,0.031,9.756
R01,425.0,1575.0,3.5,0,0.1135,0.067,9.547
R01,425.0,1575.0,4.5,1,0.1795,44.454,9.37
R01,425.0,1575.0,5.5,1,0.1705,14.966,9.278
R01,425.0,1575.0,6.5,1,0.2648,961.106,9.3
R01,425.0,1575.0,7.5,2,0.1826,6.015,9.43
R01,425.0,1575.0,8.5,0,0.0385,0.02,9.635
R01,425.0,1575.0,9.5,0,0.0383,0.01,9.868
R01,425.0,1575.0,10.5,0,0.065,0.063,10.082
R01,425.0,1575.0,11.5,0,0.0882,0.043,10.25
R01,425.0,1575.0,12.5,0,0.0746,0.012,10.361
R01,425.0,1575.0,13.5,0,0.0579,0.016,10.42
R01,425.0,1575.0,14.5,0,0.0484,0.034,10.437
R01,425.0,1575.0,15.5,0,0.0584,0.02,10.427
R01,425.0,1575.0,16.5,0,0.0742,0.023,10.4
R01,425.0,1575.0,17.5,0,0.0675,0.021,10.368
R01,425.0,1575.0,18.5,0,0.07,0.035,10.336
R01,425.0,1575.0,19.5,0,0.0635,0.071,10.311
R01,425.0,1575.0,20.5,0,0.0491,0.021,10.292
R01,425.0,1575.0,21.5,0,0.1034,0.062,10.283
R01,425.0,1575.0,22.5,0,0.0753,0.034,10.285
R01,425.0,1575.0,23.5,0,0.0995,0.105,10.301
R01,425.0,1575.0,24.5,0,0.1084,0.197,10.329
R01,425.0,1575.0,25.5,0,0.0761,0.043,10.368
R01,425.0,1575.0,26.5,0,0.0655,0.059,10.412
R01,425.0,1575.0,27.5,0,0.0701,0.058,10.452
R01,425.0,1575.0,28.5,0,0.0625,0.029,10.483
R01,425.0,1575.0,29.5,0,0.061,0.03,10.5
R02,725.0,2325.0,0.5,0,0.0437,0.015,10.447
R02,725.0,2325.0,1.5,0,0.0699,0.012,10.434
R02,725.0,2325.0,2.5,0,0.0563,0.033,10.417
R02,725.0,2325.0,3.5,0,0.0276,0.004,10.407
R02,725.0,2325.0,4.5,3,0.1189,0.907,10.417
R02,725.0,2325.0,5.5,0,0.0346,0.022,10.448
R02,725.0,2325.0,6.5,0,0.0525,0.048,10.496
R02,725.0,2325.0,7.5,0,0.0264,0.011,10.549
R02,725.0,2325.0,8.5,0,0.0678,0.034,10.593
R02,725.0,2325.0,9.5,0,0.0429,0.016,10.619
R02,725.0,2325.0,10.5,0,0.0576,0.022,10.624
R02,725.0,2325.0,11.5,0,0.0463,0.01,10.61
R02,725.0,2325.0,12.5,0,0.0824,0.026,10.583
R02,725.0,2325.0,13.5,0,0.0539,0.016,10.55
R02,725.0,2325.0,14.5,0,0.0644,0.034,10.515
R02,725.0,2325.0,15.5,0,0.0767,0.071,10.48
R02,725.0,2325.0,16.5,0,0.0567,0.012,10.445
R02,725.0,2325.0,17.5,0,0.0603,0.045,10.403
R02,725.0,2325.0,18.5,0,0.0295,0.01,10.348
R02,725.0,2325.0,19.5,0,0.0307,0.03,10.278
R02,725.0,2325.0,20.5,2,0.1149,0.258,10.189
R02,725.0,2325.0,21.5,0,0.0696,0.063,10.082
R02,725.0,2325.0,22.5,2,0.1417,3.18,9.953
R02,725.0,2325.0,23.5,0,0.0844,0.034,9.801
R02,725.0,2325.0,24.5,0,0.0992,0.115,9.62
R02,725.0,2325.0,25.5,0,0.087,0.057,9.413
R02,725.0,2325.0,26.5,0,0.0644,0.08,9.193
R02,725.0,2325.0,27.5,2,0.1712,5.03,8.983
R02,725.0,2325.0,28.5,2,0.1455,2.126,8.817
R02,725.0,2325.0,29.5,3,0.2142,37.093,8.725
R03,775.0,3875.0,0.5,0,0.0481,0.045,9.621
R03,775.0,3875.0,1.5,0,0.0339,0.006,9.457
R03,775.0,3875.0,2.5,0,0.0665,0.028,9.173
R03,775.0,3875.0,3.5,3,0.1777,19.406,8.845
R03,775.0,3875.0,4.5,3,0.1809,6.597,8.564
R03,775.0,3875.0,5.5,1,0.316,4109.074,8.407
R03,775.0,3875.0,6.5,1,0.2725,1145.005,8.419
R03,775.0,3875.0,7.5,1,0.2699,748.813,8.603
R03,775.0,3875.0,8.5,2,0.1776,4.946,8.919
R03,775.0,3875.0,9.5,0,0.0606,0.053,9.301
R03,775.0,3875.0,10.5,0,0.0549,0.009,9.677
R03,775.0,3875.0,11.5,0,0.0589,0.087,9.987
